seq,名称EN,名称CN,当前Tier,Core,完备度,Tier可信度,潜在区间,研究优先级,需复核,复核原因,去推断后仍成立,最关键缺失证据,建议研究问题,缺失证据全部,12项判定
48,Paul Revere silver creamer sugar bowl pair,保罗·里维尔银奶壶糖碗成对,A,7.875,35.4,low,C–A,4.84,是,当前A依赖尚未核实的里维尔归属、署款及原配成对关系，这些均为决定性对象身份信息。,否,缺款识鉴定及两器原配成对的证明,PEM记录能否提供这两件银器的登录号、年代、款识图与释读，并证明两器原配成对；其形制在波士顿美术馆和耶鲁已出版的里维尔银器中有何对应？,缺PEM登录号、正式题名、年代、尺寸与重量；缺款识照片、释读及保罗·里维尔归属鉴定；缺奶壶与糖碗是否原配成对的记录；缺委托人、原主人、家族 provenance 与入藏记录；缺该组在里维尔银器生涯中的位置及同类比较；缺PEM对其美国银器馆藏地位的说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
49,Samuel McIntire carved sheaf‑of‑wheat motif fragment,麦金太尔雕刻麦穗装饰构件残件,A,7.200,31.0,low,C–S,6.90,是,当前A缺乏归属和原建筑语境两项关键证据，而未来若能证实其与重要原址的直接关系，身份判断可能显著变化。,否,缺麦金太尔归属依据及该残件的原建筑位置,PEM馆藏与加德纳-平格里宅档案是否记载该残件的馆号、原安装位置、拆除经过及麦金太尔归属依据？,缺PEM馆号、正式题名、年代、尺寸、材质与保存状况记录；缺麦金太尔归属依据及该残件原属建筑、房间和构件位置；缺构件拆离原址至进入PEM的完整来源与入藏记录；缺与存世麦金太尔麦穗雕刻及PEM同类构件的比较,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=partial
50,Winslow Homer small watercolor coastal study,温斯洛·霍默小幅海岸水彩习作,A,7.225,22.4,low,C–A,5.82,是,当前A以未核实的名家归属及主题契合度为核心，缺作品目录、来源和馆方对象记录。,否,缺霍默作品目录对具体作品及归属的确认,PEM馆藏档案中的正式题名和馆号是什么，霍默作品目录是否收录此作并将其界定为独立水彩还是准备性习作？,缺PEM馆号、正式题名、创作日期、尺寸及具体水彩材料；缺霍默作品目录对归属、真伪及作品编号的确认；缺该作是独立成品还是准备性习作及其在霍默生涯中的位置；缺来源、展览、出版记录及与PEM海事艺术藏品的比较,basic_identification=partial date_period=none maker_culture=partial historical_significance=none artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
51,John Trumbull preparatory sketch for revolution scene,约翰·特朗布尔独立战争构图草稿,B,7.025,22.4,low,C–S,7.76,是,当前B依赖未核实的准备稿身份；若其与重要完成作的关系成立或被否定，均可能造成跨Tier变化。,,缺具体革命场景及对应完成作的识别,PEM档案和特朗布尔作品目录将此油稿对应到哪一幅完成作，其构图与最终版本之间有何可核差异？,缺PEM馆号、正式题名、创作日期、尺寸和媒材支持信息；缺所绘革命事件及其对应完成作的准确识别；缺特朗布尔作品目录对归属及准备稿关系的确认；缺该油稿的来源、展览、出版记录及相关草稿存世比较,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
52,Martin Johnson Heade hummingbird small study,马丁·约翰逊·希德蜂鸟小稿,B,6.730,14.6,low,C–A,6.41,是,当前B使用了未经证实的“次要作品”定位；作品归属及系列关系的新资料可能使现有判断跨Tier。,,缺作品目录对归属及蜂鸟系列位置的确认,PEM馆藏档案与希德作品目录如何著录此画，它是否属于有明确编号和年代的蜂鸟系列或相关准备研究？,缺PEM馆号、正式题名、创作日期、尺寸、材质与画布信息；缺希德作品目录对归属、真伪和作品编号的确认；缺其是否属于蜂鸟系列或与《巴西蜂鸟》相关创作的资料；缺来源、展览、出版记录及与希德同类作品的质量比较,basic_identification=partial date_period=none maker_culture=partial historical_significance=none artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
53,Georgia O’Keeffe small floral painting,乔治亚·欧姬芙花卉小幅作品,B,7.160,19.8,low,C–A,6.02,是,当前B主要由艺术家知名度和未经核实的尺幅判断构成；具体作品尚未定位，存在跨Tier审查必要。,,缺作品目录对具体作品及归属的确认,PEM的林奇赠藏档案对应哪一件欧姬芙作品，其正式题名、年代和作品目录编号是什么？,缺PEM馆号、正式题名、创作日期、尺寸与媒材记录；缺欧姬芙作品目录对归属、真伪及作品编号的确认；缺林奇赠藏的捐赠者全名、赠藏日期及此前来源；缺该作在欧姬芙花卉创作中的年代、系列和质量位置；缺展览、出版记录及PEM对其馆藏地位的说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=none artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=none cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
54,Sam Maloof walnut rocking chair,萨姆·马卢夫胡桃木摇椅,A,7.265,27.6,low,C–A,5.43,是,当前A依赖未认证的马卢夫归属和“标志性器型”判断，缺乏决定对象质量与地位的基础记录。,否,缺工作室档案对制作日期和制作者的确认,PEM馆藏记录与马卢夫基金会档案能否确认此椅的制作日期、签名、具体型号，以及由马卢夫本人还是工作室成员制作？,缺PEM馆号、正式题名、制作日期、尺寸及胡桃木材质确认；缺签名、工作室档案或马卢夫基金会对制作者的认证；缺具体型号、定制对象及该椅在马卢夫摇椅发展中的位置；缺来源、入藏、展览记录及与其他马卢夫摇椅的质量比较,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
55,J.O.J. Frost folk painting of Salem harbor,J.O.J.弗罗斯特塞勒姆港民间绘画,A,7.335,30.2,low,C–S,6.98,是,当前A主要建立在尚未核实的塞勒姆题材和城市记忆意义上，而这些同时决定其潜在馆藏身份价值。,否,缺画面所指地点、年代及记忆画性质的证据,PEM档案和弗罗斯特研究文献如何识别此画中的塞勒姆港地点与年代，又以何种原始材料证明它是凭记忆创作？,缺PEM馆号、正式题名、创作日期、尺寸及媒材记录；缺弗罗斯特归属依据及“凭记忆绘制”说法的文献来源；缺画中塞勒姆港具体地点、建筑、船只及所表现年代的识别；缺来源、入藏记录及与弗罗斯特其他塞勒姆题材作品的比较；缺PEM是否将其用于阐释塞勒姆城市记忆的官方说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
56,Salem witch‑trial period court document manuscript,塞勒姆猎巫审判时代法庭原始手稿,A,8.497,30.1,low,C–S,6.99,是,当前A等级依赖尚未核实的1692年审判关联、一手史料属性和馆藏核心性，需以菲利普斯图书馆档案记录及学术引证复核。,否,缺案件、日期与文书类型的准确档案识别,菲利普斯图书馆目录中哪一馆号对应此文书，其日期、案件、当事人和文书类型是否证明它直接属于1692年塞勒姆猎巫审判？,缺文书准确日期、案件名称、当事人、签署者及文书类型；缺菲利普斯图书馆馆号、档案群和文件夹层级引证；缺证明其直接属于1692年审判而非仅与审判同时期的材料；缺真实性、保管链、入藏经过及历次修复记录；缺学术转录、出版引用及该文书在案件史中的作用,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=na rarity_uniqueness=none institutional_identity=partial category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
57,Chinese export lacquer gaming table,中国外销漆木游戏桌,A,7.325,30.2,low,C–A,5.23,是,当前A等级主要建立在广州制作、美国商人订制、器物完整和组内代表性等未核实判断上。,否,缺美国商人订制与完整来源链的证据,PEM亚洲外销艺术档案是否能确认此游戏桌的馆号、制作年代、原美国客户及家族来源，并说明其是否为该馆中国外销漆家具代表件？,缺PEM馆号、正式题名、制作年代、尺寸、木胎和漆饰技法记录；缺广州制作地及美国商人家庭订制说法的文献依据；缺原客户姓名、家族传承、入藏经过及捐赠或购藏日期；缺中国外销漆游戏桌的存世数量、年代类型及质量比较；缺PEM对其在亚洲外销艺术藏品中地位的说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
58,Japanese export lacquer writing desk,日本外销漆木写字台,A,7.325,31.8,low,C–A,5.12,是,当前A等级依赖未经验证的江户断代、外销属性、西式适配功能及组内最高代表性。,否,缺西式书写适配结构及原装配件的证据,PEM馆藏记录与日本外销漆器研究能否确认此写字台的年代、作坊和原配附件，并证明其结构确为西式书写需求而改制？,缺PEM馆号、正式题名、具体年代、尺寸、木胎和漆饰技法；缺制作地区、作坊及出口目的地的权威鉴定；缺证明结构为适配西式书写用具而设计的构造与原配附件资料；缺来源、入藏记录及历史修复或改装情况；缺日本外销漆写字台的存世量及与馆内外实例的比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
59,Indian Vizagapatam ivory‑inlaid cabinet,印度维扎加帕塔姆嵌象牙柜子,A,7.615,31.8,low,C–A,5.12,是,当前A等级依赖未核实的维扎加帕塔姆归属、18世纪断代、象牙材质、工艺优势与组内核心地位。,否,缺产地、年代及镶嵌材质的权威鉴定,PEM记录及维扎加帕塔姆家具研究如何鉴定此柜的年代、作坊和镶嵌材质，它与V&A等馆的同类柜相比处于何种位置？,缺PEM馆号、正式题名、具体年代、尺寸、木材与镶嵌材质鉴定；缺维扎加帕塔姆产地、作坊和英印外销用途的鉴定依据；缺原客户、家族来源、入藏经过及捐赠或购藏记录；缺维扎加帕塔姆镶嵌柜的存世数量、类型和质量比较；缺PEM对其在亚洲外销艺术藏品中地位的说明,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=none cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
60,Korean Joseon textile official rank badge,朝鲜时代官阶补子,B,7.185,60.4,medium,C–A,2.97,是,官方资料支持基本身份与入藏，但决定类别代表性和教育价值的具体官阶尚缺；补充资料可能使当前B跨Tier变化。,,缺纹样所对应的文武类别与具体官阶,PEM馆号E9785的纹样代表何种文武官阶和等级，PEM韩国艺术图录是否将其列为代表件，馆内另有多少可比朝鲜补子？,缺补子所绣动物或鸟类、文武属性及对应官阶等级；缺正补或背补属性、尺寸、完整图像与保存修复报告；缺PEM馆内朝鲜补子的数量、类型及质量比较；缺与其他权威馆藏同类十九世纪补子的稀缺性比较；缺Gustavus Goward捐赠前的收藏来源与取得地点,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=full category_representativeness=partial cultural_educational=partial provenance_acquisition=full visual_experiential=partial relational_spatial=na
61,Hawaiian feather cape fragment,夏威夷羽毛斗篷残片,A,8.330,43.2,low,C–S,5.68,是,当前A等级依赖未核实的夏威夷贵族斗篷归属、极低存世量、馆内唯一性及等级制度物证意义。,否,缺同类羽斗篷残片存世数量与权威稀缺性比较,PEM纸本图录或登记档案如何记录该残片的来源、年代与残存部位，毕晓普博物馆等机构所藏同类残片共有多少？,缺PEM登记号、尺寸、材质鉴定及残存部位记录；缺可核实的采集者、采集年代、地点及入藏经过；缺同类羽斗篷残片存世数量与权威稀缺性比较；缺馆方图录对其在PEM大洋洲收藏中地位的说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
62,Marquesan carved ceremonial adze,马克萨斯仪式石锛,A,7.390,43.2,low,C–A,4.26,是,当前A等级建立在未经外部资料验证的马克萨斯归属、礼仪功能、雕柄特征及组内最高地位上。,否,缺权威资料确认其为礼仪锛而非实用工具,PEM登记卡是否明确将此器定为马克萨斯礼仪锛，其制作年代、具体岛屿、采集者与雕柄风格有何记录？,缺PEM登记号、尺寸、石材木材及制作年代记录；缺权威资料确认其为礼仪锛而非实用工具；缺雕柄风格、具体岛屿或社群及制作传统的研究；缺采集者、采集航次、旧藏及入藏记录；缺与PEM及其他馆藏马克萨斯石锛的品质比较,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
63,Tonga carved wooden drinking bowl,汤加雕花祭祀木酒碗,B,7.110,35.4,low,C–A,4.84,是,当前B档依赖未经核实的卡瓦仪式用途和组内代表性；若功能或年代认定改变，可能跨档。,,缺器型与使用痕迹研究以确认卡瓦仪式用途,PEM登记卡如何定名此木碗，哪些器型、使用痕迹或采集记录能确认其为汤加卡瓦仪式用器？,缺登记号、尺寸、木材、制作年代与具体产地；缺器型与使用痕迹研究以确认卡瓦仪式用途；缺采集、旧藏及PEM入藏经过；缺与汤加卡瓦器及PEM同类木碗的品质比较；缺馆方对其大洋洲展陈代表性的说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
64,"New Britain mask, Melanesia",新不列颠美拉尼西亚仪式面具,A,7.825,50.0,low,C–S,5.00,是,当前A等级高度依赖未经核实的早期塞勒姆航次来源、完整性和组内唯一性判断，需以档案、登记记录及专业鉴定复核。,否,缺档案确认具体塞勒姆航次、船只、采集者与日期,PEM早期登记簿或塞勒姆航海档案能否确认该面具由哪次航行、哪艘船及何人采集，并将其归属新不列颠哪个社群？,缺档案确认具体塞勒姆航次、船只、采集者与日期；缺新不列颠具体社群、面具传统及仪式功能鉴定；缺制作年代、材料、尺寸、修复与完整性记录；缺早期采集完整面具的存世量与跨馆比较；缺PEM对其与塞勒姆航海史关系的正式说明,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
65,19‑century Chinese export reverse‑glass painting,中国外销玻璃背面画,B,7.100,37.0,low,C–A,4.73,是,当前B档的机构关联建立在未核实的“专供美国市场”说法上；市场归属与作品品质的新资料可能导致跨档。,,缺证据确认其专为美国市场制作,PEM登记档案或亚洲外销艺术图录是否明确说明此画面向美国市场，其题材、年代、制作地、作坊与入藏来源分别为何？,缺登记号、尺寸、题材、具体年代与制作地点；缺证据确认其专为美国市场制作；缺画师或作坊、技法、原框及保存状况研究；缺可靠的旧藏、贸易流通及PEM入藏记录；缺与PEM其他外销玻璃背画的品质和代表性比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
66,Chinese export ivory puzzle ball,中国外销象牙套球,B,7.050,43.2,low,C–A,4.26,是,当前B档的工艺与代表性判断依赖未核实的尺寸、层数和组内比较；实测及目录资料可能导致跨档。,,缺精确尺寸、层数及与PEM同类藏品的比较,PEM登记卡记录的套球直径、层数、年代、作坊和入藏来源为何，馆内比较是否支持其“尺寸最大、层数占优”的说法？,缺登记号、直径、精确层数、重量及保存状况；缺材质鉴定及象牙种属记录；缺制作年代、广州作坊或工艺中心的归属依据；缺采集、贸易流通、旧藏及入藏记录；缺与PEM同类象牙套球的尺寸、层数和品质比较,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
67,Edo period samurai yoroi partial armor set,江户武士盔甲套件残套,A,7.450,37.0,low,C–A,4.73,是,当前A等级缺少年代、部件原配性、作者或流派、工艺质量及来源史证据，且评分文本混用了“残套”与“整套”。,否,缺部件是否原配及具体甲胄师、年代的鉴定,PEM登记档案是否将这些部件认定为同一套原配具足，并记录甲胄师、流派、具体年代、原属者与缺失部件？,缺完整部件清单及各部件是否原配的鉴定；缺具体年代、甲胄流派、甲胄师签名及原属者资料；缺漆工、金具、纺织物的工艺与保存状况报告；缺旧藏、交易与PEM入藏记录；缺与PEM其他日本甲胄的完整性和品质比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
68,Japanese ceramic tea‑ceremony bowl (chawan),日本茶道茶碗,B,6.810,37.0,low,C–A,4.73,是,当前B档建立在未经核实的江户茶碗认定与“高品质”评价上；窑口或作者资料可能使其跨档。,,缺窑口、陶工、具体年代及茶碗属性的鉴定,PEM图录将此碗归于何种窑口或陶工，哪些器型、釉面、款识或箱书证据支持江户茶道茶碗的认定？,缺窑口、陶工、具体年代、款识及箱书记录；缺器型与使用痕迹研究以确认茶道茶碗属性；缺尺寸、釉面细节、烧造特征与保存状况图像；缺茶道传承、旧藏及PEM入藏记录；缺与同窑口或PEM日本陶艺藏品的品质比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
69,Rajput hunting miniature,拉杰普特细密画狩猎图,B,6.945,27.6,low,C–A,5.43,是,当前B档仅由宽泛画派和一般性品质描述支撑；具体画派、年代或册页来源可能导致跨档。,,缺具体画派、年代及原册页或手稿来源,PEM登记档案将此狩猎图归于哪一拉杰普特宫廷或画派、何年代，题记与装帧能否证明其来自特定册页或手稿？,缺具体拉杰普特宫廷或画派、年代与画师归属；缺题记、印章、人物身份及狩猎事件释读；缺原册页或手稿关系、拆散经过与旧藏记录；缺纸张、颜料、尺寸、修复与保存状况资料；缺PEM对其展陈归类及南亚收藏地位的说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
70,Persian Qajar painted tile panel,卡扎尔波斯彩绘瓷砖板,B,6.575,37.0,low,C–A,4.73,是,当前B档依赖未经核实的完整成板与组内唯一性；原建筑语境或后期拼组证据可能导致跨档。,,缺原属建筑、原墙面位置及拆移经过,PEM登记档案是否记录此砖板来自哪座建筑及何处墙面，它是原装完整成板还是后期拼组，制作中心与年代为何？,缺具体年代、制作中心、窑场、款识与题记资料；缺原属建筑、墙面位置、拆移经过及原组合关系；缺人物题材、文学来源及政治宗教语境释读；缺尺寸、砖块数量、后配情况、修复与保存记录；缺来源、入藏经过及与其他卡扎尔陶砖板的比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
71,Nantucket whaling‑scene scrimshaw whalebone,楠塔基特捕鲸主题骨雕scrimshaw,A,7.310,37.0,low,C–S,6.30,是,当前A等级依赖未核实的楠塔基特归属、捕鲸时代断代、图像价值及馆内代表性，需登记资料、航海档案和同类比较。,否,缺可核实的楠塔基特归属、制作者及航次来源,PEM登记卡、捕鲸日志或旧藏标签能否确认此件由哪位船员、哪艘船及哪次楠塔基特航行制作或带回？,缺登记号、准确材质、尺寸、形制与制作年代；缺证据确认楠塔基特制作或相关航次来源；缺制作者、船员身份、船名、航海日志及旧藏记录；缺画面中船只、捕鲸过程及题记的图像释读；缺与PEM同类scrimshaw的年代、品质和稀缺性比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
72,Ship‑model of Salem trading brig “Cleopatra”,塞勒姆双桅商船《克娄巴特拉》船模,A,7.475,43.2,low,C–S,5.68,是,当前A等级取决于尚未核实的指名船只身份、同期性及塞勒姆贸易史意义，需船舶档案、模型鉴定和馆藏记录复核。,否,缺证据判定其为同期船模还是后世复制品,PEM登记簿是否记录《克娄巴特拉》船模的制作者、比例和制作年代，并能否证明它与真实船只同期且对应其具体塞勒姆贸易航次？,缺登记号、比例、尺寸、制作者与制作年代；缺证据判定其为同期船模、船厂模型或后世复制品；缺“克娄巴特拉”号建造、船主、航线与贸易史档案；缺船模结构准确性、改装、修复与保存状况报告；缺旧藏、入藏经过及PEM对其海事地位的说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
73,18th‑century American whale‑oil lamp,18世纪美式鲸油灯,B,6.211,37.5,low,C–A,4.69,是,当前B级依赖“18世纪新英格兰”和“组内最高”等未核实判断，补充年代、来源与比较资料可能导致跨Tier。,,缺PEM登录记录对具体年代、材质、产地、制作者及尺寸的确认,PEM登录簿如何记录这盏鲸油灯的登录号、年代、产地、材质、捐赠者及其与塞勒姆捕鲸史的关系？,缺PEM登录记录对具体年代、材质、产地、制作者及尺寸的确认；缺该灯的历次所有权、捐赠者及入藏时间记录；缺18世纪新英格兰鲸油灯存世数量及馆藏实例比较；缺PEM对该灯在海事或捕鲸叙事中馆藏地位的说明,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=none rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=na
74,Felix Beato photograph of Chinese city gate,费利斯·比托中国城门原版照片,A,7.560,37.5,low,C–S,6.25,是,当前A等级建立在尚未通过作品目录和技术鉴定核实的比托归属、年代、原版性与稀缺性上，应优先核对影像编号和来源史。,否,缺具体城门名称、地点、底片编号及比托作品目录中的对应记录,PEM登录记录与费利斯·比托作品目录能否确认这张照片所示城门、底片编号、拍摄日期及其是否为同时期原版？,缺具体城门名称、地点、底片编号及比托作品目录中的对应记录；缺纸基、尺寸、装裱、题记及是否为同时期原版蛋白照片的技术鉴定；缺该影像在比托中国摄影中的创作位置及同版存世数量；缺该照片的provenance、入藏记录及PEM对其馆藏地位的说明,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=none rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=na
75,John Thomson photograph of Canton street scene,约翰·汤姆森广州街景原版照片,A,7.535,29.7,low,C–S,7.03,是,当前A等级依赖未通过作品目录、技术鉴定或来源记录确认的汤姆森归属、广州地点、原版性及历史重要性，需全面复核。,否,缺广州街道或建筑的具体识别、拍摄日期及汤姆森作品目录编号,PEM登录记录与约翰·汤姆森作品目录能否确认该广州街景的具体地点、底片编号、拍摄日期和原版状态？,缺广州街道或建筑的具体识别、拍摄日期及汤姆森作品目录编号；缺纸基、尺寸、装裱、题记及是否为同时期原版蛋白照片的鉴定；缺该影像在汤姆森创作生涯中的位置及同版照片存世数量；缺provenance、入藏经过及PEM对其中国摄影收藏地位的说明,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=none rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=na
76,Salem sampler needlework girl’s schoolwork,塞勒姆少女刺绣样本,B,6.852,33.9,low,C–A,4.96,是,当前B级所依据的“工艺更精、保存更完整”没有图像或比较记录，确认题记和学校来源后可能跨Tier。,,缺刺绣题记所载姓名、日期、学校、地点及完整释文,该刺绣样本上的姓名、日期和文字能否在PEM登录簿及塞勒姆女校档案中对应到具体学生、教师与学校？,缺刺绣题记所载姓名、日期、学校、地点及完整释文；缺针法、底布、丝线、尺寸、保存状况及正反面图像；缺与已出版塞勒姆女校刺绣样本的图案、工艺和稀缺性比较；缺原所有家庭、学校关联、捐赠者及PEM入藏经过,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=na
77,Hawaiian wooden surfboard fragment,夏威夷古冲浪板残件,A,7.500,40.6,low,C–S,5.94,是,当前A级主要依赖未经外部来源验证的年代、功能鉴定、稀有性及馆内唯一性主张；需补充馆方记录、尺寸与材质、断代鉴定、来源史及同类存世比较后复核。,否,缺木种、尺寸、板形、加工痕迹及科学或类型学断代资料,PEM登录及保护记录能否通过木种、工具痕迹和科学断代确认该残件为早期夏威夷冲浪板，并与毕晓普博物馆同类藏品对年？,缺木种、尺寸、板形、加工痕迹及科学或类型学断代资料；缺其作为冲浪板而非其他木器残件的鉴定与真实性论证；缺夏威夷原始收藏背景、历次所有权、捐赠者及入藏日期；缺与其他博物馆早期夏威夷冲浪板的存世数量和年代比较；缺PEM确认其为本馆唯一或代表性冲浪文化实物的说明,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=none rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
78,Samoan fine woven ceremonial mat,萨摩亚仪式编织席,B,6.985,40.1,low,C–S,5.99,是,当前B级建立在“高阶”“核心礼物交换物”和“组内唯一明确仪式等级”等无来源说法上，新证据可能导致跨Tier。,,缺证明其“高阶仪式赠礼席”身份的图案、质地或文化权威说明,PEM记录及萨摩亚编织研究能否确认这件席的萨摩亚原名、仪式等级、年代，并识别其原赠礼事件与参与者？,缺萨摩亚原名、具体席类、制作年代、植物材料、织法及尺寸；缺证明其“高阶仪式赠礼席”身份的图案、质地或文化权威说明；缺原赠礼仪式、赠与者、受赠者、历次所有权及入藏记录；缺同类仪式席存世数量、等级比较及PEM馆藏地位说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=none relational_spatial=na
79,Joseon dynasty brass temple bell fragment,朝鲜王朝铜钟残件,B,6.680,37.0,low,C–A,4.73,是,当前B级依赖未经确认的晚朝鲜断代和佛寺来源；题铭、原钟复原或来源记录可能显著改变判断。,,缺残件题铭、纹饰释读及朝鲜后期断代依据,PEM登录与保护记录中的题铭、纹饰和合金数据能否确定该残件的年代、原属钟体部位及具体寺院？,缺残件题铭、纹饰释读、尺寸、合金检测及铸造技术记录；缺朝鲜后期断代依据及其原属钟体部位的复原研究；缺具体寺院、移出背景、历次所有权及PEM入藏记录；缺与完整朝鲜佛钟及其他钟残件的稀缺性和质量比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
