seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
45,American Federal mahogany sideboard,美国联邦时代桃花心木餐边柜,American Decorative Arts,Wood Furniture,object,新英格兰历史家具,3,6.6,7.1,6.6,6.3,7.1,0,7.3,5.4,6.8,6.630,6.758,B,B,,Core 6.758 落在 5.5–7.19,medium,这件比例严谨的塞勒姆地区联邦式餐边柜是合格以上的地方家具范例，能说明港口精英生活与木作消费，但外观和类型均较常规。,组内品质扎实但相对常规，作为联邦时代精制柜具与高斗柜的上层家具叙事有所重复，故独特性居末。,
46,Chippendale‑style Salem high‑boy chest,齐本德尔风格塞勒姆高斗柜,American Decorative Arts,Wood Furniture,object,新英格兰历史家具,3,7.0,7.5,7.4,7.1,7.4,0,8.1,7.9,8.3,8.080,7.368,B,A,变,Core 7.368 落在 7.2–8.49,medium,塞勒姆本地制作及丰富洛可可雕刻使高斗柜具有较强地域辨识度，既能展示殖民时代家具工艺，也比普通储物家具更能支撑PEM的地方历史身份。,组内柜木工艺与地方代表性最强，以塞勒姆制作和洛可可雕饰成为精英家具传统的首要代表。,
47,"Paint‑decorated grandfather clock, New England folk",新英格兰民间彩绘落地大钟,American Decorative Arts,Painted Wood Furniture,object,新英格兰历史家具,3,7.1,6.9,7.7,7.7,7.6,0,7.8,9.0,8.5,8.300,7.425,A,A,,Core 7.425 落在 7.2–8.49,medium,高大的钟体与鲜艳民间彩绘带来明显视觉吸引力，并能有效讲述新英格兰乡土审美、家庭计时和地方工艺传统。,组内形制与审美最独特，以彩绘钟具和民间艺术面貌区别于两件桃花心木柜具，并补足新英格兰乡土叙事。,
48,Paul Revere silver creamer sugar bowl pair,保罗·里维尔银奶壶糖碗成对,American Decorative Arts,Silver Metalwork,object,美国殖民与联邦时期银器,1,8.1,6.9,6.9,7.5,8.1,0,8.2,8.8,7.8,8.300,7.550,A,A,,Core 7.550 落在 7.2–8.49,medium,保罗·里维尔署名银器具有国家级人物与美国银匠史价值，适于阐释革命时代的新英格兰工艺和消费文化，但这对小型器皿并非其最宏伟作品，也不是PEM核心身份的支柱。,作为组内唯一对象，这套署名保罗·里维尔的成对日用银器以名家地位和完整组合居于首位，虽非其最宏伟器型，却有效补足PEM对马萨诸塞殖民时期工艺与社会生活的叙事。,
49,Samuel McIntire carved sheaf‑of‑wheat motif fragment,麦金太尔雕刻麦穗装饰构件残件,Gardner‑Pingree House,Wood Fragment,object,塞勒姆建筑木雕构件,1,5.4,6.6,4.6,4.9,6.4,0,7.2,8.3,7.5,7.590,5.874,A,B,变,Core 5.874 落在 5.5–7.19,low,麦金太尔与塞勒姆联邦时期建筑传统关系紧密，但该件作为脱离原位的装饰残件，完整性、视觉冲击和单件不可替代性均有限。,组内唯一且为麦金太尔麦穗母题建筑木雕，虽因残件状态限制品质上限，仍以鲜明的塞勒姆地方工艺与繁荣寓意补足本馆城市建筑叙事。,
50,Winslow Homer small watercolor coastal study,温斯洛·霍默小幅海岸水彩习作,American Art Gallery,Watercolor on Paper,object,美国海事水彩画,1,6.9,6.8,6.1,6.5,6.7,0,7.8,8.5,7.6,7.970,6.772,A,B,变,Core 6.772 落在 5.5–7.19,low,霍默的海岸水彩兼具美国艺术史地位与PEM海事主题关联，但小幅习作的现场冲击和单件代表性受到限制。,作为组内唯一对象，这件霍默海岸水彩以名家水准和海事题材获得最高且偏高的D，并能补充PEM海洋叙事中的美国艺术视角，但小幅习作的典范性有限。,
51,John Trumbull preparatory sketch for revolution scene,约翰·特朗布尔独立战争构图草稿,American Art Gallery,Oil Sketch,object,美国历史题材油画与习作,1,6.7,5.7,5.7,5.9,7.3,0,7.5,8.3,6.6,7.560,6.356,B,B,,Core 6.356 落在 5.5–7.19,low,特朗布尔及其革命历史画具有重要国家叙事价值，构图草稿也能解释创作过程，但它并非PEM最具辨识度的收藏方向。,组内唯一对象，作为特朗布尔独立战争历史画的创作草稿兼具较高典范性与非重复性，并为PEM非核心但必要的美国建国叙事补位。,
52,Martin Johnson Heade hummingbird small study,马丁·约翰逊·希德蜂鸟小稿,American Art Gallery,Oil Painting,object,美国花卉与自然题材油画,2,6.4,5.6,6.6,6.9,6.0,0,7.2,6.7,6.4,6.890,6.294,B,B,,Core 6.294 落在 5.5–7.19,low,希德的蜂鸟题材具有鲜明辨识度和亲和力，但描述明确将其界定为小幅次要习作，在PEM语境中的不可替代性不高。,组内居次，其蜂鸟与花卉题材虽是希德的标志性母题并补充十九世纪自然主义，但小稿属性与典范程度弱于欧姬芙作品。,
53,Georgia O’Keeffe small floral painting,乔治亚·欧姬芙花卉小幅作品,American Art Gallery,Oil Painting,object,美国花卉与自然题材油画,2,7.2,5.9,7.1,7.4,6.6,0,8.1,8.4,7.2,8.010,6.881,B,B,,Core 6.881 落在 5.5–7.19,low,欧姬芙花卉作品凭借艺术家地位和易识别的现代主义语言具有较强吸引力，但小幅作品并非PEM核心身份藏品。,组内居首，花卉是欧姬芙最具辨识度的主题，虽尺幅 modest，仍以现代主义语言显著区别于希德并补足美国艺术叙事。,
54,Sam Maloof walnut rocking chair,萨姆·马卢夫胡桃木摇椅,American Decorative Arts,Wood Furniture,object,美国现代工艺家具,2,7.6,6.3,7.7,7.7,7.4,0,8.8,9.0,7.0,8.500,7.365,A,A,,Core 7.365 落在 7.2–8.49,medium,马卢夫摇椅是美国战后工作室家具的代表性设计，流线造型、胡桃木材质和手工榫接兼具视觉魅力与工艺教育价值。,组内居首，摇椅是马卢夫家具语言与手工榫接技艺的典范，较边凳更具代表性，亦能有效补充美国现代工艺叙事。,
55,J.O.J. Frost folk painting of Salem harbor,J.O.J.弗罗斯特塞勒姆港民间绘画,American Art Gallery,Oil Painting,object,塞勒姆地方民间绘画,1,6.4,7.7,6.4,7.0,7.8,0,7.8,8.8,9.0,8.340,7.219,A,A,,Core 7.219 落在 7.2–8.49,medium,弗罗斯特以民间绘画保存旧塞勒姆的地方记忆，港口题材又直接连接PEM的城市史与海事身份，馆内语境价值明显高于其全国知名度。,作为组内唯一对象，它以民间记忆绘画呈现老塞勒姆港，在品质上较具代表性，并独特补足了PEM远洋贸易叙事中的地方民众视角。,
56,Salem witch‑trial period court document manuscript,塞勒姆猎巫审判时代法庭原始手稿,Phillips Library Display Case,Manuscript Paper,object,塞勒姆历史手稿文献,1,6.9,7.4,4.8,6.5,8.0,0,8.7,9.2,9.3,8.970,7.022,A,B,变,Core 7.022 落在 5.5–7.19,low,同期法庭原始手稿具有一手史料价值并强化PEM与塞勒姆历史的联系，但现有描述未证明它直接属于某一猎巫审判案件，且纸本文献视觉冲击有限。,作为组内唯一的塞勒姆猎巫审判时代法庭原始手稿，其一手史料性使其独特性居本组首位，并补足PEM除海贸主线外不可替代的塞勒姆地方历史叙事。,
57,Chinese export lacquer gaming table,中国外销漆木游戏桌,Asian Export Art Gallery,Lacquered Wood Furniture,object,亚洲外销家具,3,7.1,8.2,7.5,7.3,8.2,0,8.0,7.4,9.2,8.060,7.726,A,A,,Core 7.726 落在 7.2–8.49,medium,为美国商人家庭制作的广州外销漆木游戏桌，将中国工艺、西方娱乐方式和塞勒姆远洋贸易叙事直接结合，是PEM核心收藏方向的强代表。,组内它与塞勒姆美国商户生活的联系最直接、叙事补位居首，但与58同属外销漆木家具，独特性居中。,
58,Japanese export lacquer writing desk,日本外销漆木写字台,Asian Export Art Gallery,Lacquered Wood Furniture,object,亚洲外销家具,3,7.2,8.0,7.4,7.3,8.3,0,7.8,6.6,8.4,7.560,7.646,A,A,,Core 7.646 落在 7.2–8.49,medium,江户时代漆木写字台对西式书写用具的适配清楚体现跨文化设计与消费需求，和PEM亚洲外销艺术身份高度契合。,组内它以日本江户漆艺及适配西式书写的设计形成补充，但与57在材质和跨文化改制主题上重复最多，故D最低。,
59,Indian Vizagapatam ivory‑inlaid cabinet,印度维扎加帕塔姆嵌象牙柜子,Asian Export Art Gallery,Inlaid Wood Furniture,object,亚洲外销家具,3,7.5,8.1,8.0,7.8,8.4,0,8.4,9.0,8.9,8.680,8.023,A,A,,Core 8.023 落在 7.2–8.49,medium,十八世纪维扎加帕塔姆嵌象牙柜兼具精细装饰、英印混合风格与外销贸易背景，能有力扩展PEM海上贸易叙事的全球范围。,组内它是唯一的英属印度嵌象牙家具，以迥异的产地、材质和盎格鲁—印度风格位居品质与独特性首位。,
60,Korean Joseon textile official rank badge,朝鲜时代官阶补子,Korean Art Gallery,Embroidery Textile,object,朝鲜王朝服饰刺绣,2,6.8,7.4,6.7,6.7,7.9,0,7.6,8.3,7.5,7.790,7.184,B,B,,Core 7.184 落在 5.5–7.19,high,这件有明确十九世纪编目和1899年捐赠记录的丝绣官阶补子，既能解释朝鲜王朝官僚等级与服饰符号，也体现PEM韩国收藏的早期形成史。,组内居首，保存完好且材质、年代与官服制度信息明确，是两件中最能代表朝鲜王朝官阶补子的完整典范。,
61,Hawaiian feather cape fragment,夏威夷羽毛斗篷残片,Oceanic Gallery,Feather‑Textile Fragment,object,大洋洲羽毛与纤维艺术,1,6.5,6.5,4.5,5.5,7,0,7.5,9.0,8.5,8.150,6.290,A,B,变,Core 6.290 落在 5.5–7.19,medium,夏威夷贵族羽毛斗篷承载等级、权力与稀缺工艺传统，也契合PEM的大洋洲收藏核心，但残片状态显著限制视觉完整性和单件不可替代性。,组内唯一对象，以稀存的夏威夷贵族羽毛斗篷材料独占代表位，虽为残片而非完整斗篷，仍能为PEM核心大洋洲叙事补上等级制度与羽毛工艺的重要一环。,
62,Marquesan carved ceremonial adze,马克萨斯仪式石锛,Oceanic Gallery,Stone‑Wood Tool,object,大洋洲仪式木雕,7,7,7.5,7,7,7.5,0,7.4,7.9,7.8,7.630,7.263,A,A,,Core 7.263 落在 7.2–8.49,medium,石刃与雕刻木柄结合的马克萨斯仪式锛兼具技术、权威和宗教含义，是PEM核心大洋洲收藏中较有代表性的礼仪器物。,组内第三，石刃与雕柄结合的仪式锛在一组以人像、面具为主的对象中类型独特，承担工艺与仪式工具叙事。,
63,Tonga carved wooden drinking bowl,汤加雕花祭祀木酒碗,Oceanic Gallery,Carved Wood Vessel,object,大洋洲仪式木雕,7,6.5,7,6,6.5,7.5,0,6.9,7.3,7.9,7.220,6.772,B,B,,Core 6.772 落在 5.5–7.19,medium,汤加卡瓦仪式木碗能够清楚解释波利尼西亚的礼仪、社会秩序与共享饮用传统，但作为常见器型，其视觉和单件稀缺性相对有限。,组内第四，汤加卡瓦仪式器皿虽艺术品质中等，却以独有的宴饮礼制题材补充了其他木雕没有的社会仪式环节。,
64,"New Britain mask, Melanesia",新不列颠美拉尼西亚仪式面具,Oceanic Gallery,Painted Wood Mask,object,大洋洲仪式木雕,7,7.5,8.5,8,8,8,0,8.2,8.4,8.7,8.360,8.061,A,A,,Core 8.061 落在 7.2–8.49,medium,新不列颠精神面具具有强烈造型感染力，而其与19世纪初塞勒姆航海采集的联系同时贯通PEM的大洋洲收藏和远洋贸易起源。,组内第二，强烈完整的美拉尼西亚面具是库神像之外最具视觉代表性的仪式形象，并有效补足区域叙事。,
65,19‑century Chinese export reverse‑glass painting,中国外销玻璃背面画,Asian Export Art Gallery,Reverse Glass Painting,object,中国外销玻璃画,1,6.5,8,6.5,7,8,0,7.2,8.8,8.5,7.940,7.319,B,A,变,Core 7.319 落在 7.2–8.49,medium,清代外销玻璃背画体现中国工匠对西方媒介、肖像趣味及美国市场的回应，是PEM亚洲外销艺术身份中很有解释力的典型门类。,组内唯一的中国外销玻璃背画，虽暂无证据表明其为顶级名作，但其特殊媒材与美国市场肖像题材能鲜明补足PEM的中美海贸及亚洲外销艺术叙事。,
66,Chinese export ivory puzzle ball,中国外销象牙套球,Asian Export Art Gallery,Carved Ivory,object,中国外销象牙雕,1,6.5,8,7.5,8,7.5,0,7.6,8.6,8.5,8.080,7.558,B,A,变,Core 7.558 落在 7.2–8.49,medium,广州多层象牙套球以复杂镂雕和机械般的嵌套结构吸引观众，并直接代表PEM核心的中国外销奇巧工艺收藏。,组内唯一的中国外销象牙雕，以广州多层套球这一典型奇巧器形居于本组首位，并能有力补充PEM关于外销工艺与跨洋贸易的核心叙事。,
67,Edo period samurai yoroi partial armor set,江户武士盔甲套件残套,Japanese Art Gallery,Armor Mixed‑Media,object,日本武具,2,6.5,6.5,7,7.5,7.5,0,6.8,5.8,7.4,6.620,6.887,A,B,变,Core 6.887 落在 5.5–7.19,medium,江户甲胄的漆艺、金属配件和武士身份象征具有良好展示与教育价值，但残套状态及缺少特殊归属信息削弱其完整性和本馆不可替代性。,组内次位，江户甲胄残套虽能补充头盔之外的整体武士装备形态，但因残缺且与前者共享甲胄叙事，独特性明显递减。,
68,Japanese ceramic tea‑ceremony bowl (chawan),日本茶道茶碗,Japanese Art Gallery,Glazed Ceramic,object,日本茶道陶瓷,1,6.5,6.5,6,6,7.5,0,7.2,8.5,7.5,7.650,6.615,B,B,,Core 6.615 落在 5.5–7.19,medium,江户茶碗可有效讲述茶道审美、礼法和器物使用传统，但未见名窑、名工或特殊传承信息，现场冲击力通常较为内敛。,作为组内唯一的日本茶道陶瓷，它以品质良好的江户时代茶碗独占代表位，虽非已知名窑名家重器，仍能有效补足日本茶文化叙事。,
69,"Indian miniature painting, Rajput hunting scene",拉杰普特细密画狩猎图,Asian Export Art Gallery,Opaque Watercolor on Paper,object,南亚宫廷细密画,1,6.5,5,6.5,6.5,7,0,6.8,8.2,7.0,7.260,6.276,B,B,,Core 6.276 落在 5.5–7.19,medium,拉杰普特狩猎图能够呈现印度宫廷生活、权力表演与细密画技法，但该门类并非PEM最具辨识度的收藏核心，且作品缺少年代、画派和归属细节。,作为组内唯一的南亚宫廷细密画，它以典型拉杰普特狩猎题材获得较高独特性，并为PEM以东亚及外销艺术为主的亚洲叙事补入印度宫廷艺术一环。,
70,Persian Qajar painted tile panel,卡扎尔波斯彩绘瓷砖板,Islamic‑Asian Gallery,Glazed Ceramic Tile,object,伊朗釉陶与建筑陶砖,1,6.5,5,7,7,7,0,6.5,8.5,7.0,7.200,6.420,B,B,,Core 6.420 落在 5.5–7.19,medium,卡扎尔具象彩绘陶砖具有鲜明色彩和建筑装饰感，可解释近代伊朗视觉文化，但伊斯兰陶瓷并非PEM身份核心，单件代表性信息也有限。,作为组内唯一对象，其具象彩绘兼具卡扎尔釉陶的时代代表性并独占较高D，同时为以东亚和外销艺术见长的PEM补入波斯建筑装饰陶艺一环。,
71,Nantucket whaling‑scene scrimshaw whalebone,楠塔基特捕鲸主题骨雕scrimshaw,Maritime Gallery,Engraved Whalebone,object,美国捕鲸骨雕,1,6.5,8,6.5,7.5,8.5,0,7.5,8.5,9.0,8.100,7.485,A,A,,Core 7.485 落在 7.2–8.49,medium,楠塔基特捕鲸骨雕是新英格兰海洋经济和船员手工文化的标志性物证，与PEM的区域海事身份高度契合，并可引出捕鲸业及动物资源利用的复杂历史。,作为组内唯一对象，它以鲸骨刻画楠塔基特捕鲸场景，独特性居本组首位且高度补合PEM以新英格兰远洋贸易和海事文化为核心的叙事，但现有信息不足以证明其为骨雕中的顶级名作。,
72,Ship‑model of Salem trading brig “Cleopatra”,塞勒姆双桅商船《克娄巴特拉》船模,Maritime Gallery,Wood Ship‑Model,object,塞勒姆商船船模,1,7.5,8.5,8,8,8.5,0,8.3,9.0,9.4,8.730,8.173,A,A,,Core 8.173 落在 7.2–8.49,medium,塞勒姆商船《克娄巴特拉》船模以直观而完整的船体结构串联本地航海、国际贸易与博物馆创立背景，是PEM海事叙事中高度契合身份的对象。,组内唯一对象，以具名塞勒姆商船的历史船模直接呈现本地远洋贸易，独特性偏高且对PEM核心海事叙事具有关键补位价值。,
73,18th‑century American whale‑oil lamp,18世纪美式鲸油灯,American Decorative Arts,Metal‑Glass Household Object,object,新英格兰海事生活器物,1,6.1,6.3,5.1,5.8,7.1,0,6.8,8.5,8.4,7.630,6.258,B,B,,Core 6.258 落在 5.5–7.19,medium,18世纪鲸油灯能具体说明新英格兰捕鲸经济、照明技术与家庭生活的联系，契合PEM海事叙事，但作为常见日用器类型仍有较强可替代性。,作为组内唯一对象，它以典型的新英格兰鲸油照明器具独占较高D，并为PEM的远洋贸易与海事叙事补入岸上家庭日常生活的一环。,
74,Felix Beato photograph of Chinese city gate,费利斯·比托中国城门原版照片,Photography Gallery,Albumen Photograph,object,19世纪中国早期摄影,2,7.5,7.2,6.4,6.8,8.0,0,8.3,7.2,7.6,7.830,7.263,A,A,,Core 7.263 落在 7.2–8.49,medium,比托是早期亚洲摄影的重要先驱，这幅罕见的19世纪60年代中国城门蛋白照片兼具建筑记录、摄影史与中西接触史价值，并与PEM的东亚收藏相呼应。,组内居次，比托的早期中国建筑影像历史分量很高，但城门题材对PEM远洋贸易与社会生活叙事的补位不及广州街景直接。,
75,John Thomson photograph of Canton street scene,约翰·汤姆森广州街景原版照片,Photography Gallery,Albumen Photograph,object,19世纪中国早期摄影,2,7.6,7.3,6.8,7.0,8.4,0,8.7,8.8,9.0,8.790,7.554,A,A,,Core 7.554 落在 7.2–8.49,medium,汤姆森的中国摄影是19世纪社会纪实的重要成果，广州街景对理解通商口岸城市空间与普通人的日常生活尤其具有叙事价值。,组内居首，汤姆森的广州日常街景兼具早期中国纪实摄影的典范性，并最直接连接PEM的广州贸易与东亚交流叙事。,
76,Salem sampler needlework girl’s schoolwork,塞勒姆少女刺绣样本,American Decorative Arts,Needlework Textile,object,新英格兰刺绣样本,2,6.2,6.5,5.8,6.1,7.3,0,6.9,5.6,5.9,6.310,6.376,B,B,,Core 6.376 落在 5.5–7.19,medium,这件联邦时期塞勒姆少女刺绣样本可呈现地方女性教育、书写训练与家庭手工文化，地方关联明确，但同类样本在新英格兰收藏中并非不可替代。,组内两件题材高度重合，本件虽是精良的塞勒姆联邦时期女学生作品，但因缺少确切纪年与纹样信息，代表性次于1792年样本。,
77,Hawaiian wooden surfboard fragment,夏威夷古冲浪板残件,Oceanic Gallery,Carved Wood Fragment,object,波利尼西亚传统木制器物,1,7.8,7.9,4.9,7.4,8.2,0,8.1,9.2,8.7,8.550,7.465,A,A,,Core 7.465 落在 7.2–8.49,medium,前现代夏威夷冲浪器物实物较为罕见，能连接波利尼西亚社会身份、海洋知识与冲浪传统，且高度契合PEM的大洋洲收藏核心，不过残件状态明显削弱视觉完整性。,组内唯一对象，以前现代夏威夷冲浪文化这一鲜明器物类型居首且无重复，虽为残件略损品质，却能为PEM的大洋洲叙事补上独特一环。,
78,Samoan fine woven ceremonial mat,萨摩亚仪式编织席,Oceanic Gallery,Plant‑Fiber Textile,object,大洋洲植物纤维仪式织物,1,7.9,7.6,6.5,6.9,8.4,0,8.6,9.0,8.7,8.740,7.624,B,A,变,Core 7.624 落在 7.2–8.49,medium,萨摩亚高级仪式席不仅体现精细编织工艺，更是等级、亲属关系、礼物交换和仪式权威的重要载体，在PEM大洋洲叙事中具有较强代表性。,作为组内唯一对象，它以高等级礼仪赠席代表萨摩亚精细编织与仪式交换传统，独特性居组内首位，并补强PEM核心大洋洲叙事中的植物纤维礼仪文化。,
79,Joseon dynasty brass temple bell fragment,朝鲜王朝铜钟残件,Korean Art Gallery,Cast Brass,object,韩国佛教金属器,1,5.9,5.9,5.5,5.5,6.6,0,6.1,8.5,7.3,7.060,6.001,B,B,,Core 6.001 落在 5.5–7.19,medium,朝鲜王朝寺院钟饰片可说明佛教铸造工艺和寺院声响文化，但残片缺少完整钟体的尺度、音响与仪式现场感，单件辨识度有限。,作为组内唯一的韩国佛教金属器，其朝鲜晚期寺院铜钟形制具有较高独特性并补充韩国宗教工艺叙事，但残件状态限制了典范性与品质上限。,
80,American folk carved weather‑vane figure,美国民间雕刻风向标人像,American Decorative Arts,Painted Wood Folk Sculpture,object,新英格兰民间木雕,1,6.2,6.4,6.5,6.9,6.6,0,6.8,8.2,6.9,7.240,6.564,B,B,,Core 6.564 落在 5.5–7.19,medium,彩绘木雕风向标人像体现新英格兰乡土造型、建筑装饰与天气观察传统，形象生动易于观赏，但在PEM身份中的作用不及海事或亚洲核心藏品。,作为组内唯一对象，它以彩绘人像式风向标独占新英格兰乡土木雕位置，D偏高，并为PEM的地方民俗叙事提供补位，但并非全馆核心门类。,
81,"Fitz Henry Lane, Small Coastal Sketch",菲茨·亨利·莱恩：海岸小稿,American Art Gallery,Oil Sketch,object,美国海事风景画,1,6.7,6.7,5.9,6.2,6.7,0,7.2,8.2,8.6,7.780,6.613,B,B,,Core 6.613 落在 5.5–7.19,medium,莱恩是美国光主义与新英格兰海事风景的重要画家，主题与PEM高度契合，但这件小型准备性习作的完成度和独立艺术地位低于其成熟海景作品。,作为组内唯一的美国海事风景油画，莱恩的地域关联与海景画史地位使其独特性和海事叙事补位价值较高，但小幅习作性质令品质分低于其成熟代表作。,
82,"Robert Feke, Portrait of Gentleman",罗伯特·费克：绅士肖像,American Art Gallery,Oil Painting,object,美国殖民时期油画肖像,1,6.8,5.8,6.5,6.2,6.9,0,6.8,8.2,6.7,7.200,6.470,B,B,,Core 6.470 落在 5.5–7.19,medium,费克是美国殖民时期肖像画的重要代表之一，此作可有效呈现殖民精英形象与肖像惯例，但简介明确指出它属于其较次要作品，且美国主流绘画并非PEM最不可替代的领域。,组内唯一的殖民时期油画肖像，费克具备较好的早期美国艺术代表性，因无同类重复而获高D，但作品本身并非其顶尖之作，且对PEM核心海贸叙事仅属补充。,
83,"John Singleton Copley, Portrait Miniature",科普利：微型肖像,American Art Gallery,Miniature on Ivory,object,美国肖像细密画,1,7.4,6.3,6.2,6.8,7.3,0,8.2,8.8,6.7,8.080,6.908,B,B,,Core 6.908 落在 5.5–7.19,medium,科普利在美国殖民时期艺术史中地位突出，象牙微型肖像兼具名家意义、私人纪念功能与亲密观看体验，但小尺幅限制了现场视觉冲击。,作为组内唯一的美国象牙肖像细密画，科普利的名家品质与亲密小尺幅形式使其独特性居于组首，并为美国艺术叙事补入殖民时期细密肖像传统。,
84,"Childe Hassam, Flower Garden Study",柴尔德·哈萨姆：花园花卉习作,American Art Gallery,Oil Painting,object,美国印象派油画,1,6.8,5.7,7.0,7.0,6.4,0,7.2,8.5,6.6,7.470,6.592,B,B,,Core 6.592 落在 5.5–7.19,medium,哈萨姆是美国印象派的重要画家，花园题材色彩宜人且容易吸引普通观众，但作为次要花卉习作，其艺术史分量和对PEM馆藏身份的贡献均低于代表性海岸作品。,作为组内唯一的美国印象派油画，它独占类别位置而获高D；哈萨姆具有代表性，但花园习作并非其最典范题材，且对PEM核心海贸与亚洲叙事仅属中等补位。,
85,"Martin Johnson Heade, Small Bird‑and‑Blossom Study",马丁·约翰逊·希德：花鸟小幅习作,American Art Gallery,Oil Painting,object,美国花卉与植物题材绘画,3,6.5,4.8,6.2,6.2,5.8,0,6.8,6.1,5.8,6.390,5.869,B,B,,Core 5.869 落在 5.5–7.19,medium,希德在美国艺术史上地位稳固，但这件小幅花鸟习作并非其大型沼泽风景代表作，且美国主流绘画不是PEM最不可替代的馆藏核心。,组内排名第三，花鸟结合虽有辨识度，但小幅习作并非希德最具代表性的创作，且在自然观察功能上与布里奇斯作品有所重复。,
86,"Fidelia Bridges, Floral Watercolor",菲德莉娅·布里奇斯：花卉水彩,American Art Gallery,Watercolor on Paper,object,美国花卉与植物题材绘画,3,6.2,5.8,5.9,5.9,6.7,0,6.9,7.2,6.6,6.930,6.158,B,B,,Core 6.158 落在 5.5–7.19,medium,布里奇斯是塞勒姆出身的重要女性水彩画家，这件典型植物小品兼具地方联系与女性艺术史叙事，但视觉规模和单件稀缺性有限。,组内排名第二，纸本水彩及女性艺术家的植物研究视角形成明确区隔，但题材典范性与艺术史地位略逊于欧姬芙。,
87,"J.O.J. Frost, Fisherman’s Cottage Scene",J.O.J.弗罗斯特：渔夫小屋,American Art Gallery,Oil Painting,object,新英格兰地方民间绘画,1,6.2,6.9,5.8,6.2,7.2,0,7.3,8.8,8.7,8.030,6.648,B,B,,Core 6.648 落在 5.5–7.19,medium,弗罗斯特的民间记忆画直接连接塞勒姆地区的滨水日常与海事文化，虽非国家级艺术杰作，却与PEM的地域叙事高度契合。,组内唯一，虽非美国民间绘画的全国性巅峰之作，却以塞勒姆渔民日常的地方记忆独特补足PEM远洋贸易宏大叙事下的本土滨水生活。,
88,"Winslow Homer, Figure Sketch",温斯洛·霍默：人物速写,American Art Gallery,Charcoal on Paper,object,美国人物题材习作,2,5.7,4.4,4.7,4.8,5.8,0,6.4,4.5,4.4,5.430,5.078,B,C,变,Core 5.078 < 5.5,medium,霍默的名望赋予这张炭笔稿一定研究价值，但普通人物预备习作视觉完成度较低，在PEM也不承担关键身份功能。,组内居第二，虽出自霍默且能呈现纸本炭笔的创作过程，但作为一般人物习作，相较特朗布尔的革命时代油画肖像草稿重复性更高、叙事补位较弱。,
89,"John Trumbull, Portrait Study",约翰·特朗布尔：人物肖像草稿,American Art Gallery,Oil Sketch,object,美国人物题材习作,2,6.1,4.8,5.1,5.2,6.5,0,7.0,7.3,6.2,6.930,5.633,B,B,,Core 5.633 落在 5.5–7.19,medium,特朗布尔与美国革命历史绘画关系密切，使这件人物油画草稿具有过程和时代教育价值，但其未明确的对象与习作性质限制了单件重要性。,组内居第一，其油画草稿形式及革命时代人物背景比霍默的通用人物速写更具历史指向性，因而独特性与美国历史叙事补位价值更高。,
90,"Georgia O’Keeffe, Leaf Study",乔治亚·欧姬芙：叶片习作,American Art Gallery,Oil Painting,object,美国花卉与植物题材绘画,3,6.9,5.0,6.5,6.7,6.3,0,7.5,8.5,6.8,7.660,6.321,B,B,,Core 6.321 落在 5.5–7.19,medium,欧姬芙是美国现代艺术的一流人物，叶片有机形态也易于吸引游客，但这件小型习作弱于其标志性花卉杰作且并非PEM身份核心。,组内排名第一，以现代主义叶片造型区别于另外两件19世纪式自然研究，虽非欧姬芙代表性花卉杰作，仍最能拓展美国植物绘画的时代谱系。,
91,"Samuel McIntire, Door‑frame carving fragment",塞缪尔·麦金太尔：门框木雕残件,Gardner‑Pingree House,Wood Carving,object,塞勒姆联邦时期建筑木雕构件,2,5.9,6.7,5.2,5.0,6.7,0,7.8,7.8,7.6,7.760,6.166,B,B,,Core 6.166 落在 5.5–7.19,medium,麦金太尔的木雕与塞勒姆联邦时期建筑传统及Gardner-Pingree House语境紧密相连，但门框残件的完整性和独立视觉吸引力有限。,组内居首，其门框构件的完成度与建筑性更能综合代表麦金太尔工坊及塞勒姆联邦时期室内木雕传统。,
92,"Samuel McIntire, urn‑motif decorative trim",麦金太尔：瓮纹装饰木饰条,Gardner‑Pingree House,Wood Carving,object,塞勒姆联邦时期建筑木雕构件,2,5.8,6.6,5.6,5.3,6.6,0,7.3,6.4,6.9,6.950,6.130,B,B,,Core 6.130 落在 5.5–7.19,medium,瓮纹饰条能够清楚说明麦金太尔式新古典室内装饰语言并强化本地建筑叙事，但作为附属构件仍具有较高可替代性。,组内居次，瓮纹虽具典型的联邦时期古典装饰特征，但与门框残件叙事重合较多，主要补充具体纹样类型。,
93,"Paul Revere, Silver Teaspoon Set",保罗·里维尔：银茶匙成套,American Decorative Arts,Silver,object,新英格兰历史银器,2,6.9,5.8,5.5,6.0,6.8,0,7.8,6.0,7.0,7.100,6.285,B,B,,Core 6.285 落在 5.5–7.19,medium,带署名的里维尔银茶匙兼具著名制作者、革命时代联想与新英格兰工艺史价值，但平面餐具的体量和视觉冲击较弱。,组内工艺与历史名望略占优，且可连接茶饮和贸易叙事，但常见餐具形制使其独特性低于银盐罐。,
