seq,名称,旧档,新档,旧 Core,新 Core,ΔCR,ΔHS,ΔIU,ΔVI,ΔVA,ΔCE,旧组,新组,新组件数,新组含新增展品,主因推断
139,Marquesan small ancestor carving,B,B,6.57,6.49,1.18,0.2,-0.6,-0.3,-0.5,0.2,大洋洲仪式木雕,大洋洲雕刻木器,5,,
140,Fijian carved wooden bowl,B,B,6.66,6.49,-0.57,0.5,-0.5,-0.2,-0.3,-0.1,大洋洲雕刻木容器,大洋洲雕刻木器,5,,
143,Rapa Nui carved wooden statuette,B,B,6.3,5.67,-0.04,-0.2,-1.3,-0.9,-0.5,-0.4,大洋洲仪式木雕,大洋洲雕刻木器,5,,
144,"Scrimshaw whale tooth, sailing‑ship motif",B,B,6.92,6.73,-0.11,-0.6,0.3,-0.5,0.0,-0.4,海事鲸牙雕刻,新英格兰海事鲸骨雕,1,,
147,Brass ship compass working example,B,B,6.15,6.4,-0.41,0.2,1.3,-0.7,-0.2,0.4,航海仪器与船用工具,海事航海仪器,1,,
149,Ship‑carpenter’s folding rule,C,C,4.98,4.53,1.35,-0.8,-0.2,-1.0,-0.7,-0.8,航海仪器与船用工具,海事船木工工具,1,,
150,Water‑colour ship portrait of minor Salem brig,B,B,5.99,5.57,-2.27,0.4,-0.1,-0.6,-0.7,-0.3,塞勒姆船舶肖像画,塞勒姆海事船舶肖像画,2,,
151,Model of small coastal schooner,B,B,5.93,5.9,-0.14,-0.2,0.5,-0.1,-0.4,-0.2,船模,海事帆船模型,1,,
152,19th‑century whale‑oil lantern,B,B,5.96,5.6,-0.39,-0.5,0.3,-0.4,-1.0,-0.6,船上照明器具,海事照明与船上生活器物,1,,
153,Salem customs‑house manuscript fragment,B,B,5.63,5.66,-1.16,0.3,0.7,-1.4,-0.2,1.0,塞勒姆海事手稿,塞勒姆海事手稿,2,,
154,Ship captain’s personal journal fragment,B,B,5.57,5.55,1.03,0.4,-0.1,-1.6,0.3,0.1,塞勒姆海事手稿,塞勒姆海事手稿,2,,
155,Felix Beato landscape photograph,B,B,6.26,6.24,0.14,0.2,0.5,-0.3,-0.2,-0.8,19世纪蛋白摄影,19世纪东亚纪实摄影,2,,
156,John Thomson street‑scene photograph,B,B,6.78,6.37,0.14,-0.1,-0.3,-1.2,-0.5,-0.5,19世纪蛋白摄影,19世纪东亚纪实摄影,2,,
158,Persian Safavid small ceramic bowl,C,C,4.94,4.75,-0.17,0.1,0.0,-0.2,-0.6,-0.5,伊斯兰陶瓷器皿,伊斯兰釉陶小型器物,1,,
159,Persian Qajar painted tile fragment,C,C,4.66,4.49,-0.58,0.1,0.3,-0.3,-0.4,-0.7,伊斯兰建筑陶砖,伊斯兰建筑釉陶砖残件,2,,
161,Ottoman calligraphic tile fragment,C,C,4.92,4.91,0.3,0.3,0.2,-0.3,-0.2,-0.5,伊斯兰建筑陶砖,伊斯兰建筑釉陶砖残件,2,,
162,Ottoman embroidered towel fragment,C,C,4.52,4.54,-0.27,0.3,0.4,-0.1,0.0,-0.6,伊斯兰刺绣织物,奥斯曼刺绣家用织物,1,,
163,Greek black‑figure kylix cup fragment,C,C,5.11,4.63,-1.72,0.1,-0.6,-0.5,-0.4,-0.3,古希腊彩绘陶器,古希腊彩绘陶器残片,2,,
164,Greek red‑figure amphora neck fragment,C,C,4.94,4.72,-0.19,0.2,-0.6,-0.3,-0.2,-0.1,古希腊彩绘陶器,古希腊彩绘陶器残片,2,,
165,Roman marble portrait bust fragment,C,C,5.06,4.5,-0.51,-0.3,-0.7,-0.5,-0.9,-0.4,古罗马大理石雕塑,古罗马大理石肖像雕塑残件,1,,
166,Roman glass perfume bottle,C,C,4.95,5.04,0.97,0.5,-0.6,0.3,0.1,-0.1,古罗马玻璃器,古罗马玻璃容器,1,,
167,Egyptian faience amulet figurine,C,C,5.22,5.03,0.39,0.3,-0.8,-0.1,-0.4,-0.1,古埃及护身符与小型造像,古埃及费昂斯护身符,1,,
168,Etruscan bronze fibula safety‑pin brooch,C,C,4.9,4.82,-0.3,0.5,-0.6,0.1,-0.1,0.0,古代地中海青铜饰件,伊特鲁里亚青铜服饰金工,1,,
169,"Italian maiolica plate, 16th‑century",C,C,5.28,4.97,-0.17,0.2,-0.6,0.3,-0.4,-1.1,欧洲装饰陶瓷,欧洲陶瓷餐具与装饰陶瓷,2,,
170,Renaissance bronze small plaquette religious theme,C,C,4.84,4.75,-0.34,0.5,-0.3,0.2,-0.7,0.0,欧洲青铜小型雕塑,欧洲文艺复兴宗教青铜小品,1,,
171,Baroque pewter drinking mug,C,C,4.48,3.33,-0.49,-0.9,-1.1,-1.3,-1.2,-1.8,欧洲锡镴器,欧洲锡镴日用器皿,1,,
172,Gothic stained‑glass floral fragment,C,C,4.77,3.67,-1.06,-0.1,-1.2,-1.0,-1.8,-1.7,欧洲彩色玻璃,欧洲教堂彩色玻璃,1,,
174,Japanese contemporary ceramic tea cup,C,C,5.32,4.74,1.21,-0.5,-0.9,-0.4,-0.3,-1.8,日本当代陶艺,日本当代陶艺,1,,
176,Contemporary mixed‑media shell assemblage artwork,C,C,4.83,3.32,0.67,-0.7,-2.2,-1.2,-2.4,-2.3,当代混合媒介艺术,当代自然主题综合媒介作品,1,,
177,Hank Willis Thomas small print work,B,B,6.24,5.69,0.07,-0.1,-0.8,-1.5,-0.2,-0.6,美国当代纸本版画,美国当代社会议题版画,1,,
178,Valerie Hagerty small cabinet study,C,C,5.12,4.35,-0.48,-0.4,-0.3,-1.1,-1.2,-1.5,当代混合媒介艺术,当代柜体与家具观念作品,1,,
181,Carved walnut snuff box,C,C,4.45,4.45,-0.67,0.5,1.2,-0.5,-0.8,-0.9,美国民间木雕小件,美国民间木雕器物,2,,
183,Japanese wood tea caddy,C,C,5.5,4.74,-0.82,-0.2,-0.5,-1.0,-1.2,-1.2,日本木质茶器,日本民间木制茶具,1,,
184,Korean iron pot for home cooking,C,C,5.49,4.13,0.08,-1.1,-1.3,-1.8,-2.2,-1.5,朝鲜传统生活铁器,朝鲜日用铁器,1,,
186,Whaling‑ship carved wooden utensil,B,B,6.48,6.3,0.49,-0.2,0.2,-1.1,-0.2,-0.3,捕鲸船上生活器物,美国民间木雕器物,2,,
187,Hand‑colored lithograph of Salem harbor,B,B,6.34,5.53,-0.8,-0.7,-0.7,-0.8,-1.0,-1.0,塞勒姆地方景观版画,塞勒姆历史图像版画,1,,
188,Safavid textile fragment floral pattern,B,B,5.63,5.61,0.24,0.7,0.3,-0.3,-1.0,-0.4,伊斯兰丝织物,萨法维波斯丝织物,1,,
191,American folk carved animal figure,C,C,5.19,5.15,-1.27,0.2,0.5,-0.4,0.0,-0.1,美国民间木雕小件,美国民间彩绘木雕,1,,
192,Chinese Qing‑dynasty scholar’s rock miniature,B,B,6.21,6.23,-0.64,0.3,-0.2,0.3,-0.1,0.3,中国外销文人式陈设,中国外销文人雅玩,1,,
193,Japanese bamboo flower vase,B,B,6.06,5.51,-0.28,0.2,-1.1,-0.2,-0.9,-0.8,日本竹工艺,日本竹工艺花器,1,,
194,Māori woven basket,B,B,5.97,5.78,0.76,0.2,-0.4,-0.3,-0.6,-0.5,大洋洲植物纤维编织品,毛利植物纤维篮筐,1,,
195,Salem ship‑captain’s brass seal stamp,B,B,6.27,6.12,0.29,-0.2,0.2,-0.8,-0.5,0.0,塞勒姆航海文书器具,塞勒姆海事个人印章,1,,
196,Miniature watercolor of Yin Yu Tang courtyard,B,B,5.87,5.53,0.26,-0.3,-0.1,-0.9,-1.3,0.3,荫余堂建筑记录图稿,荫余堂相关纸本水彩,1,,
197,Mwaash aMbooy mask,（新增）,A,,7.31,,,,,,,,非洲传统仪式面具,2,是,
198,Figure group,（新增）,B,,6.11,,,,,,,,非洲传统人物雕塑,1,是,
199,Barkcloth,（新增）,B,,6.12,,,,,,,,非洲传统纺织与树皮布,1,是,
200,Sowo-wui mask,（新增）,B,,7.18,,,,,,,,非洲传统仪式面具,2,是,
201,West African Outlook,（新增）,C,,5.24,,,,,,,,非洲现代纸本绘画,1,是,
202,Kiti cha enzi (chair of power),（新增）,A,,7.31,,,,,,,,非洲传统家具与权力器物,2,是,
203,Headrest,（新增）,B,,5.7,,,,,,,,非洲传统家具与权力器物,2,是,
204,Finger piano,（新增）,B,,6.29,,,,,,,,非洲传统乐器,1,是,
205,Drum,（新增）,C,,5.33,,,,,,,,西非鼓类,1,是,
206,Mask,（新增）,B,,6.42,,,,,,,,西非面具,1,是,
207,Ceremonial axe,（新增）,C,,5.44,,,,,,,,东南非仪式武器与权力器物,1,是,
208,Sensul (Folding icons) in original embossed leather case,（新增）,B,,6.94,,,,,,,,埃塞俄比亚基督教手抄本与宗教图像,1,是,
209,Salem Common on Training Day,（新增）,B,,7.09,,,,,,,,塞勒姆及新英格兰地方题材绘画,1,是,
210,La belle epoque,（新增）,B,,6.1,,,,,,,,美国战后抽象绘画,1,是,
211,Untitled,（新增）,B,,5.91,,,,,,,,美国非裔抽象绘画,1,是,
212,"Webster House, Provincetown",（新增）,B,,5.71,,,,,,,,普罗温斯敦艺术殖民地绘画,1,是,
213,Weight,（新增）,B,,6.57,,,,,,,,美国当代社会主题雕塑,1,是,
214,"East Headland, Appledore, Isles of Shoals",（新增）,B,,6.98,,,,,,,,美国印象派风景画,1,是,
215,Portrait of Ahmad bin Na'aman,（新增）,A,,7.56,,,,,,,,美国海事与跨文化肖像画,1,是,
216,Velocipede,（新增）,B,,6.44,,,,,,,,美国十九世纪交通器物,1,是,
217,Jug,（新增）,B,,5.89,,,,,,,,美国早期陶器与炻器,1,是,
218,Pear,（新增）,B,,6.86,,,,,,,,美国早期彩绘木制装饰品,1,是,
219,Great chair,（新增）,B,,7.14,,,,,,,,美国早期椅具,2,是,
220,Chimneypiece from the Simon Forrester house,（新增）,B,,6.93,,,,,,,,美国早期建筑木雕构件,1,是,
221,Dressing chest,（新增）,B,,6.52,,,,,,,,美国早期储物家具,2,是,
222,Pictorial Sampler,（新增）,B,,6.64,,,,,,,,美国早期刺绣样本,1,是,
223,Side chair,（新增）,C,,5.2,,,,,,,,美国早期椅具,2,是,
224,Dwarf Clock,（新增）,B,,5.84,,,,,,,,美国早期钟表,1,是,
225,Coffee service,（新增）,C,,5.0,,,,,,,,美国现代银制器,1,是,
226,Valuables cabinet owned by Joseph and Bathsheba Pope,（新增）,A,,7.53,,,,,,,,美国早期储物家具,2,是,
227,Teapot in Hand,（新增）,B,,7.16,,,,,,,,美国当代实验陶瓷,1,是,
228,Talavera Poblana Basin,（新增）,B,,6.54,,,,,,,,墨西哥殖民时期锡釉陶器,1,是,
229,Isabella,（新增）,B,,6.62,,,,,,,,美国当代玻璃艺术,1,是,
230,Brooch,（新增）,B,,6.07,,,,,,,,美国装饰艺术珠宝,1,是,
231,Cabinet,（新增）,C,,5.0,,,,,,,,美国装饰艺术家具,1,是,
232,Sampler,（新增）,C,,4.69,,,,,,,,墨西哥纺织与刺绣,1,是,
233,Child's jacket,（新增）,B,,6.96,,,,,,,,南亚—欧洲跨文化纺织品,1,是,
234,Dressing table,（新增）,B,,7.0,,,,,,,,日本漆器与梳妆家具,1,是,
235,Shuja-ud-Daula and His Sons,（新增）,A,,7.9,,,,,,,,中国外销绘画,1,是,
236,Mounted crow cup,（新增）,A,,7.8,,,,,,,,中国外销瓷器,1,是,
237,Ewer,（新增）,A,,7.9,,,,,,,,南亚外销器物,1,是,
238,Portable shrine,（新增）,S,,8.9,,,,,,,,日本跨文化宗教艺术,1,是,
239,Chair,（新增）,A,,8.08,,,,,,,,南亚外销家具,1,是,
240,Figure of a bijin (beautiful woman),（新增）,B,,6.71,,,,,,,,日本外销瓷与陶塑,1,是,
241,A complete set of Chinese wallpaper,（新增）,A,,8.41,,,,,,,,中国外销壁纸,1,是,
242,Tea packer and tea porter,（新增）,A,,7.92,,,,,,,,广州外销人物模型,1,是,
243,Charger with the Okeover family coat of arms,（新增）,B,,6.87,,,,,,,,中国外销瓷,2,是,
244,Teapot,（新增）,A,,7.44,,,,,,,,中国外销银器,2,是,
245,Christ child,（新增）,A,,8.13,,,,,,,,南亚基督教宗教雕塑,1,是,
246,Tea Production in China,（新增）,A,,7.91,,,,,,,,中国外销贸易绘画,1,是,
247,Augustus the Strong's covered vase,（新增）,A,,7.85,,,,,,,,中国外销瓷,2,是,
248,Six-panel wall hanging,（新增）,A,,7.98,,,,,,,,清代宫廷丝织品,1,是,
249,Pair of tribute bearers,（新增）,A,,7.52,,,,,,,,中国宫廷陈设人物像,1,是,
250,"Jesus, Mary, and Joseph",（新增）,B,,5.94,,,,,,,,中国基督教主题绘画,1,是,
251,Second-degree Daoist priest's robe,（新增）,A,,7.79,,,,,,,,中国道教宗教服饰,1,是,
252,Stool,（新增）,C,,5.04,,,,,,,,中国当代设计家具,1,是,
253,Bed cover,（新增）,C,,5.29,,,,,,,,中国民间拼布纺织品,1,是,
254,Empress Xiaoxian,（新增）,B,,7.13,,,,,,,,清代宫廷人物肖像,1,是,
255,Lidded ritual grain container with lozenges and scrolls,（新增）,A,,7.37,,,,,,,,中国古代青铜礼器,1,是,
256,Desk and dressing table on stand,（新增）,B,,6.71,,,,,,,,中国家具与文房器,1,是,
257,Headdress,（新增）,A,,7.25,,,,,,,,清代服饰与头饰,1,是,
258,Snuff bottle,（新增）,B,,6.88,,,,,,,,清代宫廷珐琅器,1,是,
259,Figurehead 2.0,（新增）,A,,7.57,,,,,,,,当代数字投影艺术,1,是,
260,"Alchemy of the Soul, Elixir of the Spirits",（新增）,A,,7.61,,,,,,,,当代沉浸式多媒介装置,1,是,
261,Mr. and Mrs. Paul Mellon Staircase and Galleries,（新增）,A,,7.68,,,,,,,,PEM当代建筑与空间艺术,1,是,
262,Immanence,（新增）,B,,7.19,,,,,,,,当代观念性装置艺术,1,是,
263,Pretty Pretty 10,（新增）,B,,6.93,,,,,,,,当代纤维与织物艺术,1,是,
264,Stamp Act Repeal'd teapot,（新增）,A,,7.31,,,,,,,,18世纪英国政治纪念陶瓷,1,是,
265,Two English Boys in Asian Clothing,（新增）,B,,6.86,,,,,,,,亚洲外销艺术展中的欧洲画作,3,是,
266,Side chair from the grand salon on the ocean liner Normandie,（新增）,B,,6.75,,,,,,,,海事题材装饰器物,2,是,
267,"Homeland, Blue and White",（新增）,A,,7.63,,,,,,,,当代亚洲外销瓷再创作,1,是,
268,"Armor, helmet and cuirass, used for the gioco del ponte (contest on the bridge) in Pisa",（新增）,B,,5.92,,,,,,,,欧洲历史武备,1,是,
269,Potpourri vase,（新增）,A,,8.08,,,,,,,,亚洲外销瓷与欧洲奢侈装饰器物,1,是,
270,"Dr. Thomas Richardson Colledge and His Assistant Afun in Their Ophthalmic Hospital, Macau",（新增）,A,,7.79,,,,,,,,亚洲外销艺术展中的欧洲画作,3,是,
271,Launching of an Armed Merchantman in Calcutta Harbor,（新增）,A,,8.17,,,,,,,,亚洲外销艺术展中的欧洲画作,3,是,
272,"Pair of vases, USS Demologos and USS Constitution vs. HMS Guerriere",（新增）,A,,7.6,,,,,,,,海事题材装饰器物,2,是,
273,Prayer bead with the God in Glory and the Last Judgment,（新增）,B,,6.71,,,,,,,,欧洲宗教雕刻小型器物,1,是,
274,Chandelier for East India Marine Hall,（新增）,A,,8.2,,,,,,,,PEM早期馆史与海事空间器物,1,是,
275,Salem Light Infantry uniform,（新增）,B,,7.08,,,,,,,,塞勒姆地方历史服饰,1,是,
276,Corset,（新增）,B,,6.37,,,,,,,,19世纪欧美女性服饰,1,是,
277,Wedding dress,（新增）,C,,5.38,,,,,,,,历史与当代服装,6,是,
278,Applique Rising-Sun Quilt,（新增）,B,,6.37,,,,,,,,装饰性纺织品（被褥与床罩）,2,是,
279,Dress,（新增）,B,,6.25,,,,,,,,历史与当代服装,6,是,
280,Banyan (dressing gown),（新增）,B,,6.7,,,,,,,,历史与当代服装,6,是,
281,Palampore (bed cover),（新增）,A,,8.1,,,,,,,,装饰性纺织品（被褥与床罩）,2,是,
282,Evening tuxedo jumpsuit,（新增）,B,,6.59,,,,,,,,历史与当代服装,6,是,
283,Bracelet,（新增）,B,,6.01,,,,,,,,当代原住民首饰,1,是,
284,Dress,（新增）,B,,7.07,,,,,,,,历史与当代服装,6,是,
285,Kiss Me Dolores,（新增）,B,,5.82,,,,,,,,当代设计鞋履,1,是,
286,"Ensemble, from the collection Fashion as Resistance",（新增）,B,,6.64,,,,,,,,历史与当代服装,6,是,
287,Cape,（新增）,A,,7.51,,,,,,,,原住民服饰与纺织品,1,是,
288,Doll of a woman and child (iki ningyo),（新增）,A,,7.53,,,,,,,,日本民俗人形,1,是,
289,"Kabuki robe (uchikake) with design of tortoise, crane, and pines",（新增）,B,,7.13,,,,,,,,日本戏剧服饰,1,是,
290,"Dejima, the Dutch Trading Station at Nagasaki handscroll",（新增）,A,,7.55,,,,,,,,日本对外贸易题材绘画与手卷,1,是,
291,Teacup and saucer,（新增）,B,,5.73,,,,,,,,日本茶具,1,是,
292,Surcoat (jinbaori),（新增）,A,,7.85,,,,,,,,日本武士外套与跨文化服饰,1,是,
293,Brazier in the form of a rabbit,（新增）,B,,5.83,,,,,,,,日本动物造型陶瓷器,1,是,
294,Portrait of Edward Sylvester Morse,（新增）,B,,6.65,,,,,,,,与PEM收藏史相关的人物肖像,1,是,
295,Screen,（新增）,B,,6.32,,,,,,,,韩国折屏,2,是,
296,Ten-panel screen (Banquet of Guo Ziyi),（新增）,A,,7.55,,,,,,,,韩国折屏,2,是,
297,Soban (small individual table),（新增）,A,,7.48,,,,,,,,韩国小型漆木家具,1,是,
298,Hat (gat),（新增）,A,,7.37,,,,,,,,韩国传统帽饰,2,是,
299,Cotton armor with talismans,（新增）,A,,7.27,,,,,,,,韩国防护与仪式性服饰,1,是,
300,Portrait of Yu Giljun,（新增）,B,,6.28,,,,,,,,与韩国收藏史相关的摄影肖像,1,是,
301,Noblewoman's bridal fan (jinjuseon),（新增）,B,,6.28,,,,,,,,韩国礼仪扇具,1,是,
302,Hwarot (bridal robe),（新增）,A,,7.7,,,,,,,,韩国婚礼服饰,1,是,
303,Village guardian posts (jangseung),（新增）,B,,7.09,,,,,,,,韩国村落守护柱,1,是,
304,Box,（新增）,A,,7.63,,,,,,,,韩国漆器与螺钿盒,1,是,
305,Wrapping cloth (bojagi),（新增）,B,,5.88,,,,,,,,韩国包袱布与实用织物,1,是,
306,Nectar Ritual (gamnotaeng) hanging scroll,（新增）,A,,7.67,,,,,,,,韩国宗教仪式绘画,1,是,
307,Dragon jar,（新增）,A,,7.36,,,,,,,,韩国白瓷龙纹罐,1,是,
308,Bowler hat,（新增）,B,,6.87,,,,,,,,韩国传统帽饰,2,是,
309,"Inkwell inscribed, Madam Pauling, Joseon Ministry of Internal Affairs",（新增）,B,,6.77,,,,,,,,韩国近代外交与现代化物件,1,是,
310,Sword and sheath,（新增）,B,,6.31,,,,,,,,韩国兵器与佩饰,1,是,
311,Free reed wind instrument (saenghwang),（新增）,B,,6.91,,,,,,,,韩国传统乐器,2,是,
312,Lute (biwa),（新增）,C,,5.25,,,,,,,,韩国传统乐器,2,是,
313,Fan (taegeukseon),（新增）,C,,5.22,,,,,,,,韩国传统扇具,1,是,
314,Launching of the Ship Fame,（新增）,A,,7.41,,,,,,,,美国海事题材绘画,4,是,
315,Two-headed equestrian figurehead,（新增）,A,,7.73,,,,,,,,船舶船首雕像,1,是,
316,"The Stranding of Corvettes in the Mauvais Canal, Strait of Torres",（新增）,A,,7.62,,,,,,,,欧洲海上探险与航海绘画,1,是,
317,Royal presentation octant dedicated to King Louis XVI,（新增）,A,,7.36,,,,,,,,航海仪器与科学测量器,1,是,
318,Scrimshaw of the ship Susan,（新增）,A,,7.92,,,,,,,,美国水手雕刻与鲸牙工艺,1,是,
319,Model of the ship Queen Elizabeth,（新增）,B,,6.57,,,,,,,,历史船舶模型,2,是,
320,Ship Southern Cross in Boston Harbor,（新增）,A,,8.38,,,,,,,,美国海事题材绘画,4,是,
321,Icebound Ship,（新增）,A,,7.33,,,,,,,,美国海事题材绘画,4,是,
322,They Took Their Wives with Them on Their Cruises,（新增）,A,,7.36,,,,,,,,美国海事题材绘画,4,是,
323,Portrait of Nathaniel Bowditch,（新增）,A,,7.71,,,,,,,,美国海事人物肖像,1,是,
324,Model of the ship Friendship,（新增）,A,,8.13,,,,,,,,历史船舶模型,2,是,
325,Captain Cook Cast a Way on Cape Cod,（新增）,B,,6.96,,,,,,,,18—19世纪塞勒姆海事船舶画,2,是,
326,Ship Alfred of Salem Cap Joseph Felt,（新增）,B,,6.48,,,,,,,,18—19世纪塞勒姆海事船舶画,2,是,
327,Hovenweep #331,（新增）,A,,7.22,,,,,,,,当代美国原住民绘画,2,是,
328,"Tsu Heidei Shugaxtutaan (We Will Again Open This Container of Wisdom That Has Been Left in Our Care), Parts I and II",（新增）,A,,7.87,,,,,,,,当代原住民影像与录像艺术,1,是,
329,Boots,（新增）,A,,7.93,,,,,,,,当代原住民珠饰与穿戴艺术,1,是,
330,Indian with Beaded Headdress,（新增）,A,,7.78,,,,,,,,当代美国原住民绘画,2,是,
331,Hanodaga:yas (Town Destroyer),（新增）,A,,8.28,,,,,,,,当代原住民影像与装置艺术,1,是,
332,"David Weeden (Mashpee Wampanoag), from the ongoing Critical Indigenous Photographic Exchange series",（新增）,B,,6.79,,,,,,,,当代原住民摄影,1,是,
333,"Companion Species: Cosmos, Sunrise, Flint",（新增）,A,,7.48,,,,,,,,当代美国原住民纤维艺术,1,是,
334,Drum,（新增）,A,,7.31,,,,,,,,历史时期阿拉斯加原住民器物,1,是,
335,Sash,（新增）,B,,6.93,,,,,,,,历史时期美国原住民纺织与珠饰,1,是,
336,Bibi k'inpi (cradleboard),（新增）,A,,7.56,,,,,,,,历史时期美国原住民婴儿背板,1,是,
337,Mask,（新增）,B,,6.83,,,,,,,,美国原住民艺术,6,是,
338,Basket,（新增）,B,,6.5,,,,,,,,美国原住民艺术,6,是,
339,The Seine of Journeys,（新增）,A,,7.46,,,,,,,,美国原住民艺术,6,是,
340,Pipe,（新增）,A,,7.27,,,,,,,,美国原住民艺术,6,是,
341,Sculpture,（新增）,A,,7.77,,,,,,,,美国原住民艺术,6,是,
342,Doll,（新增）,B,,5.9,,,,,,,,美国原住民艺术,6,是,
343,King penguin (Aptenodytes patagonicus),（新增）,B,,6.43,,,,,,,,塞勒姆历史自然史藏品,6,是,
344,Coco de mer (Lodoicea maldivica) nut,（新增）,B,,6.56,,,,,,,,塞勒姆历史自然史藏品,6,是,
345,Ostrich (Struthio camelus) egg,（新增）,B,,5.56,,,,,,,,塞勒姆历史自然史藏品,6,是,
346,Leatherback turtle (Dermochelys coriacea),（新增）,B,,7.2,,,,,,,,塞勒姆历史自然史藏品,6,是,
347,Red Malay rooster (Gallus gallus domesticus),（新增）,B,,6.71,,,,,,,,塞勒姆历史自然史藏品,6,是,
348,Zoological illustration of a newly discovered species of toad,（新增）,B,,6.6,,,,,,,,塞勒姆历史自然史藏品,6,是,
349,"Insect teaching chart for the Peabody Academy of Science's Summer School of Biology, Salem",（新增）,B,,5.69,,,,,,,,十九世纪自然史教学图表,1,是,
350,Pintail decoy,（新增）,C,,5.35,,,,,,,,美国鸟类诱鸭雕刻,2,是,
351,Decorative carving of a semipalmated sandpiper,（新增）,B,,6.44,,,,,,,,美国鸟类诱鸭雕刻,2,是,
352,Marginal wood fern (Dryopteris marginalis),（新增）,B,,5.82,,,,,,,,植物学模式标本,1,是,
353,"American bison, bull",（新增）,B,,5.87,,,,,,,,美国大型哺乳动物标本,1,是,
354,Headdress,（新增）,B,,7.19,,,,,,,,大洋洲身体装饰品,3,是,
355,Pipe,（新增）,B,,6.8,,,,,,,,毛利雕刻与贝壳镶嵌器物,1,是,
356,"Kava - We, the two of us",（新增）,B,,6.63,,,,,,,,夏威夷原住民当代艺术,1,是,
357,Tapa,（新增）,A,,7.2,,,,,,,,大洋洲树皮布与纤维织物,1,是,
358,Peue ei (women's head ornament),（新增）,A,,7.97,,,,,,,,大洋洲身体装饰品,3,是,
359,Bure kalou (spirit house),（新增）,A,,8.53,,,,,,,,大洋洲仪式性灵屋与建筑模型,1,是,
360,Kupe'e hoaka (boar tusk bracelet),（新增）,A,,7.75,,,,,,,,大洋洲身体装饰品,3,是,
361,Fan,（新增）,B,,7.06,,,,,,,,马克萨斯群岛传统器物,1,是,
362,Scrapbook containing ancestor portraits of Chinese men and women,（新增）,B,,5.73,,,,,,,,中国祖先肖像与家族文献,1,是,
363,Designs for fur coats,（新增）,C,,3.7,,,,,,,,服饰设计图,1,是,
364,The New Testament of our Lord and Saviour Jesus Christ,（新增）,C,,5.16,,,,,,,,美国宗教与战争文献,1,是,
365,"Map of Nagasaki, Hizen Province, Japan (Hizen Nagasaki zu)",（新增）,B,,7.18,,,,,,,,日本历史地图,1,是,
366,Cleopatra's Barge (Yacht) journal,（新增）,A,,8.07,,,,,,,,塞勒姆海事航海文献,1,是,
367,Study for the front elevation of Derby Mansion,（新增）,A,,7.32,,,,,,,,塞勒姆建筑设计图,1,是,
368,"Account of Lafayette Dinner, August 30, 1824",（新增）,B,,6.55,,,,,,,,塞勒姆地方社会史文献,1,是,
369,Commonplace book,（新增）,C,,4.76,,,,,,,,早期美国私人笔记本,1,是,
370,Massachusetts Colony five-shilling note,（新增）,B,,6.53,,,,,,,,早期马萨诸塞货币,1,是,
371,Illustrated note,（新增）,C,,5.29,,,,,,,,南亚现代艺术文献,1,是,
372,America: A Hymnal,（新增）,B,,7.04,,,,,,,,当代艺术家书,1,是,
373,Shina Pekinjo Kenchiku (plate 18),（新增）,B,,6.06,,,,,,,,日本建筑史图版与建筑文献,1,是,
374,"Petition of Mary Esty, September 15, 1692",（新增）,A,,7.2,,,,,,,,塞勒姆巫术审判历史文书,1,是,
375,"Portrait of William Lloyd Garrison, George Thompson, and Wendell Phillips",（新增）,A,,7.51,,,,,,,,美国废奴运动肖像摄影,1,是,
376,"Pont Neuf, Paris",（新增）,B,,6.39,,,,,,,,早期城市与建筑摄影,1,是,
377,"Cinquefoil, from the Ephemera portfolio",（新增）,B,,6.47,,,,,,,,美国当代艺术摄影,1,是,
378,Scrimshaw Carver,（新增）,B,,6.45,,,,,,,,美国海事劳动摄影,1,是,
379,"Canyonlands, Utah",（新增）,B,,5.6,,,,,,,,美国西部景观摄影,1,是,
380,Japanese Woman at Her Toilette,（新增）,B,,6.9,,,,,,,,日本风俗与旅行摄影,1,是,
381,"Wounded Soldiers Being Tended in the Field after the Battle of Chancellorsville near Fredericksburg, VA",（新增）,B,,7.04,,,,,,,,美国内战纪实摄影,1,是,
382,"View of the Beach, The Mangrove Coast, Florida",（新增）,B,,6.36,,,,,,,,美国现代纪实摄影,1,是,
383,"Treasury Street, Canton",（新增）,A,,7.77,,,,,,,,19世纪中国纪实摄影,4,是,
384,"The Island Pagoda, from the album Foochow and the River Min",（新增）,A,,7.35,,,,,,,,19世纪中国纪实摄影,4,是,
385,Whalers Rousseau and Desdemona,（新增）,A,,7.45,,,,,,,,美国19世纪海事摄影,1,是,
386,Portrait of a Woman (Possibly Empress Myeongseong),（新增）,B,,5.96,,,,,,,,19世纪亚洲纪实摄影,3,是,
387,"Khamba Jong, Tibet, from the album Tibet and Lhasa",（新增）,B,,6.29,,,,,,,,19世纪亚洲纪实摄影,3,是,
388,A Royal Family,（新增）,B,,6.25,,,,,,,,19世纪亚洲纪实摄影,3,是,
389,Protector Goddess,（新增）,B,,7.08,,,,,,,,南亚宗教木雕,1,是,
390,Woman '95,（新增）,B,,7.16,,,,,,,,印度当代雕塑,1,是,
391,August '81,（新增）,B,,6.39,,,,,,,,印度现代与当代绘画,6,是,
392,Old Arguments on Indigenism,（新增）,A,,7.32,,,,,,,,印度现代与当代绘画,6,是,
