来源表,来源行,子集,Tier,展品名称,原因码
B,714,ext·wikidata,B,Woman with a Parasol and Small Child on a Sunlit Hillside（皮耶-奧古斯特·雷諾瓦，1874-01-01，油彩）,NO_MATCH_FOUND
B,717,ext·wikidata,B,Coco (Claude Renoir)（皮耶-奧古斯特·雷諾瓦，1910-01-01，油彩）,NO_MATCH_FOUND
B,718,ext·wikidata,B,Girls Picking Flowers in a Meadow（皮耶-奧古斯特·雷諾瓦，1890-01-01，油彩）,NO_MATCH_FOUND
B,720,ext·wikidata,B,Mixed Flowers in an Earthenware Pot（皮耶-奧古斯特·雷諾瓦，1869-01-01）,NO_MATCH_FOUND
B,723,ext·wikidata,B,Abundance（皮埃尔-保罗·普吕东，1812-01-01，油彩）,NO_MATCH_FOUND
B,727,ext·wikidata,B,Johan van Musschenbroek and His Wife（Pieter Cornelisz van Slingelandt，1675-01-01，油彩）,NO_MATCH_FOUND
B,729,ext·wikidata,B,Wedding Night of Tobias and Sarah（彼得·拉斯特曼，1611-01-01，油彩）,NO_MATCH_FOUND
B,730,ext·wikidata,B,Interior of Antwerp Cathedral at Night（Pieter Neefs the Elder，1638-01-01，油彩）,NO_MATCH_FOUND
B,732,ext·wikidata,B,The Virgin and Child in Glory（皮埃特羅·諾維利，油彩）,NO_MATCH_FOUND
B,735,ext·wikidata,B,The Crucifixion（龐培奧·巴托尼，1762-01-01，油彩）,TITLE_TOO_GENERIC
B,738,ext·wikidata,B,The Use of Tears（理查·帕克斯·波寧頓，油彩）,NO_MATCH_FOUND
B,741,ext·wikidata,B,Portrait of Napoleon I in His Coronation Robes（罗贝尔·勒菲弗，1812-01-01，油彩）,NO_MATCH_FOUND
B,752,ext·wikidata,B,Ohne Titel（罗斯玛丽·特罗克尔，1992-01-01）,NO_MATCH_FOUND
B,753,ext·wikidata,B,The Education of the Infant Christ（Rueland Frueauf the Elder，1506-01-01）,NO_MATCH_FOUND
B,758,ext·wikidata,B,Lager（西格玛尔·波尔克，1982-01-01）,NO_MATCH_FOUND
B,774,ext·wikidata,B,"The Prince Regent, later George IV（托马斯·劳伦斯，1818-01-01，油彩）",NO_MATCH_FOUND
B,776,ext·wikidata,B,Summer Afternoon (Artist in his Studio with a Model)（威廉·奧爾彭，1913-01-01，油彩）,NO_MATCH_FOUND
B,777,ext·wikidata,B,"Robert Devereux, 2nd Earl of Essex, as a Knight of the Garter（威廉·西格爵士，1590-01-01，油彩）",NO_MATCH_FOUND
B,782,ext·wikidata,B,A Buckwheat Field on Thomas Cole's Farm（Thomas Charles Farrer，1863-01-01，油彩）,NO_MATCH_FOUND
B,797,ext·wikidata,B,Marie Antoinette（http://www.wikidata.org/.well-known/genid/74f968102f039771797a8a7a0a4247c,NO_MATCH_FOUND
B,799,ext·wikidata,B,Christ as the Man of Sorrows（http://www.wikidata.org/.well-known/genid/2c745eb9b51cd43e0aa,NO_MATCH_FOUND
B,800,ext·wikidata,B,Coronation of the Virgin with the Holy Trinity（http://www.wikidata.org/.well-known/genid/d,NO_MATCH_FOUND
B,801,ext·wikidata,B,Saint Dorothy (recto) and Saint James the Great (verso)（http://www.wikidata.org/.well-know,NO_MATCH_FOUND
B,802,ext·wikidata,B,Saint Matthias and Saint Margaret（http://www.wikidata.org/.well-known/genid/fbc955afe10cc1,NO_MATCH_FOUND
B,803,ext·wikidata,B,Sir Edmund Andros（http://www.wikidata.org/.well-known/genid/3d537fe53778d0e8306ad96d18b122,NO_MATCH_FOUND
B,806,ext·wikidata,B,Two Children in a Landscape（http://www.wikidata.org/.well-known/genid/9c3ebb170cd703c7bbf7,NO_MATCH_FOUND
B,807,ext·wikidata,B,John Richardson（http://www.wikidata.org/.well-known/genid/b7fbc905a48dacb888284c7fd122dc6c,NO_MATCH_FOUND
B,808,ext·wikidata,B,"Hongs at Canton, China（http://www.wikidata.org/.well-known/genid/7e8cf5de92c84662b21ea547f",NO_MATCH_FOUND
B,809,ext·wikidata,B,Port of Canton（http://www.wikidata.org/.well-known/genid/b525913a334ed0d3e1a4c26759641400，,NO_MATCH_FOUND
B,810,ext·wikidata,B,Hou Qua（http://www.wikidata.org/.well-known/genid/dfcfd57caacfb9297508a1be6500768f，1836-01,NO_MATCH_FOUND
B,811,ext·wikidata,B,Portrait of Two Women and a Man（http://www.wikidata.org/.well-known/genid/36b44a87076b6aae,NO_MATCH_FOUND
B,813,ext·wikidata,B,The Resurrection of Christ (recto); The Instruments of the Passion (verso)（http://www.wiki,NO_MATCH_FOUND
B,815,ext·wikidata,B,Nobleman with Two Children in a Landscape（http://www.wikidata.org/.well-known/genid/6c26c2,NO_MATCH_FOUND
B,818,ext·wikidata,B,Tivoli（http://www.wikidata.org/.well-known/genid/f0c1bbdeaa7e2a7de827b6bdb7ebf15d，1820-01-,NO_MATCH_FOUND
B,819,ext·wikidata,B,Portrait of a Man（http://www.wikidata.org/.well-known/genid/5c6a719b55a46091a2c318f6803905,TITLE_TOO_GENERIC
B,825,ext·wikidata,B,Virgin and Child with Saint Lucy（http://www.wikidata.org/.well-known/genid/5e88d9c67053ea1,NO_MATCH_FOUND
B,826,ext·wikidata,B,Virgin and Child with Saint Roch（http://www.wikidata.org/.well-known/genid/aaf060663a00bd3,NO_MATCH_FOUND
B,827,ext·wikidata,B,Christ the Almighty（http://www.wikidata.org/.well-known/genid/1c56a2fe798d43212bc0128eab7c,NO_MATCH_FOUND
B,828,ext·wikidata,B,The Holy Trinity with Nine Scenes from the Passion（http://www.wikidata.org/.well-known/gen,NO_MATCH_FOUND
B,829,ext·wikidata,B,Scenes from the Life of the Virgin and Life of Christ（http://www.wikidata.org/.well-known/,NO_MATCH_FOUND
B,831,ext·wikidata,B,Virgin and Child Enthroned with Two Angels（http://www.wikidata.org/.well-known/genid/ef56d,NO_MATCH_FOUND
B,832,ext·wikidata,B,The Last Supper Frieze (from the church of San Baudelio near Berlanga)（http://www.wikidata,NO_MATCH_FOUND
B,833,ext·wikidata,B,The Three Marys at the Sepulchre (from the church of San Baudelio near Berlanga)（http://ww,NO_MATCH_FOUND
B,834,ext·wikidata,B,Saint Bartholomew（http://www.wikidata.org/.well-known/genid/75d7d5b63d3212e0d4e2867bfb83c9,NO_MATCH_FOUND
B,835,ext·wikidata,B,Still Life with Sweetmeats（http://www.wikidata.org/.well-known/genid/7fb85b6f530618e065181,NO_MATCH_FOUND
B,836,ext·wikidata,B,Monks at the Door of a Mosque（瓦西里·韦雷什查金，1870-01-01）,NO_MATCH_FOUND
B,837,ext·wikidata,B,Woman in an Interior（Vilhelm Hammershøi，1909-01-01，油彩）,NO_MATCH_FOUND
B,838,ext·wikidata,B,Portrait of a Man（维托雷·卡尔帕乔，1600-01-01）,TITLE_TOO_GENERIC
B,839,ext·wikidata,B,Portrait of a Woman（维托雷·卡尔帕乔，1510-01-01，tempera）,TITLE_TOO_GENERIC
B,842,ext·wikidata,B,Portrait of a Woman（威廉·贺加斯，油彩）,TITLE_TOO_GENERIC
B,850,ext·wikidata,B,Untitled（阿道夫·戈特利布，1967-01-01）,TITLE_TOO_GENERIC
B,851,ext·wikidata,B,Untitled #15（艾格尼丝·马丁）,NO_MATCH_FOUND
B,854,ext·wikidata,B,Jupiter V（阿爾·赫爾德，1974-01-01）,NO_MATCH_FOUND
B,855,ext·wikidata,B,Cube 27（Alvin D. Loving，1970-01-01）,NO_MATCH_FOUND
B,863,ext·wikidata,B,Landscape with Two Indians（Albert York，1978-01-01）,NO_MATCH_FOUND
B,866,ext·wikidata,B,Treetop（Alex Katz，1990-01-01，油彩）,NO_MATCH_FOUND
B,867,ext·wikidata,B,Poplars（Alex Katz，2003-01-01，油彩）,NO_MATCH_FOUND
B,868,ext·wikidata,B,Rush（Alex Katz，1971-01-01）,NO_MATCH_FOUND
B,869,ext·wikidata,B,Road in Ireland（Alexander Helwig Wyant，1866-01-01，油彩）,NO_MATCH_FOUND
B,870,ext·wikidata,B,A Gray Day（Alexander Helwig Wyant，1891-01-01，油彩）,NO_MATCH_FOUND
B,871,ext·wikidata,B,Abstract Heads（阿爾福雷德·毛雷，1931-01-01）,NO_MATCH_FOUND
B,872,ext·wikidata,B,Still Life with Green Cloth（阿爾福雷德·毛雷，1928-01-01）,NO_MATCH_FOUND
B,873,ext·wikidata,B,War Ground（Alfred Jacob Miller，1863-01-01，油彩）,NO_MATCH_FOUND
B,874,ext·wikidata,B,Constellation #115（Allan D'Arcangelo，1971-01-01）,NO_MATCH_FOUND
B,878,ext·wikidata,B,Anna Christina（安德魯·魏斯，1967-01-01）,NO_MATCH_FOUND
B,885,ext·wikidata,B,On the Road in Alabama（Anne Goldthwaite，油彩）,NO_MATCH_FOUND
B,886,ext·wikidata,B,Pacing（Annette Lemieux，1988-01-01）,NO_MATCH_FOUND
B,888,ext·wikidata,B,Colombia（Antonio Caro，2010-01-01）,NO_MATCH_FOUND
B,889,ext·wikidata,B,Heliodora（Arthur Bowen Davies，1926-01-01，油彩）,NO_MATCH_FOUND
B,909,ext·wikidata,B,Ophelia（Q22002373，1926-01-01，油彩）,NO_MATCH_FOUND
B,910,ext·wikidata,B,The Babbling Brook（阿舍·布朗·杜兰德，1851-01-01，油彩）,NO_MATCH_FOUND
B,914,ext·wikidata,B,Mrs. Gustave Schirmer (Grace May Tilton)（Augustus Vincent Tack，1907-01-01，油彩）,NO_MATCH_FOUND
B,915,ext·wikidata,B,Greene Street（Beauford Delaney，1940-01-01，油彩）,NO_MATCH_FOUND
B,916,ext·wikidata,B,Girl Skipping Rope（班·夏恩，1943-01-01）,NO_MATCH_FOUND
B,917,ext·wikidata,B,"Mount Chocorua, New Hampshire（Benjamin Champney，1858-01-01，油彩）",NO_MATCH_FOUND
B,918,ext·wikidata,B,"The Hope Family of Sydenham, Kent（本杰明·委斯特，1804-01-01，油彩）",NO_MATCH_FOUND
B,919,ext·wikidata,B,The Stolen Kiss（本杰明·委斯特，1819-01-01）,NO_MATCH_FOUND
B,920,ext·wikidata,B,St. Peter Released from Prison（本杰明·委斯特，1800-01-01）,NO_MATCH_FOUND
B,922,ext·wikidata,B,Wounded Sgt. (Sergeant)（Benny Andrews，1970-01-01）,NO_MATCH_FOUND
B,923,ext·wikidata,B,Number 13（Bradley Walker Tomlin，1949-01-01，油彩）,NO_MATCH_FOUND
B,924,ext·wikidata,B,Arquitecturas（Carlos Santiago Mérida，油彩）,NO_MATCH_FOUND
B,925,ext·wikidata,B,Curtained Window（Catherine Murphy，1994-01-01，油彩）,NO_MATCH_FOUND
B,926,ext·wikidata,B,Self-Portrait（Catherine Murphy，1970-01-01，油彩）,TITLE_TOO_GENERIC
B,927,ext·wikidata,B,Brother and Sister: Charles Sumner Bird and His Sister Edith Bird (Mrs. Robert Bass)（西西莉亞·,NO_MATCH_FOUND
B,928,ext·wikidata,B,Staccato（César Paternosto，1965-01-01，油彩）,NO_MATCH_FOUND
B,930,ext·wikidata,B,Rip van Winkle Returning from a Morning Lounge（查爾斯·伯德·金，1825-01-01，油彩）,NO_MATCH_FOUND
B,931,ext·wikidata,B,Still Life with Azaleas and Apple Blossoms（Charles Caryl Coleman，1878-01-01，油彩）,NO_MATCH_FOUND
B,932,ext·wikidata,B,Voyageurs（Charles Deas，1846-01-01，油彩）,NO_MATCH_FOUND
B,933,ext·wikidata,B,Longhi on Broadway（查理斯·德穆斯，1928-01-01）,NO_MATCH_FOUND
B,934,ext·wikidata,B,Eye Scream（Charles Green Shaw，1935-01-01）,NO_MATCH_FOUND
B,935,ext·wikidata,B,Morning Sunlight（Charles Harold Davis，1895-01-01，油彩）,NO_MATCH_FOUND
B,939,ext·wikidata,B,Dancers（Charles Prendergast，1915-01-01）,NO_MATCH_FOUND
B,940,ext·wikidata,B,On a Shaker Theme（查爾斯·席勒，1956-01-01，油彩）,NO_MATCH_FOUND
B,942,ext·wikidata,B,Three White Tulips（查爾斯·席勒，1912-01-01）,NO_MATCH_FOUND
B,948,ext·wikidata,B,Mrs. Charles Willson Peale (Hannah Moore)（查理斯·威爾遜·皮爾，1816-01-01，油彩）,NO_MATCH_FOUND
B,954,ext·wikidata,B,The Old Holley House（蔡尔德·哈萨姆，1902-01-01）,NO_MATCH_FOUND
B,955,ext·wikidata,B,Charles River and Beacon Hill（蔡尔德·哈萨姆，1892-01-01，油彩）,NO_MATCH_FOUND
B,957,ext·wikidata,B,The Lady of the Gorge（蔡尔德·哈萨姆，1912-01-01，油彩）,NO_MATCH_FOUND
B,958,ext·wikidata,B,Homage to St. Theresa（Claudio Bravo，1969-01-01，油彩）,NO_MATCH_FOUND
B,960,ext·wikidata,B,Interior with Landscape Painter（Claudio Bravo，1989-01-01，油彩）,NO_MATCH_FOUND
B,963,ext·wikidata,B,"One, Two, Three（Cleve Gray，1980-01-01）",NO_MATCH_FOUND
B,965,ext·wikidata,B,The Golem（David Aronson，1958-01-01）,NO_MATCH_FOUND
B,967,ext·wikidata,B,Asters（达维德·布尔柳克，1941-01-01，油彩）,NO_MATCH_FOUND
B,972,ext·wikidata,B,Rowboat（David Park，1958-01-01，油彩）,NO_MATCH_FOUND
B,973,ext·wikidata,B,"Free Sample, Take One（De Scott Evans，1890-01-01，油彩）",NO_MATCH_FOUND
B,974,ext·wikidata,B,Double Blue Barbra (The Jewish Jackie Series)（Deborah Kass，1992-01-01）,NO_MATCH_FOUND
B,978,ext·wikidata,B,Salt Marsh Landscape with Two Children near a Beached Sailboat and Dory（Dennis Miller Bunk,NO_MATCH_FOUND
B,980,ext·wikidata,B,"Firemen, March 6, 1985（Donald Sultan，1985-01-01）",NO_MATCH_FOUND
B,981,ext·wikidata,B,"The Vine, #1（Doris Lee，1950-01-01，油彩）",NO_MATCH_FOUND
B,982,ext·wikidata,B,Early Morning—September（Dwight William Tryon，1904-01-01）,NO_MATCH_FOUND
B,983,ext·wikidata,B,The Little Convalescent（伊斯门·约翰逊，1876-01-01）,NO_MATCH_FOUND
B,984,ext·wikidata,B,Measurement and Contemplation（伊斯门·约翰逊，1860-01-01）,NO_MATCH_FOUND
B,985,ext·wikidata,B,Winnowing Grain（伊斯门·约翰逊，1873-01-01，油彩）,NO_MATCH_FOUND
B,986,ext·wikidata,B,Writing to Father（伊斯门·约翰逊，1863-01-01，油彩）,NO_MATCH_FOUND
B,987,ext·wikidata,B,Self Portrait（伊斯门·约翰逊，1885-01-01，油彩）,TITLE_TOO_GENERIC
B,988,ext·wikidata,B,Colored Clairvoyant（Edmund Archer，1933-01-01，油彩）,NO_MATCH_FOUND
B,995,ext·wikidata,B,1.1.75（Eduardo Terrazas，1975-01-01）,NO_MATCH_FOUND
B,996,ext·wikidata,B,Asphalt Jungle（爱德华·鲁斯查）,NO_MATCH_FOUND
B,997,ext·wikidata,B,Moonlit Landscape（愛德華·史泰欽，1903-01-01，油彩）,NO_MATCH_FOUND
B,1000,ext·wikidata,B,Boy with Bowl（Edwin Dickinson，1915-01-01，油彩）,NO_MATCH_FOUND
B,1001,ext·wikidata,B,Bacchus #46（Elaine de Kooning，1982-01-01）,NO_MATCH_FOUND
B,1002,ext·wikidata,B,Room No. V（Eldzier Cortor，1948-01-01）,NO_MATCH_FOUND
B,1003,ext·wikidata,B,Still-Life: Past Revisited（Eldzier Cortor，1973-01-01，油彩）,NO_MATCH_FOUND
B,1004,ext·wikidata,B,Draped Figure with Bird（Eldzier Cortor，2001-01-01，油彩）,NO_MATCH_FOUND
B,1005,ext·wikidata,B,Red Piano Ballroom Ensemble（Eldzier Cortor，1996-01-01，油彩）,NO_MATCH_FOUND
B,1010,ext·wikidata,B,Ideal Head — Dawn（伊莱休·维德，1886-01-01）,NO_MATCH_FOUND
B,1011,ext·wikidata,B,Formerly Fleet（伊丽莎白·默里）,NO_MATCH_FOUND
B,1012,ext·wikidata,B,John Simon Beverly Ritchie (Sid)（Elizabeth Peyton，1995-01-01）,NO_MATCH_FOUND
B,1013,ext·wikidata,B,The Open Window（Elizabeth Okie Paxton，1921-01-01，油彩）,NO_MATCH_FOUND
B,1014,ext·wikidata,B,Self Portrait（Ellen Day Hale，1885-01-01，油彩）,TITLE_TOO_GENERIC
B,1015,ext·wikidata,B,Tally（Ellen Gallagher，1994-01-01）,NO_MATCH_FOUND
B,1016,ext·wikidata,B,Black Panel II（埃尔斯沃斯·凯利，1985-01-01，油彩）,NO_MATCH_FOUND
B,1017,ext·wikidata,B,William Morris Hunt（埃马努埃尔·洛伊策，1845-01-01，油彩）,NO_MATCH_FOUND
B,1023,ext·wikidata,B,Margaret Gilmore（Erastus Salisbury Field，1845-01-01，油彩）,NO_MATCH_FOUND
B,1024,ext·wikidata,B,Man at Desk（Erastus Salisbury Field，1830-01-01，油彩）,NO_MATCH_FOUND
B,1025,ext·wikidata,B,Joseph Moore and His Family（Erastus Salisbury Field，1839-01-01，油彩）,NO_MATCH_FOUND
B,1026,ext·wikidata,B,New York Street Scene（Ernest Lawson，1905-01-01，油彩）,NO_MATCH_FOUND
B,1027,ext·wikidata,B,Resting — Montigny-sur-Loing（Ernest Lee Major，1888-01-01，油彩）,NO_MATCH_FOUND
B,1028,ext·wikidata,B,Venus（费尔南多·博特罗，1971-01-01）,NO_MATCH_FOUND
B,1040,ext·wikidata,B,Suncrush（Frank Bowling，1976-01-01）,NO_MATCH_FOUND
B,1044,ext·wikidata,B,Eleanor（Frank Weston Benson，1907-01-01，油彩）,NO_MATCH_FOUND
B,1045,ext·wikidata,B,Decorative Head（Frank Weston Benson，1894-01-01，油彩）,NO_MATCH_FOUND
B,1047,ext·wikidata,B,Salmon Fishing（Frank Weston Benson，1927-01-01，油彩）,NO_MATCH_FOUND
B,1051,ext·wikidata,B,Katharine Gray Dodge（Frank Weston Benson，1910-01-01，油彩）,NO_MATCH_FOUND
B,1052,ext·wikidata,B,Calm Morning（Frank Weston Benson，1904-01-01，油彩）,NO_MATCH_FOUND
B,1053,ext·wikidata,B,Probst I（弗朗兹·克兰，1960-01-01，油彩）,NO_MATCH_FOUND
B,1057,ext·wikidata,B,Composition with Birch Bark（George Lovett Kingsland Morris，1939-01-01）,NO_MATCH_FOUND
B,1061,ext·wikidata,B,Model A. Ford Panel Truck（Q21480064，1984-01-01，油彩）,NO_MATCH_FOUND
B,1062,ext·wikidata,B,"Jack Weine's '56 De Soto, 21 April '74（Q21480064，1974-01-01，油彩）",NO_MATCH_FOUND
B,1067,ext·wikidata,B,"View of Sacramento, California from across the Sacramento River（Q22002487，油彩）",NO_MATCH_FOUND
B,1068,ext·wikidata,B,Emma and Her Children（喬治·貝洛斯，1923-01-01，油彩）,NO_MATCH_FOUND
B,1076,ext·wikidata,B,Goat Carts（Gertrude Fiske，1917-01-01，油彩）,NO_MATCH_FOUND
B,1077,ext·wikidata,B,Wells Beach（Gertrude Fiske，1920-01-01）,NO_MATCH_FOUND
B,1115,ext·wikidata,B,Another Birthday（Grace Hartigan，1971-01-01，油彩）,NO_MATCH_FOUND
B,1116,ext·wikidata,B,A Yellowstone Geyser（Grafton Tyler Brown，油彩）,NO_MATCH_FOUND
B,1117,ext·wikidata,B,Peggy Seated (Imaginary Pregnancy)（Gregory Gillespie）,NO_MATCH_FOUND
B,1118,ext·wikidata,B,Untitled（Guillermo Kuitca，1998-01-01，油彩）,TITLE_TOO_GENERIC
B,1119,ext·wikidata,B,The Old Trouper（Guy Pène du Bois，1942-01-01，油彩）,NO_MATCH_FOUND
B,1120,ext·wikidata,B,Silver Dew（György Kepes，1962-01-01，油彩）,NO_MATCH_FOUND
B,1121,ext·wikidata,B,Tender Vigil（György Kepes，1969-01-01）,NO_MATCH_FOUND
B,1122,ext·wikidata,B,Big Wind in Georgia（Hale Woodruff，1934-01-01）,NO_MATCH_FOUND
B,1123,ext·wikidata,B,Ashanti Image（Hale Woodruff，1946-01-01）,NO_MATCH_FOUND
B,1124,ext·wikidata,B,Green Bottle（汉斯·霍夫曼，1921-01-01，油彩）,NO_MATCH_FOUND
B,1126,ext·wikidata,B,Embrace（汉斯·霍夫曼，1947-01-01）,NO_MATCH_FOUND
B,1131,ext·wikidata,B,Evening Sounds（Helen Torr，1927-01-01）,NO_MATCH_FOUND
B,1132,ext·wikidata,B,Georgianna Buckham and Her Mother (Anna Traphagen Buckham)（亨利·因曼，1839-01-01，油彩）,NO_MATCH_FOUND
B,1133,ext·wikidata,B,"Interior of a Mosque, Cairo（亨利・泰納，1897-01-01，油彩）",NO_MATCH_FOUND
B,1134,ext·wikidata,B,Le Destin（Henry Siddons Mowbray，1896-01-01，油彩）,NO_MATCH_FOUND
B,1139,ext·wikidata,B,Mrs. Howard Cushing (Ethel Cochrane) (The Mandarin Coat)（霍华德 加德纳 库欣，1904-01-01，油彩）,NO_MATCH_FOUND
B,1140,ext·wikidata,B,"Female Corpse, Back View（Hyman Bloom，1947-01-01，油彩）",NO_MATCH_FOUND
B,1141,ext·wikidata,B,Christmas Tree（Hyman Bloom，1939-01-01，油彩）,NO_MATCH_FOUND
B,1142,ext·wikidata,B,Spiral Movement (Small Configurations within a Diamond)（Ilya Bolotowsky，1951-01-01，油彩）,NO_MATCH_FOUND
B,1143,ext·wikidata,B,Ice Cream Cones（Isabel Bishop，1942-01-01）,NO_MATCH_FOUND
B,1144,ext·wikidata,B,Top Spin（杰克·布什，1961-01-01）,NO_MATCH_FOUND
B,1149,ext·wikidata,B,Troubled Queen（杰克逊·波洛克，1945-01-01）,NO_MATCH_FOUND
B,1153,ext·wikidata,B,Junk（雅各布·勞倫斯，1937-01-01）,NO_MATCH_FOUND
B,1154,ext·wikidata,B,Antic（Jacqueline Humphries，1994-01-01）,NO_MATCH_FOUND
B,1155,ext·wikidata,B,Street in Old Chelsea（詹姆斯·惠斯勒，1882-01-01，油彩）,NO_MATCH_FOUND
B,1156,ext·wikidata,B,Harmony in Flesh Colour and Red（詹姆斯·惠斯勒，1869-01-01，蠟筆）,NO_MATCH_FOUND
B,1157,ext·wikidata,B,The Last of Old Westminster（詹姆斯·惠斯勒，1862-01-01，油彩）,NO_MATCH_FOUND
B,1160,ext·wikidata,B,Portrait of Ana（James Aponovich，1984-01-01，油彩）,NO_MATCH_FOUND
B,1161,ext·wikidata,B,"The Hudson River Steamboat ""Rip van Winkle""（James Bard，1854-01-01，油彩）",NO_MATCH_FOUND
B,1164,ext·wikidata,B,William Cullen Bryant（James Frothingham，1833-01-01，油彩）,NO_MATCH_FOUND
B,1166,ext·wikidata,B,A Porcelain Bowl with Fruit（James Peale，1830-01-01，油彩）,NO_MATCH_FOUND
B,1167,ext·wikidata,B,Anna Claypoole Peale（James Peale，1825-01-01，油彩）,NO_MATCH_FOUND
B,1168,ext·wikidata,B,Raw Glass Between（Jared French，1948-01-01）,NO_MATCH_FOUND
B,1177,ext·wikidata,B,Hammer Study（吉姆·戴恩，1962-01-01）,NO_MATCH_FOUND
B,1178,ext·wikidata,B,Grey Cat with Madrone and Birch Trees（Joan Brown，1968-01-01）,NO_MATCH_FOUND
B,1187,ext·wikidata,B,General Francis Marion Inviting A British Officer to Share His Meal or The Swamp Fox（John ,NO_MATCH_FOUND
B,1188,ext·wikidata,B,"Captain Daniel Tyler（John Brewster, Jr.，1801-01-01，油彩）",NO_MATCH_FOUND
B,1189,ext·wikidata,B,"Child with a Peach（John Brewster, Jr.，1810-01-01，油彩）",NO_MATCH_FOUND
B,1190,ext·wikidata,B,"Young William Dehon（John Coles, Jr.，1809-01-01，油彩）",NO_MATCH_FOUND
B,1193,ext·wikidata,B,Elihu Vedder（John Ferguson Weir，1902-01-01，油彩）,NO_MATCH_FOUND
B,1194,ext·wikidata,B,Rocky Fields（John Francis Murphy，1886-01-01，油彩）,NO_MATCH_FOUND
B,1195,ext·wikidata,B,Sunset（John Francis Murphy，1900-01-01，油彩）,TITLE_TOO_GENERIC
B,1202,ext·wikidata,B,The Poor Man's Store（John F. Peto，1885-01-01）,NO_MATCH_FOUND
B,1203,ext·wikidata,B,Tuckered Out —The Shoeshine Boy（约翰·乔治·布朗，1888-01-01，油彩）,NO_MATCH_FOUND
B,1205,ext·wikidata,B,"View, Dismal Swamp, North Carolina（Régis François Gignoux，1850-01-01，油彩）",NO_MATCH_FOUND
B,1219,ext·wikidata,B,Le Domino Rose（Q22002874，1895-01-01，油彩）,NO_MATCH_FOUND
B,1231,ext·wikidata,B,Captain William Torrey（John Mare，1768-01-01，油彩）,NO_MATCH_FOUND
B,1232,ext·wikidata,B,"Huntington, Long Island, #3（約翰·馬林，1952-01-01，油彩）",NO_MATCH_FOUND
B,1236,ext·wikidata,B,The Campagna（Q16062744，1862-01-01，油彩）,NO_MATCH_FOUND
B,1271,ext·wikidata,B,Flowers of Spring（約翰·斯隆，1924-01-01，油彩）,NO_MATCH_FOUND
B,1272,ext·wikidata,B,Pigeons（約翰·斯隆，1910-01-01，油彩）,NO_MATCH_FOUND
B,1283,ext·wikidata,B,Storm Over Lake Otsego（约翰·斯图亚特·库里，1929-01-01，油彩）,NO_MATCH_FOUND
B,1288,ext·wikidata,B,De Witt Clinton（約翰·衛斯理·賈維斯，1810-01-01，油彩）,NO_MATCH_FOUND
B,1289,ext·wikidata,B,Turkey Shoot（約翰·惠頓·埃寧格，1879-01-01，油彩）,NO_MATCH_FOUND
B,1290,ext·wikidata,B,Mrs. Samuel Tilton (Helen Reed)（尊·韋德·亞歷山大，1880-01-01，油彩）,NO_MATCH_FOUND
B,1291,ext·wikidata,B,"Mrs. J. Randolph Coolidge, Jr. (Mary Hamilton Hill)（尊·韋德·亞歷山大，1894-01-01，油彩）",NO_MATCH_FOUND
B,1292,ext·wikidata,B,A Mountain Brook（John William Casilear，1877-01-01）,NO_MATCH_FOUND
B,1294,ext·wikidata,B,The Dressing Table（John Wilson，1945-01-01）,NO_MATCH_FOUND
B,1297,ext·wikidata,B,Church Scene（Jon Serl，1970-01-01）,NO_MATCH_FOUND
B,1300,ext·wikidata,B,Campo de Arroz (Rice Field)（José Antônio da Silva，1955-01-01，油彩）,NO_MATCH_FOUND
B,1301,ext·wikidata,B,Casa Principal (Main House)（José Antônio da Silva，1967-01-01）,NO_MATCH_FOUND
B,1303,ext·wikidata,B,Homage to the Square: Stele and Foliage（约瑟夫·艾伯斯，1964-01-01）,NO_MATCH_FOUND
B,1333,ext·wikidata,B,"Coffin of Queen Meres-ankh II, G 7410, Giza, 4th Dynasty（Joseph Lindon Smith）",NO_MATCH_FOUND
B,1334,ext·wikidata,B,"Tomb chamber of Queen Hetep-heres, G 7000 X, Giza, 4th Dynasty（Joseph Lindon Smith）",NO_MATCH_FOUND
B,1336,ext·wikidata,B,"Chapel in Mastaba of Hor-djedef, G 7210-7220, Giza, 4th Dynasty（Joseph Lindon Smith）",NO_MATCH_FOUND
B,1390,ext·wikidata,B,Old Brooklyn Bridge（約瑟夫·斯泰拉，1941-01-01，油彩）,NO_MATCH_FOUND
B,1391,ext·wikidata,B,Children's Toys (Marionettes)（約瑟夫·斯泰拉，1930-01-01，油彩）,NO_MATCH_FOUND
B,1392,ext·wikidata,B,On the Susquehanna（Joshua Shaw，油彩）,NO_MATCH_FOUND
B,1393,ext·wikidata,B,El Fuego（何塞·克萊門特·奧羅斯科，1938-01-01，油彩）,NO_MATCH_FOUND
B,1395,ext·wikidata,B,Tin Lizzie Green（朱尔斯·奥列斯基，1964-01-01）,NO_MATCH_FOUND
B,1396,ext·wikidata,B,Natural Histories I（朱尔斯·奥列斯基，1977-01-01）,NO_MATCH_FOUND
B,1399,ext·wikidata,B,The Delft Plate（朱利安·奥尔登·韦尔，1888-01-01）,NO_MATCH_FOUND
B,1400,ext·wikidata,B,Emma Eames（Julian Russell Story，1889-01-01，油彩）,NO_MATCH_FOUND
B,1401,ext·wikidata,B,Ragazzo Padre（朱利安·許納貝，1988-01-01）,NO_MATCH_FOUND
