# 故宫评级理由的原子短语词表：原子<TAB>英文
# 由 translate_reasons.py 读取，拼回完整理由。改这里等于改全部含该原子的理由。
常规展品	Standard exhibit
紫檀嵌玉座蜜蜡珊瑚仙人乘凤景，多材质复合盆景	Tray landscape of immortals riding a phoenix in beeswax and coral on a zitan stand; a composite multi-material tray landscape
紫檀木边嵌玉石明皇试马图挂屏，有明确画意母题	Hanging screen with a zitan frame inlaid with jade depicting Emperor Ming trying a horse; carries a definite pictorial motif
紫檀重檐楼阁式嵌珐琅更钟，清宫造办处自制更钟，中国化报时制度的实物，本土制钟代表	Zitan double-eaved pavilion clock inlaid with cloisonné; a night-watch clock made by the Qing palace workshops, the physical evidence of a sinicised timekeeping system and the exemplar of native clockmaking
翠雕太平有象纹磬，翡翠大件加吉语题材，陈设重器	Jadeite chime carved with an elephant for "great peace"; a large jadeite piece with an auspicious rebus, a major display object
翠雕白菜式花插，翡翠俏色白菜为流行题材	Jadeite flower holder in the form of a cabbage; the coloured-jade cabbage is a popular subject
翠雕鹤鹿人物图山子，翡翠山子	Jadeite mountain with cranes, deer and figures; a jadeite mountain carving
耀州窑天青釉刻莲瓣纹罐，耀州天青釉少见	Yaozhou ware jar with carved lotus petals in sky-blue glaze; sky-blue glaze is uncommon at Yaozhou
耀州窑天青釉塑贴摩羯纹花形碗	Yaozhou ware foliate bowl with applied makara in sky-blue glaze
耀州窑青釉刻坤牛望月图碗，耀州刻花叙事题材罕见	Yaozhou ware bowl carved with an ox gazing at the moon, celadon glaze; narrative subjects in Yaozhou carving are rare
耀州窑青釉药王像，耀州窑瓷塑罕见	Yaozhou ware figure of the Medicine King, celadon glaze; ceramic sculpture from Yaozhou is rare
胭脂红地开光珐琅彩牡丹纹杯	Falangcai cup with peonies in a reserved panel on a rouge-red ground
胭脂红地珐琅彩山水花鸟图碗	Falangcai bowl with landscape, birds and flowers on a rouge-red ground
胭脂红彩山水图题诗句小瓶	Small vase with a rouge-red landscape and an inscribed couplet
胭脂红蓝地轧道粉彩折枝西洋花纹双联瓶，轧道洋彩与双联结构	Twin vase with famille-rose Western floral sprays on an incised rouge-red and blue ground; incised yangcai combined with a twin structure
芗他君祠堂石柱，带纪年题记的汉代祠堂建筑构件，史料价值高	Stone pillar from the shrine of Xiang Tajun; a dated Han shrine building member of high documentary value
荆轲刺秦王门楣画像石，汉画像石叙事题材名品，构图为美术史常引图版	Pictorial stone of Jing Ke's attempt on the King of Qin; a celebrated narrative Han pictorial stone whose composition is a standard art-historical illustration
蒋元裕造米色釉布袋和尚像，带匠款	Buff-glazed Budai made by Jiang Yuanyu; bears the maker's mark
蓝地珐琅彩缠枝牡丹纹碗	Falangcai bowl with scrolling peonies on a blue ground
蓝地粉彩开光山水图转颈瓶，转颈结构	Famille-rose swivel-neck vase with landscape panels on a blue ground; swivel-neck construction
蓝料彩山水图题诗句碗，蓝料彩单色画意	Bowl with a blue-enamel landscape and an inscribed couplet; monochrome pictorial work in blue enamel
西村窑青白釉凤首壶	Xicun ware qingbai ewer with a phoenix-head spout
西村窑青白釉褐斑刻凤纹碗，广东外销窑口标本	Xicun ware bowl with brown-splashed carved phoenix, qingbai glaze; a specimen of the Guangdong export kilns
豇豆红釉凸刻菊瓣纹瓶，豇豆红烧成难度极高，康熙独有	Peachbloom vase with carved chrysanthemum petals; peachbloom was extremely difficult to fire and is exclusive to the Kangxi reign
越窑秘色瓷八棱净瓶，与法门寺地宫同型，秘色瓷标准器	Yue ware octagonal secret-colour bottle; the same type as the Famen Temple crypt finds, the reference standard for secret-colour ware
越窑秘色瓷净瓶，秘色瓷法门寺出土前长期只见文献，传世确认品极稀	Yue ware secret-colour bottle; before the Famen Temple excavation secret-colour ware was known only from texts, and confirmed survivals are exceedingly scarce
越窑秘色瓷执壶，秘色瓷传世确认品	Yue ware secret-colour ewer; a confirmed surviving secret-colour piece
越窑秘色瓷菱花口盘，秘色瓷传世确认品	Yue ware secret-colour foliate dish; a confirmed surviving secret-colour piece
轧道洋彩	Incised yangcai
邢窑白釉褐彩子母狮塑像，邢窑塑像罕见	Xing ware figure of a lioness and cub with brown decoration on white glaze; figural sculpture from Xing ware is rare
郎窑红釉琵琶尊	Langyao red-glazed pipa-shaped zun
郎窑红釉观音瓶，郎窑红为清代仿宣德红釉的巅峰，成品率极低	Langyao red-glazed Guanyin vase; langyao red was the summit of Qing attempts at Xuande red glaze and its success rate was minute
郭葆昌制粉彩仕女图瓶	Famille-rose vase with a beauty, made by Guo Baochang
郭葆昌制粉彩萱草图瓶，民国『居仁堂』系统	Famille-rose vase with day lilies, made by Guo Baochang; from the Republican "Juren Tang" series
醴陵窑釉下五彩菊花图梅瓶，近代民族瓷业代表，非清宫体系	Liling ware meiping with underglaze five-colour chrysanthemums; representative of the modern Chinese ceramic industry and outside the Qing court system
釉里三色山水人物图笔筒	Underglaze three-colour brush pot with a landscape and figures
釉里三色花鸟图花觚，釉里三色为康熙独创	Underglaze three-colour gu-form vase with birds and flowers; underglaze three-colour was a Kangxi innovation
金交龙钮『奉天之宝』玺，清二十五宝之一，国家最高等级印信	Gold seal with interlaced-dragon knop, "Treasure of the Mandate of Heaven"; one of the Twenty-Five Imperial Seals and the highest grade of state seal
金嵌珍珠天球仪，金质天文仪器，兼具科技史意义	Gold celestial globe set with pearls; a gold astronomical instrument of significance to the history of science
金嵌珍珠皇后冬朝冠，皇后朝冠定制品	Gold winter court crown of an empress set with pearls; a bespoke empress's court crown
金爵杯，金质礼器	Gold jue cup; a gold ritual vessel
金瓯永固杯，清帝元旦开笔典礼专用，寓意疆土永固，传世仅数件，珍宝馆头号国宝	Gold cup of Eternal Stability; used exclusively at the emperor's New Year first-writing ceremony, symbolising a permanent realm, only a few survive — the foremost treasure of the Treasure Gallery
金甪端形香熏	Gold incense burner in the form of a luduan
金累丝万年如意，金累丝工艺代表	Gold filigree ruyi sceptre for eternal years; representative of gold filigree work
金累丝嵌松石坛城，坛城立体金作罕见	Gold filigree mandala inset with turquoise; three-dimensional mandalas in gold are rare
金累丝嵌珍珠宝石覆钵式塔，藏传佛教金器	Gold filigree stupa set with pearls and gems; Tibetan Buddhist goldwork
金胎掐丝珐琅嵌画珐琅人物图葫芦式执壶，两种珐琅工艺同施金胎	Gourd-shaped ewer on a gold body with cloisonné and painted-enamel figure panels; two enamel techniques on one gold body
金胎画珐琅开光西洋人物图执壶，金胎画珐琅，中西合璧	Ewer on a gold body with painted enamel Western figures in reserved panels; painted enamel on gold, a East-West hybrid
金胎绿珐琅嵌红宝石高足盖碗	Gold stem bowl with green enamel and ruby settings
金錾云龙纹提炉	Gold portable censer engraved with clouds and dragons
金镂空大吉葫芦式香熏	Gold gourd-shaped censer with openwork "great fortune" characters
金镶枷楠香木嵌寿字手镯，沉香材质	Gold bracelet inset with agarwood and longevity characters; agarwood material
钧窑天蓝釉六方花盆	Jun ware hexagonal jardinière in sky-blue glaze
钧窑天蓝釉板沿洗	Jun ware washer with flanged rim, sky-blue glaze
钧窑天蓝釉紫红斑带盖梅瓶	Jun ware covered meiping with purple-red splashes on sky-blue glaze
钧窑天蓝釉紫红斑折沿盘	Jun ware dish with flanged rim, purple-red splashes on sky-blue glaze
钧窑天蓝釉紫红斑花式杯	Jun ware foliate cup with purple-red splashes on sky-blue glaze
钧窑天蓝釉长方花盆托	Jun ware rectangular flowerpot stand in sky-blue glaze
钧窑天蓝釉鼓钉花盆托	Jun ware drum-nail flowerpot stand in sky-blue glaze
钧窑月白釉出戟尊，仿商周铜尊造型，官钧陈设器中最重要的器型之一	Jun ware zun with flanges in moon-white glaze; archaising a Shang–Zhou bronze zun, one of the most important forms among official Jun display vessels
钧窑月白釉渣斗式花盆	Jun ware jardinière in zhadou form, moon-white glaze
钧窑月白釉玉壶春瓶	Jun ware yuhuchun vase in moon-white glaze
钧窑玫瑰紫釉仰钟式花盆	Jun ware bell-shaped jardinière in rose-purple glaze
钧窑玫瑰紫釉海棠式花盆	Jun ware jardinière in begonia form, rose-purple glaze
钧窑玫瑰紫釉菱花式花盆	Jun ware jardinière in water-chestnut-flower form, rose-purple glaze
钧窑玫瑰紫釉葵花式花盆，官钧花器代表，窑变釉色标准器	Jun ware jardinière in mallow form, rose-purple glaze; representative of official Jun flower vessels and the reference standard for transmutation glaze
钧窑玫瑰紫釉长方花盆	Jun ware rectangular jardinière in rose-purple glaze
钻石（宝石标本）	Diamond (gemstone specimen)
铁柄鲨鱼皮鞘辅德剑，清宫御制剑定制系列之一	Fude sword with iron hilt and shagreen scabbard; one of the imperially commissioned Qing court sword series
铜热气球式钟，以热气球为造型，反映早期航空题材	Bronze clock in the form of a hot-air balloon; shaped as a balloon, reflecting an early aviation subject
铜轮船模型表，轮船造型	Bronze watch in the form of a steamship; steamship form
铜鎏金千手千眼观音像，多臂造像结构复杂，同类完整者少	Gilt-bronze thousand-armed, thousand-eyed Guanyin; multi-armed images are structurally complex and complete examples are uncommon
铜镀金七政仪表，天文仪器与钟表合体，科技史价值	Gilt-bronze orrery watch; an astronomical instrument combined with a timepiece, valuable for the history of science
铜镀金写字人钟，机械人偶可执笔写字，故宫钟表馆头号名品，机械复杂度居首	Gilt-bronze writing automaton clock; the mechanical figure holds a brush and writes, the foremost piece in the Palace Museum Clock Gallery and the most mechanically complex
铜镀金嵌珐琅转花鸟音水法钟，水法（仿水流）机构	Gilt-bronze clock with cloisonné, revolving flowers, birdsong and a waterfall effect; incorporates a "water effect" mechanism simulating flowing water
铜镀金珐琅群仙祝寿楼阁式钟	Gilt-bronze cloisonné pavilion clock with immortals offering birthday wishes
铜镀金象拉战车钟，活动场景钟	Gilt-bronze clock with an elephant drawing a chariot; an animated-scene clock
铜镀金转花自鸣过枝雀笼钟，雀笼与钟结合，活动机构复杂	Gilt-bronze birdcage clock with revolving flowers, self-striking movement and birds on branches; birdcage combined with clock, mechanically complex
银鎏金六世班禅像，乾隆为六世班禅所制肖像式造像，宗教史与政治史双重坐标，孤品	Silver-gilt image of the Sixth Panchen Lama; a portrait image made by Qianlong for the Sixth Panchen Lama, a landmark of both religious and political history, unique
镶青金石金约，后妃首服定制件	Jinyue collar inset with lapis lazuli; a bespoke consort's headdress fitting
长沙窑褐斑模印贴花椰枣纹执壶，唐代外销与异域纹样标本	Changsha ware ewer with brown-splashed moulded date-palm design; a specimen of Tang export ware and foreign ornament
长沙窑青釉彩绘花鸟图执壶，釉下彩绘的开端	Changsha ware ewer with painted birds and flowers, celadon glaze; the beginning of underglaze painting
长治窑白地黑彩虎枕	Changzhi ware tiger pillow with black-on-white decoration
长治窑白釉红绿彩鱼衔花纹碗，红绿彩早期标本	Changzhi ware bowl with a fish holding a flower in red and green on white glaze; an early specimen of red-and-green enamel
陶彩绘舞马，舞马题材与唐代文献互证	Painted pottery dancing horse; the dancing-horse subject corroborates Tang texts
陶昆仑奴俑，唐代外来人物形象	Pottery Kunlun slave figure; a foreign figure type of the Tang
陶黄釉大食人俑，唐代外来人物形象	Yellow-glazed pottery figure of a Tazi; a foreign figure type of the Tang
雍正帝御用马鞍（同型六副之一）	Saddle of the Yongzheng Emperor (one of six of the same type)
青玉雕会昌九老图山子，大型玉山子叙事题材代表	Blue-green jade mountain of the Nine Elders of Huichang; representative of narrative subjects on large jade mountains
青玉雕秋山行旅图山子	Blue-green jade mountain with travellers in autumn hills
青花折枝花纹如意耳扁壶，永宣仿西亚金属器造型	Blue-and-white flattened flask with ruyi handles and floral sprays; a Yongle–Xuande form imitating West Asian metalwork
青花波斯文『天顺年』铭三足筒式炉，明代『空白期』带纪年款青花极少，断代坐标	Blue-and-white tripod cylindrical censer with a Persian inscription and "Tianshun year" mark; dated blue-and-white from the Ming "interregnum" is very scarce, and this is a dating anchor
青花海水刻白龙纹扁壶，刻白龙配青花海水，工艺复合	Blue-and-white flattened flask with a white dragon carved above waves; carved white dragon combined with blue waves, a composite technique
青花缠枝花纹阿拉伯文无当尊，伊斯兰造型影响标本	Blue-and-white wudang zun with scrolling flowers and an Arabic inscription; a specimen of Islamic formal influence
青花缠枝莲纹宝月壶，永宣外来器型	Blue-and-white moon flask with scrolling lotus; a foreign form of the Yongle–Xuande period
青花蓝查体梵文出戟盖罐，藏传佛教题材官窑器	Blue-and-white covered jar with flanges and Lanydza Sanskrit; an imperial vessel with Tibetan Buddhist subject matter
青花釉里红松竹梅图竹叶藏诗梅瓶，纹中藏诗，构思巧	Blue-and-white and underglaze-red meiping with pine, bamboo and plum concealing a poem in the leaves; a poem hidden within the ornament, ingeniously conceived
青花釉里红题《圣主得贤臣颂》笔筒，长篇御笔书法入瓷	Blue-and-white and underglaze-red brush pot inscribed with the "Ode to a Wise Sovereign Obtaining Worthy Ministers"; a long passage of imperial calligraphy transferred to porcelain
青花题『万寿尊赋』笔筒	Blue-and-white brush pot inscribed with the "Rhapsody on the Longevity Zun"
青花题『前赤壁赋』笔筒	Blue-and-white brush pot inscribed with the "Former Ode on the Red Cliff"
青釉堆塑楼阁人物谷仓罐，同类第二例	Celadon granary jar with applied pavilions and figures; a second example of the type
青釉塑贴人物纹凤首龙柄壶，隋唐过渡期名品	Celadon ewer with a phoenix-head spout, dragon handle and applied figures; a celebrated piece of the Sui–Tang transition
青金石雕松泉人物图山子	Lapis lazuli mountain with pines, springs and figures
韩子思造石思惟像，带造像人题记的北朝思惟像	Stone pensive bodhisattva made by Han Zisi; a Northern Dynasties pensive image with a donor inscription
顺治帝御用马鞍（同型六副之一）	Saddle of the Shunzhi Emperor (one of six of the same type)
马家窑彩陶旋涡纹壶，新石器彩陶代表纹样	Majiayao painted pottery jar with a whirlpool design; the representative motif of Neolithic painted pottery
鲁山窑花釉腰鼓，唐代花釉代表器，与文献『鲁山花瓷』互证，传世孤例级	Lushan ware waist drum in splashed glaze; the representative Tang splashed-glaze vessel, corroborating the texts on "Lushan splashed ware", of unique surviving rank
鹿哨，行围用具	Deer whistle; a hunting implement
黄地珐琅彩开光花卉纹碗	Falangcai bowl with flowers in reserved panels on a yellow ground
黄地珐琅彩开光西洋人物图绶带耳葫芦扁瓶，珐琅彩中西合璧代表，北京故宫珐琅彩藏量有限	Gourd-shaped flattened flask with ribbon handles and falangcai Western figures in reserved panels on a yellow ground; representative of East-West hybrid falangcai, and the Palace Museum's falangcai holdings are limited
黄地珐琅彩石榴花图题诗句杯，诗书画印一体的珐琅彩范式	Falangcai cup with pomegranate flowers and an inscribed couplet on a yellow ground; the falangcai paradigm uniting poetry, calligraphy, painting and seal
黄地青花缠枝花纹交泰转心瓶，交泰结构上下互套可转动，乾隆御窑炫技孤品	Blue-and-white revolving vase with scrolling flowers on a yellow ground, interlocking construction; the interlocking upper and lower sections rotate — a Qianlong imperial-kiln virtuoso unicum
黄玉雕佛手式花插，黄玉材质	Yellow jade flower holder in the form of a Buddha's-hand citron; yellow jade material
黄玉雕象驮宝瓶，黄玉材质稀少	Yellow jade elephant bearing a vase; yellow jade is a scarce material
黄玉雕骆驼	Yellow jade camel
黄玉雕鱼龙式花插	Yellow jade flower holder in the form of a fish-dragon
黄花梨雕龙大柜，黄花梨大件家具	Large huanghuali cabinet carved with dragons; a large piece of huanghuali furniture
龙泉窑粉青釉纸槌瓶，南宋龙泉粉青釉标准器	Longquan ware mallet vase in pale blue-green glaze; the reference standard for Southern Song Longquan pale blue-green glaze
龙泉窑青釉琮式瓶，仿玉琮造型	Longquan ware cong-form vase in celadon glaze; imitating the form of a jade cong
龙泉窑青釉露胎八仙人物图八方梅瓶	Longquan ware octagonal meiping with unglazed relief figures of the Eight Immortals, celadon glaze
