seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,原表tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
659,,Garrowby Hill（大卫·霍克尼，1998-01-01，油彩）,,,object,20世纪英国现代风景绘画,1,8.5,5.5,8,8,7.5,0,8.5,8.5,6.5,8.100,7.410,C,A,变,Core 7.410 落在 7.2–8.49,high,霍克尼是国际公认的一流现代艺术家，约克郡风景画以鲜明色彩和开阔构图具有强烈现场吸引力，并能说明现代风景画的当代转化。,组内唯一对象，在MFA的20世纪英国现代风景绘画中具有代表性，凭霍克尼的重要艺术地位占据唯一且高位，但对全馆核心叙事的补位价值有限。,
660,,Men and Animals Struggling Against Death & Father Time（David Vinckboons）,,,object,17世纪荷兰与佛兰德绘画,3,6,3.5,6,5.5,6.5,0,6.5,7,6,6.550,5.430,,C,变,Core 5.430 < 5.5,medium,文克博恩斯擅长风俗与寓意性场景，人与死亡及时间抗争的题目具有清晰的死亡意识和道德寓意，但画家在MFA同类馆藏中并非核心代表。,组内代表性最高：以死亡与父亲时间为核心的寓意性群像题材最独特，较另两件风景画更具补位价值。,
661,,Infanta Maria Theresa（http://www.wikidata.org/.well-known/genid/9591df26f6edf529d98a22520eeacb82，1653-01-01，油彩）,,,object,西班牙巴洛克宫廷肖像画,2,9,7.5,8,8.5,7.5,0,8.5,8,7.5,8.150,8.090,C,A,变,Core 8.090 落在 7.2–8.49,medium,委拉斯凯兹的王室肖像属于西班牙绘画的高峰，兼具名家技艺、宫廷历史语境和强烈的现场辨识度，但西班牙艺术并非MFA最核心的身份板块。,组内代表性较高：作为委拉斯开兹笔下的西班牙王室女性肖像，较另一件男性君主肖像提供了性别与宫廷身份上的互补，重复性较低。,
662,,"Philip IV, King of Spain（委拉斯開茲，1624-01-01，油彩）",,,object,西班牙巴洛克宫廷肖像画,2,8.5,6.5,7.5,7.5,7.5,0,9,6.5,7,7.850,7.485,C,A,变,Core 7.485 落在 7.2–8.49,medium,委拉斯凯兹早期的西班牙国王肖像具有国家级艺术史重要性，人物与权力叙事清晰，但在MFA中仍属于非核心的西班牙绘画收藏。,组内品质与历史地位居首：委拉斯开兹的菲利普四世肖像是西班牙巴洛克宫廷肖像的典范，但与组内另一件王室肖像存在较明显题材重复。,
663,,Portrait of a Woman（Dirck van Santvoort）,,,object,荷兰17世纪肖像画,6,6,4,5.5,5.5,5.5,0,6,3.5,4.5,4.950,5.170,C,C,,Core 5.170 < 5.5,medium,范桑沃特是荷兰黄金时代的专业肖像画家，但并非该领域最具代表性的顶尖人物，这件作品更接近MFA荷兰绘画中的常规精品。,组内靠后：圣福特肖像属于常规荷兰肖像类型，在本组中缺乏足以突出其代表性的特征。,
664,,The Procuress（迪爾克·范巴比倫，1622-01-01，油彩）,,,object,荷兰17世纪风俗画,1,7.5,5,7,7,7,0,7,9,4.5,7.100,6.610,C,B,变,Core 6.610 落在 5.5–7.19,medium,范巴比伦是乌得勒支卡拉瓦乔主义的重要画家，《媒婆》以强烈明暗、戏剧人物和社会叙事提升了观赏与教育价值，但不构成MFA身份核心。,组内唯一的荷兰17世纪风俗画，具备该类别的代表性，但在MFA整体叙事中属于补充性板块而非核心身份。,
665,,Saint Dominic and the Burning of the Heretical Books（多梅尼科·貝卡富米，1520-01-01，油彩）,,,object,锡耶纳16世纪宗教画,2,7.5,5.5,7,6.5,7.5,0,7.5,8,6.5,7.450,6.770,C,B,变,Core 6.770 落在 5.5–7.19,medium,贝卡富米是锡耶纳矫饰主义的代表画家，圣道明焚书题材能解释宗教裁判与反异端观念，艺术史价值和叙事性均明显高于一般宗教画。,组内两件均为贝卡富米1520年的锡耶纳宗教画，但《圣多明我与焚烧异端书籍》题材更具辨识度，代表性排在前位。,
666,,The Martyrdom of Saint Sigismond and his Family（多梅尼科·貝卡富米，1520-01-01，油彩）,,,object,锡耶纳16世纪宗教画,2,7.5,5.5,7.5,7,7.5,0,7.5,5.5,6,6.600,6.835,C,B,变,Core 6.835 落在 5.5–7.19,medium,贝卡富米对圣西吉斯蒙德殉难故事的矫饰主义处理具有较强戏剧性和视觉张力，是意大利16世纪宗教绘画中的重要作品，但在MFA内仍非最核心馆藏。,作品品质与画家及年代价值不逊于组内另一件，但《圣西吉斯蒙德及其家族殉道》题材相对重复，组内独特性居后。,
667,,Parable of the Good Samaritan（多明尼科·費提，1622-01-01）,,,object,意大利17世纪巴洛克宗教画,2,6.5,4.5,6,6,6.5,0,7,7,4.5,6.500,5.850,C,B,变,Core 5.850 落在 5.5–7.19,medium,费提的《善良的撒马利亚人》具备清晰的基督教伦理叙事和巴洛克人物处理，但艺术史地位与MFA馆藏代表性均属中等。,组内代表性较高：费蒂的寓言题材更能体现其巴洛克叙事特色，在两件中独特性与补位价值居前。,
668,,Saint Mary Magdalen Penitent（多明尼科·費提，1615-01-01，油彩）,,,object,意大利17世纪巴洛克宗教画,2,6.5,4.5,6.5,6.5,6,0,6.5,4.5,4,5.400,5.815,C,B,变,Core 5.815 落在 5.5–7.19,medium,费提笔下忏悔的抹大拉具有易于理解的宗教情感和一定视觉吸引力，但题材较常见，作品在MFA身份中的不可替代性有限。,组内居次：作品品质可靠，但忏悔的抹大拉较属常见宗教图像，相比《善 Samaritan》重复性更高、叙事补位较弱。,
669,,Virgin and Child; Coronation of the Virgin（多梅尼科·吉兰达约，1480-01-01）,,,object,佛罗伦萨文艺复兴宗教画,1,8,6,7.5,7.5,8,0,8,9,7.5,8.200,7.370,,A,变,Core 7.370 落在 7.2–8.49,medium,吉兰达约是佛罗伦萨文艺复兴的重要大师，圣母子与圣母加冕题材可有效呈现文艺复兴宗教图像和工作坊传统，艺术史与教育价值较强。,组内唯一的佛罗伦萨文艺复兴宗教画，吉兰达约作品具备较高典范性与明确的意大利文艺复兴叙事补位价值，因此D取高分。,
670,,La tasca della giacca（Domenico Gnoli，1966-01-01）,,,object,意大利战后具象绘画,2,7,5,7.5,7.5,6.5,0,7.5,8,3.5,6.850,6.560,C,B,变,Core 6.560 落在 5.5–7.19,medium,戈诺利以放大的日常细节和近乎超现实的具象方式形成鲜明视觉效果，《夹克口袋》虽有当代艺术史意义，但在MFA身份中并非不可替代。,组内以《La tasca della giacca》更能代表Gnoli放大日常细部的战后具象语言，故品质与非重复性均列首位。,
671,,Vestito a fiori azzurri（Domenico Gnoli，1964-01-01）,,,object,意大利战后具象绘画,2,7,5,7,7,6.5,0,7,4,3,5.300,6.255,C,B,变,Core 6.255 落在 5.5–7.19,medium,戈诺利对花卉服饰局部的放大处理具有明确的战后意大利具象绘画特征，易于引发普通游客兴趣，但历史叙事和馆藏核心性中等。,同为Gnoli的日常物象具象绘画，但与组内首件在艺术家及语言上高度重复，代表性和补位价值居次。,
672,,Two Peasant Boys with a Basket（Domenico Maggiotto，油彩）,,,object,威尼斯18世纪风俗画,1,5.5,3.5,5.5,5.5,5.5,0,6,8,3,6.000,5.050,C,C,,Core 5.050 < 5.5,medium,马焦托的农民题材属于18世纪威尼斯风俗画中的合格作品，具有一定社会生活信息和亲和力，但画家与作品均较易被同类馆藏替代。,组内唯一的威尼斯18世纪风俗画，因无同类重复而具较高代表性，但画家与作品在MFA整体叙事中的地位有限。,
673,,Adoration of the Magi（多梅尼科·丁托列托，1605-01-01，油彩）,,,object,威尼斯画派晚期绘画,3,6,4,6,5.5,5.5,0,6.5,7,6,6.550,5.405,C,C,,Core 5.405 < 5.5,medium,多梅尼科·丁托列托属于威尼斯画派的重要延续者，但个人地位和此类宗教画的博物馆不可替代性均低于其父亲及威尼斯画派顶尖作品。,组内以《东方三博士来朝》最具叙事代表性和题材区分度，位列第一。,
674,,Portrait of a Man（多梅尼科·丁托列托，1590-01-01，油彩）,,,object,威尼斯画派晚期绘画,3,5.5,3.5,5.5,5,5,0,5.5,3.5,4,4.600,4.760,C,C,,Core 4.760 < 5.5,medium,作品出自丁托列托家族的后辈画家，具威尼斯肖像画史价值，但在MFA庞大的欧洲绘画收藏中属于可替代的中等作品。,组内虽为丁托列托肖像且具年代价值，但与675号高度同类重复，代表性位列第三。,
675,,Portrait of a Young Man（多梅尼科·丁托列托，1582-01-01，油彩）,,,object,威尼斯画派晚期绘画,3,6,4,6,5.5,5.5,0,6.5,5.5,5,5.900,5.340,C,C,,Core 5.340 < 5.5,medium,青年肖像体现晚期威尼斯绘画的写实传统，艺术史价值略高于普通馆藏品，但并非MFA威尼斯绘画板块的核心名作。,组内作品质量与早期肖像价值较高，但与另一件丁托列托肖像存在重复，位列第二。,
676,,"Woman in a Window, Holding a Dead Fowl（Domenicus van Tol）",,,object,荷兰黄金时代风俗画,10,4.5,2.5,5,5.5,4.5,0,5.5,3,4,4.450,4.220,C,C,,Core 4.220 < 5.5,medium,Domenicus van Tol是荷兰黄金时代的次要风俗画家，死禽与窗边人物具有一定戏剧性和观赏趣味，但艺术史地位有限。,范·托尔作品虽有窗边持死禽的特殊情节，但品质与艺术史代表性较弱，整体仍是组内较次要且难以补足叙事的一件。,
677,,Jean Fleury（多明尼克·帕碑提，油彩）,,,object,十九世纪法国学院派绘画,1,4.5,2.5,4.5,4.5,4,0,5.5,8.5,3.5,6.000,4.075,C,C,,Core 4.075 < 5.5,medium,多明尼克·帕碑提代表十九世纪法国学院派肖像传统，但画家及单件肖像在MFA的法国绘画收藏中均不具突出代表性。,组内唯一的十九世纪法国学院派绘画，因本馆同类无可替代对象而获较高D，但作品与艺术家在MFA整体叙事中的地位属补充性而非核心。,
678,,Landscape with Buildings（Donald Hamilton Fraser，1957-01-01，油彩）,,,object,英国战后抽象绘画,3,4.5,2,5,4.5,4,0,5,3.5,2.5,4.050,3.830,C,C,,Core 3.830 < 5.5,medium,1957年的建筑风景画属于英国战后现代绘画的边缘性馆藏，形式上可能有一定吸引力，但艺术史与MFA身份关联较弱。,组内居中：作品具有英国战后抽象绘画的补充价值，但艺术家与风格代表性明显低于尼科尔森，且与组内另一件弗雷泽作品有重复。,
679,,Still Life（Donald Hamilton Fraser，油彩）,,,object,英国战后抽象绘画,3,4,2,4.5,4.5,3.5,0,4.5,2.5,2,3.400,3.515,C,C,,Core 3.515 < 5.5,medium,Fraser的静物画可说明战后英国绘画的实验倾向，但单件作品的艺术史影响、视觉冲击和教育叙事价值均较有限。,组内最低：虽属同一艺术家及相近时期的油彩作品，但相较《Landscape with Buildings》在组内的独特性和叙事补位作用更弱。,
680,,The Cumaean Sibyl（多納托·克雷蒂，1730-01-01，油彩）,,,object,十八世纪意大利巴洛克绘画,1,6,3.5,5.5,5.5,5.5,0,6.5,8.5,5.5,6.900,5.240,C,C,,Core 5.240 < 5.5,medium,克雷蒂是博洛尼亚画派中有明确地位的十八世纪画家，题材具有古典神话与预言传统的叙事价值，但该画并非MFA身份性藏品。,组内唯一的十八世纪意大利巴洛克绘画，虽非克雷蒂最具国际知名度的代表作，却承担了本馆该门类的唯一代表与叙事补位作用。,
681,,Triptych: the Crucifixion; the Redeemer with Angels; Saint Nicholas; Saint Gregory（杜喬·迪·博尼塞尼亞，1305-01-01，tempera）,,,object,意大利中世纪与早期文艺复兴宗教绘画,1,9,7.5,7.5,7,8.5,0,9.5,9,7,8.850,8.010,C,A,变,Core 8.010 落在 7.2–8.49,medium,杜乔是锡耶纳画派奠基性大师，1305年的宗教三联画对西方绘画从拜占庭传统向早期文艺复兴发展的解释力极强，也是MFA早期意大利绘画中的重要代表。,组内唯一对象，且为杜乔这一早期意大利绘画大师的宗教三联画，在馆内同类中具有较高典范性与不可重复性；虽非MFA最核心板块，却补足了意大利中世纪至早期文艺复兴宗教艺术叙事。,
682,,"Waterloo Bridge, London（邓肯·格兰特）",,,object,英国现代主义绘画,1,5.5,2.5,5,4.5,4.5,0,7,9,4,7.000,4.525,,C,变,Core 4.525 < 5.5,medium,邓肯·格兰特是英国现代主义的重要参与者，但单件《滑铁卢桥》在MFA的英国及现代绘画收藏中属于中等的可替代作品。,组内唯一对象，虽非邓肯·格兰特最具标志性的代表作，但在本组中无重复项，承担补足英国现代主义绘画板块的作用。,
683,,Degas's Father Listening to Lorenzo Pagans Playing the Guitar（埃德加·德加，1870-01-01，油彩）,,,object,埃德加·德加绘画,2,8,6,7,7,7.5,0,7,4.5,6.5,6.150,6.940,A,B,变,Core 6.940 落在 5.5–7.19,medium,作品兼具德加早期肖像、家庭关系与音乐场景的叙事价值，德加又是MFA法国艺术尤其印象派收藏的重要支柱，但此画并非其最广为人知的代表作。,组内居第二，虽为德加早期油画且具肖像与音乐题材价值，但相较舞者题材作品代表性较弱、重复度更高。,
684,,Ballet Dancer with Arms Crossed（埃德加·德加，1872-01-01，油彩）,,,object,埃德加·德加绘画,2,8,6,7,7.5,7,0,7.5,7.5,7,7.400,7.065,A,B,变,Core 7.065 落在 5.5–7.19,medium,芭蕾舞者题材高度体现德加对现代生活与运动姿态的观察，现场辨识度和游客吸引力较强，并受益于MFA重要的德加收藏，但仍低于其最具标志性的舞者作品。,组内居首，舞者题材更直接体现德加的核心艺术形象，在本组两件作品中独特性和叙事补位价值更突出。,
685,,"Duchessa di Montejasi with Her Daughters, Elena and Camilla（埃德加·德加，1876-01-01，油彩）",,,object,法国19世纪现代主义油画（德加与马奈）,9,8,6.5,7.5,7.5,7.5,0,8,6.5,7.5,7.450,7.345,A,A,,Core 7.345 落在 7.2–8.49,medium,这是德加较重要的家庭肖像，兼具人物心理刻画与19世纪法国资产阶级社会叙事，但在MFA的德加收藏中仍非最具标志性的作品。,组内属德加较具代表性的肖像与群像作品，但在本组中位于中上，独特性不及《埃德蒙多与特蕾莎·莫比利》。,
686,,Portrait of a Man（埃德加·德加，油彩）,,,object,法国19世纪现代主义油画（德加与马奈）,9,6.5,4.5,5.5,5.5,5.5,0,6.5,3.5,6.5,5.600,5.460,A,C,变,Core 5.460 < 5.5,medium,作品出自德加这一重要画家，但题名泛化且缺乏显示其为公认代表作的资料，在MFA同类收藏中更接近有质量的常规品。,组内为德加一般性男性肖像，品质与叙事作用有限，因题材重复度较高而列于后段。,
687,,Visit to a Museum（埃德加·德加，1879-01-01，油彩）,,,object,法国19世纪现代主义油画（德加与马奈）,9,8,7,7.5,7.5,8,0,8.5,7.5,8,8.100,7.610,B,A,变,Core 7.610 落在 7.2–8.49,medium,德加以参观博物馆为题材，能呈现现代都市观看、艺术教育与阶层文化，兼有较强的场景吸引力，是MFA法国现代艺术板块中值得优先看的作品。,组内属德加较重要的公共文化场景作品，独特性仅次于其最具代表性的肖像作品。,
688,,Edmondo and Thérèse Morbilli（埃德加·德加，1865-01-01，油彩）,,,object,法国19世纪现代主义油画（德加与马奈）,9,8.5,7.5,8,7.5,8,0,9,8.5,8.5,8.750,7.975,B,A,变,Core 7.975 落在 7.2–8.49,medium,这是德加早期重要的双人家庭肖像，人物关系和构图都具有较高艺术史价值，在MFA的德加收藏中属于较有代表性的精品。,组内德加作品中历史与艺术代表性最强的一件之一，以早期家庭肖像的典范性居于首位梯队。,
689,,The Execution of Emperor Maximilian（愛德華·馬奈，1867-01-01，油彩）,,,object,法国19世纪现代主义油画（德加与马奈）,9,9.5,8.5,9,8.5,9,0,9.5,9.5,9,9.400,8.940,A,A,,Core 8.940 达标但 S-ness 仅 1/3 通过，降 A,medium,马奈描绘马克西米连皇帝处决事件的作品属于其最重要的政治历史画之一，连接现代绘画、帝国主义批判与新闻视觉文化，在MFA法国现代艺术语境中具有核心地位。,组内代表性最高，马奈对历史事件与现代绘画语言的关键处理使其成为本组最不可替代的作品。,A：马奈的马克西米连行刑具有重要历史与艺术史价值，错过会可惜；但它不是MFA两小时路线的首要锚点，也不是本馆身份不可替代的单件作品。
690,,Monk in Prayer（愛德華·馬奈，1865-01-01，油彩）,,,object,法国19世纪现代主义油画（德加与马奈）,9,7,5.5,6.5,6,6.5,0,7,3,6.5,5.700,6.195,B,B,,Core 6.195 落在 5.5–7.19,medium,马奈的祈祷僧侣题材体现其早期人物画与宗教主题处理，艺术质量良好，但相较其政治画和人物肖像代表作，博物馆优先级较低。,组内属马奈较常规的宗教题材人物画，与其他马奈作品相比重复度较高，位于后段。,
691,,Victorine Meurent（愛德華·馬奈，1862-01-01，油彩）,,,object,法国19世纪现代主义油画（德加与马奈）,9,8,7,7.5,7.5,8,0,8.5,7,8,7.950,7.595,A,A,,Core 7.595 落在 7.2–8.49,medium,作品描绘马奈反复使用的重要模特维克多琳·默朗，能够联系《奥林匹亚》等现代主义转折及女性形象、模特身份问题，是MFA马奈收藏中的强作。,组内为马奈重要的人物肖像，代表性仅次于《马克西米连皇帝的处决》，但仍受同组马奈肖像题材重叠影响。,
692,,Basket of Fruit（愛德華·馬奈，1864-01-01，油彩）,,,object,法国19世纪现代主义油画（德加与马奈）,9,7,5.5,6.5,6.5,6,0,7,2.5,6,5.450,6.170,A,B,变,Core 6.170 落在 5.5–7.19,medium,马奈的静物画在现代绘画史上具有明确价值，水果与篮子的构图也具观赏性，但该题材在其整体创作和MFA收藏中不如人物及历史主题作品突出。,组内为马奈静物题材的较常规实例，虽具艺术家辨识度，但在本组中独特性最低。,
693,,Music Lesson（愛德華·馬奈，1870-01-01，油彩）,,,object,法国19世纪现代主义油画（德加与马奈）,9,7.5,6,7,7,7,0,7.5,5.5,7,6.800,6.830,A,B,变,Core 6.830 落在 5.5–7.19,medium,音乐学习场景体现马奈对现代生活、室内社交和日常视觉经验的处理，属于可靠的法国现代主义精品，但尚不足以代表MFA的最高层级藏品。,组内为马奈音乐与现代生活题材的中等代表作，叙事补位尚可但不及其历史画与核心肖像。,
694,,Roses in a Glass Vase（爱德华·维亚尔，1919-01-01，油彩）,,,object,法国纳比派油画（维亚尔）,2,6.5,4.5,6.5,6.5,5.5,0,6.5,4.5,5.5,5.700,5.770,C,B,变,Core 5.770 落在 5.5–7.19,medium,维亚尔的花卉静物具有纳比派偏重装饰性、色面与室内氛围的特点，现场观感尚好，但在MFA整体法国收藏中属于可替代的中等精品。,组内居后：作品质量良好但主题与风格较集中于维亚尔常见的静物与室内装饰性探索，相比另一件的类型代表性和叙事补位价值较弱。,
695,,Woman Sewing before a Garden Window（爱德华·维亚尔，1895-01-01）,,,object,法国纳比派油画（维亚尔）,2,7.5,5.5,7.5,7,7,0,7.5,7.5,6.5,7.300,6.830,C,B,变,Core 6.830 落在 5.5–7.19,medium,缝纫女性与花园窗景结合了维亚尔擅长的室内生活、装饰性平面和现代家庭叙事，艺术与教育价值高于一般静物，但并非MFA身份的核心镇馆作。,组内代表性更强：较《Roses in a Glass Vase》更能体现维亚尔早期纳比派人物、室内空间与装饰性构图的典型面貌。,
696,,Man in Sixteenth-century Costume in a Garden（Eduardo Zamacois y Zabala）,,,object,西班牙19世纪历史与风俗油画,1,5.5,2.5,5.5,5.5,5.5,0,5.5,8,3.5,5.850,4.785,B,C,变,Core 4.785 < 5.5,low,Zamacois属于19世纪西班牙历史及风俗画中的较次要画家，六世纪服饰题材可能具有观赏性和时代趣味，但不构成MFA的关键身份资源；现有资料仅足以作保守判断。,组内唯一一件西班牙19世纪历史与风俗油画，因无同类重复对象而具较高代表性，但在MFA整体叙事中属于非核心补位。,
697,,Portrait of a Man and Woman in an Interior（埃赫隆·范德内尔，1666-01-01，油彩）,,,object,17世纪荷兰室内与建筑空间画,3,6,3,6,5.5,6,0,6.8,6.5,4.5,6.250,5.200,C,C,,Core 5.200 < 5.5,medium,属于荷兰黄金时代室内风俗画，作者是专业画家但并非该领域最具代表性的顶尖大师，主要价值在于呈现17世纪居住与社会生活。,组内居第二：范德内尔的人物与室内结合具有题材差异性，但在17世纪荷兰室内画的典范地位不及德·维特的教堂空间画。,
698,,Norwegian Fiord（阿德尔斯滕·诺曼，油彩）,,,object,19世纪北欧风景画,1,5.5,2,6.5,6,4.5,0,5.5,8,3,5.750,4.725,C,C,,Core 4.725 < 5.5,low,挪威峡湾题材具有直接的景观感染力，但阿德尔斯滕·诺曼在北欧绘画史上的地位有限，且不属于MFA的核心身份板块。,组内唯一的19世纪北欧风景画，因本馆同类中暂无可比对象而具较高独特性，但画家与题材并非MFA核心叙事，补位价值有限。,
699,,Saint Dominic in Prayer（埃尔·格列柯，1605-01-01，油彩）,,,object,16—17世纪西班牙宗教绘画,1,8.5,5.5,7.5,7.5,7.5,0,8.5,9,5.5,8.050,7.255,A,A,,Core 7.255 落在 7.2–8.49,high,埃尔·格列柯是欧洲宗教绘画与表现性风格史上的一流大师，圣徒祈祷题材兼具强烈形式语言和反宗教改革语境，但并非MFA最不可替代的馆藏支柱。,组内唯一的16—17世纪西班牙宗教绘画，且为格列柯作品，代表性与非重复性高；但该题材并非MFA最核心的馆藏叙事板块，补位价值中等。,
700,,Still Life with Dead Heron and Swan（Elias Vonck，油彩）,,,object,17世纪荷兰猎物静物画,1,5.5,2.5,6,5.5,5.5,0,5.5,8.5,3.5,6.000,4.875,C,C,,Core 4.875 < 5.5,low,猎禽静物具有荷兰黄金时代财富、狩猎文化与物质观念的叙事潜力，画面冲击力尚可，但作者和作品在同类中并不属顶尖。,组内唯一对象，因而在17世纪荷兰猎物静物画中无同类重复，但埃利亚斯·冯克并非该传统最具代表性的名家，且对MFA核心叙事的补位有限。,
701,,Elizabeth Parke Firestone（伊丽莎白·舒马托夫，1960-01-01，油彩）,,,object,20世纪美国社会肖像画,1,4.5,2,4.5,4.5,4,0,5.5,8,4,5.950,3.945,C,C,,Core 3.945 < 5.5,low,属于20世纪美国委托肖像的常规类型，艺术史与视觉表现相对有限，除非结合特定藏家或人物背景，否则对MFA身份贡献很小。,组内唯一对象，因此在本类中具有最高的非重复性，但其艺术史典范性与对MFA核心美国艺术叙事的补位作用均属中等。,
702,,Kitchen Interior（Emanuel de Witte，1665-01-01，油彩）,,,object,17世纪荷兰室内与建筑空间画,3,6.5,4,7,6.5,6.5,0,7.2,4.5,4,5.750,5.875,C,B,变,Core 5.875 落在 5.5–7.19,medium,伊曼纽尔·德·维特擅长以光线和透视组织室内空间，厨房场景可解释荷兰日常生活与建筑视觉文化，但在MFA中仍属于强而非核心的荷兰画作。,组内居末：德·维特的厨房室内画品质可靠，但与组内更具代表性的建筑空间画及另一件德·维特作品存在较明显题材重复。,
703,,"Interior of the Nieuwe Kerk, Amsterdam（Emanuel de Witte，1677-01-01，油彩）",,,object,17世纪荷兰室内与建筑空间画,3,7,4,7.5,6.5,7,0,8,8.5,5.5,7.650,6.315,,B,变,Core 6.315 落在 5.5–7.19,medium,德·维特对阿姆斯特丹新教教堂空间、建筑秩序与光线的描绘具有较强形式价值和城市宗教史信息，现场空间感也明显高于一般室内画。,组内代表性最高：埃马纽尔·德·维特成熟的教堂建筑空间画典范，且以阿姆斯特丹新教堂这一明确地标区别于另外两件室内画。,
704,,Union Army Veteran（Emil Otto Grundmann，油彩）,,,object,19世纪美国人物肖像画,8,5,3.5,5.5,5.5,6,0,5.5,5,6,5.450,4.970,C,C,,Core 4.970 < 5.5,low,内战退伍军人题材提供了美国内战记忆与公民身份的社会史入口，但作品及画家并非美国艺术板块中MFA最具代表性的核心对象。,组内综合代表性居前，虽非名家杰作，但“联邦军退伍军人”主题为美国内战与社会史补位价值较突出。,
705,,Study of a Hindu（Emil Otto Grundmann，油彩）,,,object,19世纪学院派异域人物画,1,4.5,2.5,5,4.5,4.5,0,4.5,8,2.5,5.150,4.140,B,C,变,Core 4.140 < 5.5,low,以印度人物为题的学院派习作可能涉及19世纪西方观看异域的方式，但仅凭题名难以确认其具体语境，艺术史与馆藏代表性有限。,组内唯一的19世纪学院派异域人物画，因无同类重复而具较高代表性，但艺术家与作品并非MFA核心叙事，补位价值有限。,
706,,H. D. Chapin（Emil Otto Grundmann，1884-01-01，油彩）,,,object,19世纪美国人物肖像画,8,4.5,3,4.5,4.5,5,0,4.5,3,3.5,3.850,4.135,B,C,变,Core 4.135 < 5.5,low,属于19世纪学院派人物肖像，具有一定的地方社会史和绘画教学价值，但单件作品的艺术史地位、视觉冲击及MFA不可替代性均不突出。,组内中下位，属于普通专业人物肖像，虽可呈现格伦德曼的肖像实践，但独特性受同组配偶肖像组合限制。,
707,,Mrs. H. D. Chapin（Emil Otto Grundmann，1878-01-01，油彩）,,,object,19世纪美国人物肖像画,8,4.5,3,4.5,4.5,5,0,4.5,2.5,3.5,3.700,4.120,B,C,变,Core 4.120 < 5.5,low,与同组肖像一样更像学院派和地方社会网络的记录，若作为夫妻或家庭组合观看会增加叙事性，但单件本身仍属常规馆藏。,组内中下位，与同组的H. D. Chapin构成配偶肖像，单件的非重复性低于组内较具主题或对象代表性的作品。,
708,,Interior of a German House（Emil Otto Grundmann，油彩）,,,object,19世纪德美学院派室内风俗画,1,5,3,5.5,5,5.5,0,6.5,8,4.5,6.550,4.805,,C,变,Core 4.805 < 5.5,low,德国室内题材可提供19世纪学院派日常生活与文化环境的线索，但画家和作品在MFA的美国艺术或欧洲艺术核心序列中均不占突出位置。,组内唯一对象，因而在19世纪德美学院派室内风俗画中具有最高的代表性与非重复性，但相较MFA的日本、埃及及美国艺术核心板块，其叙事补位价值有限。,
709,,The Artist's Grandmother（埃米尔·贝尔纳，1887-01-01，油彩）,,,object,19世纪法国后印象派与综合主义绘画,1,7.5,4.5,6.5,6.0,7.0,0,7.5,8.0,6.5,7.450,6.295,C,B,变,Core 6.295 落在 5.5–7.19,medium,贝尔纳是法国后印象派与综合主义的重要先驱，此作具有早期风格转折和肖像叙事价值，但并非其最具代表性的名作，也不是MFA身份核心中的不可替代品。,组内唯一对象，作为贝尔纳早期综合主义探索的代表，具有较高典范性与非重复性，并补充MFA法国印象派之外的后印象派转型叙事。,
710,,Village on the Sea（Émile Lambinet，1866-01-01）,,,object,19世纪法国及法国题材风景画,7,5.5,3.0,6.0,5.5,5.5,0,5.8,5.5,3.8,5.310,4.931,C,C,,Core 4.931 < 5.5,medium,此作属于19世纪法国学院派及巴比松式风景的扎实样本，海滨乡村题材易于观看，但画家和单幅作品的历史辨识度有限。,同为兰比内风景画，其海滨村落题材较组内多数乡野景观更有区分度，代表性列第二。,
711,,Washerwomen（Émile Lambinet，油彩）,,,object,19世纪法国及法国题材风景画,7,5.0,2.5,5.5,5.5,5.5,0,5.0,3.5,3.2,4.190,4.519,C,C,,Core 4.519 < 5.5,medium,Lambinet的洗衣妇题材体现了19世纪法国乡村风景与日常生活兴趣，但属于可替代的常规性画作，缺少足以改变MFA参观重点的独特地位。,洗衣妇题材虽具日常生活内容，但在本组兰比内乡野画中缺乏突出地位，重复度较高。,
712,,Farmyard（Émile Lambinet，1862-01-01）,,,object,19世纪法国及法国题材风景画,7,5.0,2.5,5.0,5.0,5.0,0,5.0,3.0,3.1,4.020,4.277,C,C,,Core 4.277 < 5.5,medium,这是一件典型的19世纪法国田园风景画，具有基本的时代与题材说明力，但艺术家地位和单幅作品的视觉、历史突出度均较有限。,农家庭院是组内较常见的兰比内乡村景观类型，品质合格但独特性与补位价值有限。,
713,,Fishing on the Banks of the Seine（Émile Lambinet，1872-01-01，油彩）,,,object,19世纪法国及法国题材风景画,7,5.5,3.0,6.5,6.0,5.5,0,6.0,6.5,4.0,5.750,5.125,C,C,,Core 5.125 < 5.5,medium,塞纳河畔垂钓题材具有较强的法国地方景观和休闲生活叙事性，画面应有良好的现场可看性，但仍属于Lambinet的常规风景创作。,组内以兰比内的塞纳河风景画最具代表性，作品完成度与观赏性居首，故为本组核心代表。,
