seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
46,The Gulf Stream,湾流,221 American Painting,Oil Painting,object,温斯洛·霍默油画,3,9.1,1.0,8.8,9.0,9.1,0,9.8,9.4,9.3,9.580,7.063,C,B,变,Core 7.063 落在 5.5–7.19,low,《湾流》是霍默晚期海洋绘画的核心杰作，深刻呈现人与自然、种族和命运，但该油画为纽约大都会艺术博物馆藏品而非MFA身份性馆藏。,组内居首，作为霍默成熟期海洋题材中人与自然对峙的典范，品质、思想力度及叙事收束作用均最强。,
47,Breezing Up (A Fair Wind),乘风破浪,221 American Painting,Oil Painting,object,温斯洛·霍默油画,3,8.9,1.0,8.2,8.7,8.7,0,9.5,6.8,8.2,8.430,6.713,C,B,变,Core 6.713 落在 5.5–7.19,low,《乘风破浪》是极具亲和力且具有国家级知名度的霍默代表作，但原作藏于华盛顿国家美术馆，不能据此提高MFA的本馆不可替代性。,组内品质居次且航海形象极具标志性，但与《湾流》同属小舟海景母题，独特性因题材重叠而明显递减。,
48,Snap the Whip,课间追逐,222 19th‑Century American,Oil Painting,object,温斯洛·霍默油画,3,8.5,1.0,7.8,8.4,8.8,0,8.9,8.2,8.8,8.670,6.567,C,B,变,Core 6.567 落在 5.5–7.19,low,《课间追逐》是重构内战后乡村童年和美国身份的重要图像，但主要油画版本分藏大都会艺术博物馆与巴特勒美国艺术学院，MFA版本依据不足。,组内品质列第三，却是唯一的乡村学童风俗画，能补足霍默早期美国日常生活叙事，故独特性高于《乘风破浪》。,
49,Portrait of John Adams,约翰·亚当斯肖像,131 Early America,Oil Painting,object,美国早期总统肖像画,3,8.2,7.2,6.8,7.4,8.5,0,8.4,5.5,7.5,7.350,7.580,B,A,变,Core 7.580 落在 7.2–8.49,medium,斯图亚特笔下的第二任总统兼马萨诸塞政治人物具有国家史与地方史双重价值，但传统官方肖像的视觉冲击及其在MFA庞大美国艺术收藏中的独占性有限。,组内位列第三，虽是斯图亚特所绘第二任总统的重要肖像，但与另外两件在作者、体裁和建国叙事上高度重合，独特性相对最低。,
50,Portrait of Thomas Jefferson,托马斯·杰斐逊肖像,131 Early America,Oil Painting,object,美国早期总统肖像画,3,8.4,7.3,7.0,7.7,8.7,0,8.7,7.2,8.2,8.150,7.830,A,A,,Core 7.830 落在 7.2–8.49,medium,斯图亚特对杰斐逊的著名肖像兼具建国史、总统图像与早期美国肖像画价值，但具体版本未明，尚不足视为MFA最不可替代的美国绘画。,组内位列第二，杰斐逊的历史地位与知名形象使其品质和叙事价值高于亚当斯，但典范性与不可替代性仍不及华盛顿《雅典娜肖像》。,
51,The Athenaeum Portrait of George Washington,乔治·华盛顿雅典娜肖像,131 Early America,Oil Painting,object,美国早期总统肖像画,3,9.6,9.1,8.2,9.5,9.8,0,9.9,9.8,9.8,9.850,9.305,S,S,,Core 9.305，峰值 9.8，S-ness 3/3,high,这幅未完成的华盛顿肖像塑造了美元纸币上的国家图像，是美国视觉文化的核心原型，也是足以显著定义MFA美国艺术馆藏的标志作品。,组内无可争议地居首，其未完成形态及作为华盛顿经典公众形象原型的地位，使之成为三件中最具典范性、独特性与建国叙事核心价值者。,这是美国总统肖像史上辨识度最高的原型之一，也是MFA早期美国艺术叙事的核心作品；其公共文化影响与本馆关联均不可由普通华盛顿肖像替代，保留S。
52,The Tragic Muse,悲剧缪斯,232 American Art,Oil Painting,object,萨金特肖像画,2,7.8,7.5,8.1,7.9,7.7,0,8.6,9.1,8.5,8.730,7.863,A,A,,Core 7.863 落在 7.2–8.49,medium,戏剧化人物塑造展示了萨金特成熟的肖像技巧和舞台文化意涵，在以萨金特为身份支柱之一的MFA中属于重要精品，但并非其最具代表性的馆藏巅峰。,组内综合第一，其戏剧化的演员形象比典型上流社会委托肖像更具非重复性，并补入表演艺术叙事。,
53,Mrs. Fiske Warren and Her Daughter,菲斯克·沃伦夫人与女儿,232 American Art,Oil Painting,object,萨金特肖像画,2,8.1,7.9,8.3,8.1,8.0,0,8.9,7.4,9.0,8.470,8.102,A,A,,Core 8.102 落在 7.2–8.49,high,这幅1903年双人肖像以优雅构图、服饰质感和母女关系呈现波士顿上流社会，是MFA萨金特与本地文化叙事中较具代表性的作品。,组内综合第二，母女双人肖像在绘画品质及波士顿社会史叙事上更强，但作为萨金特典型上流社会肖像，独特性逊于《悲剧缪斯》。,
54,Vase with Twelve Sunflowers,十二朵向日葵,255 Impressionism,Oil Painting,object,梵高油画,3,9.5,8.4,9.4,9.6,9.2,0,9.8,9.8,9.5,9.740,9.204,A,A,,Core 9.204 达标但 S-ness 仅 0/3 通过，降 A,medium,梵高《向日葵》母题是现代艺术的世界级图像，强烈黄调、厚重笔触和极高辨识度使其即使在MFA也会成为突出的明星作品，但缺少登录号使具体版本识别仍有限。,组内无可争议的首位，向日葵母题的典范性与辨识度远胜另外两件，并担当梵高展线的核心锚点。,馆藏归属不成立：该题名所指的梵高《十二朵向日葵》并非MFA馆藏，不能据其全球知名度为MFA建立S级优先项。三项均否，降A。
55,Landscape at Saint‑Rémy,圣雷米风景,255 Impressionism,Oil Painting,object,梵高油画,3,8.6,6.9,8.8,8.7,8.4,0,8.8,6.3,8.7,8.030,8.133,A,A,,Core 8.133 落在 7.2–8.49,medium,圣雷米时期的旋动笔触与精神张力具有一流后印象派价值和强烈现场效果，但同阶段风景数量较多，在百科全书式MFA中的单件不可替代性仅属良好。,组内品质居第二，圣雷米时期的精神性风景补位明显，但相较独一档的《十二朵向日葵》，同类风景语言的可替代性更高。,
56,Madame Ginoux,吉努夫人肖像,255 Impressionism,Oil Painting,object,梵高油画,3,8.4,6.8,8.1,8.2,8.6,0,8.5,7.4,8.3,8.130,7.928,A,A,,Core 7.928 落在 7.2–8.49,medium,吉努夫人肖像可连接梵高的阿尔勒生活、人物交往及表现性肖像语言，教育叙事突出，但该人物存在多个版本，故在MFA的独占性受到限制。,组内品质列第三，但作为唯一人物肖像，其题材非重复性高于圣雷米风景，可补充梵高对阿尔勒人物与社会关系的刻画。,
57,Seated Bather,坐着的浴女,254 Post‑Impressionism,Oil Painting,object,雷诺阿人物画,1,7.2,5.8,7.1,6.8,7.1,0,7.4,7.6,6.7,7.320,6.772,B,B,,Core 6.772 落在 5.5–7.19,medium,作品体现雷诺阿晚期圆润柔化的人体风格，具有明确的艺术史说明价值，但浴女题材及同类作品较多，在MFA强大的法国绘画板块中较易被替代。,组内唯一的雷诺阿人物画，晚期圆润浴女风格具有典型性，故相对独特性较高，但其题材与手法并非雷诺阿作品中最稀见或最关键的一类。,
58,The Bather,浴女,254 Post‑Impressionism,Oil Painting,object,塞尚油画,3,8.6,6.8,7.9,7.6,8.9,0,8.5,6.8,8.1,7.910,7.871,A,A,,Core 7.871 落在 7.2–8.49,medium,以色块和结构关系重塑人体的方式清楚展示了塞尚通向现代主义的形式实验，教育价值高，但题名未能确定具体版本，限制了本馆不可替代性判断。,组内居第三，虽以色块构筑人体补足塞尚的人物画面向，但典范性与不可替代性均弱于静物和圣维克多山题材。,
59,Mont Sainte‑Victoire,圣维克多山,254 Post‑Impressionism,Oil Painting,object,塞尚油画,3,8.8,7.1,8.6,8.6,9.0,0,9.1,8.2,8.8,8.770,8.342,A,A,,Core 8.342 落在 7.2–8.49,medium,圣维克多山是塞尚反复探索自然几何化的标志性母题，兼有强烈景观吸引力与现代绘画史价值，但多版本性质降低了单件在MFA中的唯一性。,组内居第二，圣维克多山是塞尚最具辨识度的系列母题，并强化从印象派风景向结构化现代绘画过渡的叙事。,
60,Still‑Life with Apples and Oranges,苹果与橙子静物,254 Post‑Impressionism,Oil Painting,object,塞尚油画,3,9.3,8.0,8.7,8.4,9.5,0,9.5,9.1,9.3,9.340,8.784,A,A,,Core 8.784 达标但 S-ness 仅 0/3 通过，降 A,medium,作品以多重视点、倾斜桌面和色彩结构重新组织静物空间，是解释塞尚如何奠定现代绘画的重要范例，若题名版本无误则足以成为MFA后印象派陈列的核心作品。,组内居首，这件静物以重组视觉空间的典范意义最突出，且最有力地连接塞尚与立体主义等后续现代绘画。,馆藏归属不成立：该题名所指的塞尚《苹果与橙子静物》并非MFA馆藏，因此不能进入本馆路线或参与本馆身份判断。三项均否，降A。
61,Spring Outing of the Tang Court,唐宫春游图,2nd Floor Chinese Art,Silk Handscroll,object,中国古代卷轴画,3,8.8,8.2,7.6,7.4,8.9,0,8.8,9.0,8.8,8.860,8.281,A,A,,Core 8.281 落在 7.2–8.49,medium,宋代摹唐宫廷题材手卷兼具早期图像传承、宫廷生活史与绘画史价值，且高度契合MFA的中国绘画强项，但缺少作者及完整编目信息。,组内居首，宋人摹唐宫廷人物画兼具早期图像传承与叙事性，较另外两件元代文人题材更不可重复。,
62,Three Friends of Winter,岁寒三友图,2nd Floor Chinese Art,Silk Hanging Scroll,object,中国古代卷轴画,3,7.2,5.9,6.6,6.2,7.4,0,7.4,5.3,7.3,6.750,6.620,B,B,,Core 6.620 落在 5.5–7.19,medium,元代岁寒三友题材能说明文人画的象征体系与笔墨传统，但在MFA深厚的中国绘画收藏中，无名或无明确名家归属的同类作品较易被替代。,组内第三，松竹梅能补充典型文人象征体系，但题材程式化且相对常见，独特性明显低于宫廷人物卷和钱选花鸟卷。,
63,"Vase, Ming Yong‑le blue‑and‑white",明永乐青花大瓶,2nd Floor Chinese Art,Porcelain,object,明代中国瓷器,2,8.3,6.7,8,7.9,8.1,0,9.4,9.0,9.0,9.200,7.855,A,A,,Core 7.855 落在 7.2–8.49,medium,永乐官窑大型青花代表早期明代制瓷、进口钴料与宫廷审美的高峰，视觉表现强劲，但瓷器并非MFA最具身份决定性的中国艺术门类。,组内位列第一，永乐御窑青花在品质、历史地位和典范性上均高于德化观音，并承担早期明代宫廷瓷器与青花发展的核心叙事。,
64,"Guanyin, Ming Blanc‑de‑Chine",明代德化白瓷观音,2nd Floor Chinese Art,Porcelain,object,明代中国瓷器,2,7.1,5.7,7.4,7.6,7.2,0,8.2,7.1,8.4,7.910,6.966,B,B,,Core 6.966 落在 5.5–7.19,medium,明代德化白瓷观音以温润釉色和静穆造型具有直接吸引力，也能阐释佛教造像的瓷质化与外销传播，但同类存世较多且未见名家款识。,组内位列第二，德化白瓷观音以白釉与宗教塑像类型区别于永乐青花，补位价值明显，但在明瓷整体典范性与稀缺地位上稍逊。,
65,Birds and Flowers by Qian Xuan,钱选花鸟卷,2nd Floor Chinese Art,Silk Handscroll,object,中国古代卷轴画,3,8.4,7.6,7.3,6.9,8.5,0,8.6,7.8,8.2,8.280,7.813,A,A,,Core 7.813 落在 7.2–8.49,medium,钱选是宋元易代时期的重要文人画家，其精谨花鸟手卷兼具遗民文化、复古审美与元代绘画史意义，在MFA中国绘画板块中具有较高不可替代性。,组内居次，钱选名家身份与工致花鸟风格辨识度很高，但作为元代文人绘画与岁寒题材之作仍有部分时代叙事重合。,
66,Beauty under the Willow,柳下美人图,Japanese Galleries 215,Woodblock Print,object,江户时代浮世绘木版画,3,7.8,6.6,7.4,7.6,7.7,0,9.1,8.2,8.7,8.750,7.490,A,A,,Core 7.490 落在 7.2–8.49,medium,歌麿的美人画以细腻人物心理和女性形象革新著称，但MFA拥有数量庞大的优质歌麿及浮世绘收藏，单张作品的IU受印次和保存状态显著制约。,组内品质居首、D居次，歌麿的美人画典范性最强，并以女性心理刻画补足浮世绘人物叙事。,
67,Red‑and‑White Plum Blossoms,红白梅图屏风,Japanese Galleries 215,Screen Painting,object,日本屏风画,2,9.8,9.2,9.6,9.4,9.4,0,9.8,9.7,9.5,9.710,9.491,A,A,,Core 9.491 达标但 S-ness 仅 0/3 通过，降 A,low,所述身份对应琳派全球级名作并足以成为MFA日本艺术板块的支柱，但通行著录的尾形光琳《红白梅图》原作藏于MOA美术馆，馆藏归属冲突必须核实。,组内居首，光琳标志性的高度程式化红白梅构图兼具典范性与辨识度，是两件中最能代表日本屏风画高峰并支撑MFA日本艺术叙事者。,馆藏归属不成立：尾形光琳《红白梅图屏风》并非MFA馆藏。MFA的日本艺术身份虽然极强，也不能由他馆名作代为支撑；三项均否，降A。
68,Ghost of Oiwa,阿岩之幽灵,LG32 Japanese Prints,Woodblock Print,object,江户时代浮世绘木版画,3,7.2,6.1,7.8,8.1,7.3,0,8.3,9.0,8.8,8.610,7.306,A,A,,Core 7.306 落在 7.2–8.49,medium,国芳以戏剧化构图呈现阿岩怪谈，能生动连接歌舞伎、都市大众文化与江户幽灵信仰，但在MFA规模庞大的国芳版画收藏中并非明显不可替代。,组内品质居第三但D居首，阿岩题材是唯一的歌舞伎幽灵图像，显著区别于美人画和风景画。,
69,"Fifty‑Three Stations of the Tokaido, Hiratsuka",东海道五十三次·平冢,LG31 Japanese Prints,Woodblock Print,object,江户时代浮世绘木版画,3,7.5,6.2,7.3,7.5,7.7,0,8.8,7.5,8.6,8.370,7.262,A,A,,Core 7.262 落在 7.2–8.49,medium,《东海道五十三次》是日本风景版画的经典系列，平冢一站具有交通与旅行文化叙事价值，但并非全系列最具标志性的图幅且印次质量未明。,组内品质居次而D居末，《东海道五十三次》的经典性很高，但单张驿站风景在大型浮世绘收藏中相对更易被同系列作品替代。,
70,"Samurai Armor, Momoyama period",桃山时代武士铠甲,216 Japanese Decorative Arts,Armor / Metal,object,日本甲胄,1,7.8,6.9,8.6,8.7,8.2,0,8.5,8.8,8.6,8.610,7.971,A,A,,Core 7.971 落在 7.2–8.49,medium,保存完整的桃山时代甲胄以真人尺度、漆艺和金属构件形成强烈现场冲击，并可直观解释武士战争制度与身份文化，但并非MFA日本收藏的首要标志门类。,作为组内唯一的日本甲胄，这套保存完整、漆艺与金具精良的桃山时代实战铠甲居本组首位，并为MFA强势日本艺术叙事补足武家文化一环。,
71,Kano‑school Landscape Screen,狩野派山水屏风,216 Japanese Art,Screen Painting,object,日本屏风画,2,6.8,5.7,7.9,7.4,7.1,0,7.2,5.2,7.0,6.560,6.801,B,B,,Core 6.801 落在 5.5–7.19,medium,大型狩野派山水屏风能有效再现江户精英居所的装饰尺度与官方画派审美，但未注明具体画家，在MFA丰富的日本屏风收藏中较易被更高等级作品取代。,组内居次，作为江户狩野派宅邸山水屏风具有类型与陈设语境价值，但相较光琳之作更接近常见流派范式，独特性明显较低。,
72,Sarcophagus of Nespaqashuty,内斯帕卡舒提石棺,LG Egyptian Galleries,Limestone Sarcophagus,object,古埃及石棺与棺椁,1,7.8,6.8,8.7,8.4,8.6,0,8.6,9.0,8.3,8.660,7.981,A,A,,Core 7.981 落在 7.2–8.49,medium,彩绘石灰岩石棺凭借纪念性体量、象形文字和冥界图像兼具强烈视觉与葬祭教育价值，但晚期石棺并非MFA以吉萨考古著称的埃及收藏中最核心的身份类型。,作为组内唯一的石棺，它以丰富铭文和冥界图像成为本组无可重复的代表，并为MFA埃及叙事补足晚期精英丧葬文化一环。,
73,Canopic Jars of Djehutynakht,杰胡提纳克特卡诺匹斯罐,LG Egyptian Galleries,Alabaster,object,古埃及卡诺匹斯容器,1,7.5,7.5,7.0,6.9,8.3,0,8.6,8.7,8.4,8.590,7.564,A,A,,Core 7.564 落在 7.2–8.49,high,四罐完整成套且属于杰胡提纳克特墓葬体系，既能清楚说明中王国木乃伊葬俗，也因其考古组合关系而契合MFA埃及收藏的核心优势。,组内唯一，且四件雪花石膏卡诺匹斯罐完整成套，在同类常见的单罐或残缺组合中代表性突出，并能清晰补足古埃及木乃伊化与葬俗叙事。,
74,Painted Coffin of Djehutynakht,杰胡提纳克特彩绘木棺,LG Egyptian Galleries,Wood,object,古埃及彩绘棺椁,1,8.5,8.7,8.2,8.0,9.2,0,9.2,9.1,9.2,9.170,8.602,S,A,变,Core 8.602 达标但 S-ness 仅 0/3 通过，降 A,high,这件带有棺椁文与器物图像的中王国彩绘木棺是杰胡提纳克特墓葬组合的核心，兼具杰出保存状况、考古语境和解释埃及来世信仰的能力。,作为组内唯一对象，它以高水准的中王国彩绘与棺文图像独占类别首位，并为MFA核心埃及叙事补足葬仪和来世观念的重要一环。,彩绘木棺及其考古语境具有专业价值，但在两小时综合路线中不及安克哈夫头像等核心对象；MFA埃及收藏也不会因失去这一口棺而明显改变整体身份。三项均否，降A。
75,Bust of Septimius Severus,塞普蒂米乌斯·塞维鲁胸像,213 Roman Portraiture,Marble Sculpture,object,古罗马大理石雕塑,3,8.0,6.4,7.5,7.3,8.0,0,8.2,8.1,8.8,8.290,7.449,B,A,变,Core 7.449 落在 7.2–8.49,medium,高质量皇帝肖像能够呈现塞维鲁王朝的统治形象与罗马写实传统，但古典地中海收藏并非MFA最具不可替代性的板块。,组内居次且是唯一的皇帝肖像胸像，与两件神祇全身像明显区分，并补足罗马权力肖像传统。,
76,Mosaic: Drinking Contest of Dionysus,狄俄尼索斯饮酒赛马赛克,214 Roman Mosaics,Mosaic,object,古罗马地面马赛克,1,7.7,6.5,8.3,8.2,7.8,0,8.0,8.8,8.3,8.300,7.640,A,A,,Core 7.640 落在 7.2–8.49,medium,大型晚期罗马地面马赛克以狄俄尼索斯宴饮竞赛形成鲜明叙事和空间冲击，但其对MFA整体身份的支撑弱于该馆的埃及、日本或美国艺术名作。,作为组内唯一的古罗马地面马赛克，它以狄俄尼索斯宴饮题材和大型铺地媒介形成较高独特性，并补足罗马世俗宴饮图像与建筑装饰的叙事环节。,
77,Bronze Statue of a Youth,青年男子青铜像,211 Greek Art,Bronze,object,古希腊青铜人物雕塑,1,8.5,7.1,8.3,8.1,8.0,0,8.5,9.0,7.7,8.490,7.984,A,A,,Core 7.984 落在 7.2–8.49,medium,希腊化时期自然主义青铜人物像因古代青铜原作存世稀少而具有很高的艺术史分量，其人体塑造也能直接吸引普通观众。,作为组内唯一的古希腊青铜人物雕塑，它以精细的自然主义人体塑造居于本组首位，并补足希腊展线中珍贵的希腊化时期青铜雕塑一环。,
78,"Athena, marble statue",雅典娜大理石雕像,212 Classical World,Marble Sculpture,object,古罗马大理石雕塑,3,7.8,6.2,7.6,7.3,8.2,0,8.0,6.4,8.3,7.580,7.333,A,A,,Core 7.333 落在 7.2–8.49,medium,作为重要希腊青铜原作的罗马大理石摹本，它对理解古典名作传播与复制机制很有价值，但同类罗马摹作在大型百科馆中并不罕见。,组内居末，虽能呈现罗马复制希腊青铜名作的关键机制，但作为神祇大理石全身像与朱诺像存在较明显重复。,
79,Terracotta Funerary Urn with Greek Battle Scene,绘战斗场景陶葬瓮,210 Etruscan Art,Terracotta,object,伊特鲁里亚丧葬容器,2,7.6,6.6,7.8,7.6,8.3,0,7.7,6.7,7.3,7.320,7.457,B,A,变,Core 7.457 落在 7.2–8.49,medium,大型彩绘陶葬瓮把伊特鲁里亚丧葬习俗与希腊式战斗图像结合起来，叙事和教学价值突出，但并非MFA最具全国优势的收藏类别。,组内居次，彩绘战斗叙事使其有一定特色并补充希腊影响，但典范性与不可重复性均不及成对肖像石棺。,
80,Pair of Etruscan Sarcophagi,伊特鲁里亚成对石棺,210 Etruscan Art,Limestone,object,伊特鲁里亚丧葬容器,2,8.3,7.4,8.5,8.5,8.7,0,8.8,9.0,8.6,8.820,8.247,A,A,,Core 8.247 落在 7.2–8.49,medium,保存良好的夫妻成对石棺以卧像肖像构成罕见而醒目的组合，能够有力说明伊特鲁里亚婚姻、身份和死后纪念观念。,组内首位，保存良好的夫妻成对石棺以卧像肖像集中呈现伊特鲁里亚丧葬文化，是本组最具代表性且最不可替代的对象。,
81,Tiffany Lamp: Peony,蒂凡尼牡丹台灯,112 American Decorative Arts,Stained‑Glass & Metal,object,蒂凡尼彩绘玻璃灯具,2,7.8,6.5,8.4,8.5,7.6,0,8.4,6.6,7.1,7.600,7.620,A,A,,Core 7.620 落在 7.2–8.49,medium,牡丹纹铅条彩绘玻璃体现蒂凡尼花卉灯具的成熟工艺，色彩与光效极具吸引力，但同馆另有同等级灯具使单件不可替代性受到限制。,组内品质居次，牡丹纹体现蒂凡尼成熟的花卉设计，但与蜻蜓灯在材质、结构和艺术语言上高度重叠，主要承担风格补充作用。,
82,Tiffany Lamp: Dragonfly,蒂凡尼蜻蜓台灯,112 American Decorative Arts,Stained‑Glass & Metal,object,蒂凡尼彩绘玻璃灯具,2,8.1,6.8,8.5,8.7,8.0,0,8.8,8.5,8.3,8.610,7.961,A,A,,Core 7.961 落在 7.2–8.49,medium,蜻蜓纹是蒂凡尼灯具最具辨识度和收藏影响力的设计之一，兼具新艺术运动美感与大众吸引力，但在MFA仍不是唯一的核心身份作品。,组内排名第一，蜻蜓母题是蒂凡尼灯具最经典且辨识度最高的设计之一，最适合作为美国新艺术运动灯具的代表。,
83,Silver Teapot by Paul Revere,保罗·里维尔银茶壶,132 Colonial American,Silver,object,美国殖民时期银器,3,8.5,8.1,7.7,7.9,9.0,0,9.3,9.1,8.8,9.140,8.329,A,A,,Core 8.329 落在 7.2–8.49,medium,作为保罗·里维尔现存最杰出的大型银茶壶之一，它将波士顿地方史、殖民消费文化和美国银器工艺结合起来，与MFA的城市及美国艺术身份高度契合。,组内品质与历史代表性居首，作为里维尔大型银器的典范，相较糖罐和银勺套件最能统摄殖民波士顿银器叙事。,
84,Chippendale Highboy,齐本德尔高斗柜,113 American Furniture,Wood Furniture,object,美国殖民时期木家具,1,7.8,7.1,7.8,7.5,8.2,0,8.3,8.0,8.5,8.250,7.685,A,A,,Core 7.685 落在 7.2–8.49,medium,这件波士顿制造的优质桃花心木高斗柜能清楚展示殖民时期齐本德尔风格、工匠技术和地方审美，但同类精品在美国重要收藏中仍有可比对象。,作为组内唯一对象，这件波士顿制齐本德尔式高斗柜以较高工艺品质代表殖民时期家具，并为MFA的美国艺术叙事补足本地装饰艺术一环。,
85,Harpsichord by Taskin,塔斯金大键琴,144 Musical Instruments,Wood / Musical Instrument,object,历史键盘乐器,1,8.2,7.2,7.4,7.8,8.2,0,8.8,9.0,7.6,8.620,7.812,A,A,,Core 7.812 落在 7.2–8.49,medium,塔斯金代表18世纪法国大键琴制作高峰，若保存至可演奏状态则在本馆历史键盘乐器中应居前列，但乐器并非MFA最核心的身份板块。,组内唯一的历史键盘乐器，且塔斯金作品代表18世纪法国大键琴制作的高水准，故品质与独特性均居本组首位，并能补足欧洲音乐文化叙事。,
86,Portrait of a Black Man (Othello theme),黑人男子肖像（奥赛罗主题）,334 European 18‑19C,Oil Painting,object,19世纪欧洲人物题材油画,2,6.2,4.6,6.5,6.6,7.2,0,6.4,8.0,7.1,7.020,6.137,B,B,,Core 6.137 落在 5.5–7.19,low,黑人形象与奥赛罗主题具有再现史和莎士比亚接受史价值，但艺术家、确切年代与出处不明，难在MFA强大的欧洲绘画中体现不可替代性。,组内排名第一，奥赛罗关联的黑人形象兼具文学与身份议题，相较常见乡村风俗题材更独特，也更能补充19世纪欧洲人物表现的叙事维度。,
87,The Milkmaid’s Daydream,挤奶女工的白日梦,334 European 18‑19C,Oil Painting,object,19世纪欧洲人物题材油画,2,5.9,4.2,6.2,6.1,6.5,0,5.9,4.8,5.8,5.550,5.605,B,B,,Core 5.605 落在 5.5–7.19,low,法国乡村劳动题材可辅助讲述现实主义与社会生活，但在拥有多件重要巴比松派及现实主义作品的MFA中，此类风俗画较易替代。,组内排名第二，作品可代表法国乡村日常与风俗画传统，但题材和表达在19世纪欧洲绘画中较常见，非重复性明显低于前者。,
88,"Buddha Head, Gandhara",犍陀罗佛首,2nd Floor South Asian Art,Schist Sculpture,object,南亚佛教石雕,2,7.7,5.7,7.1,7.3,8.2,0,7.9,7.2,8.7,7.850,7.140,A,B,变,Core 7.140 落在 5.5–7.19,medium,犍陀罗佛首能直观说明希腊—罗马造型与佛教图像的融合，教育价值突出，但残首形态较常见且南亚艺术并非MFA首要身份板块。,组内综合代表性次席：犍陀罗希腊—佛教融合的叙事补位最强，但独立佛首在同类收藏中较常见，独特性低于完整的波罗造像。,
89,Shiva Nataraja,湿婆舞王铜像,South Asian Galleries,Bronze,object,南亚印度教青铜造像,1,8.9,6.9,8.8,8.8,9.1,0,9.2,8.9,8.7,9.010,8.411,A,A,,Core 8.411 落在 7.2–8.49,medium,朱罗王朝湿婆舞王像是南印度宗教青铜的标志性类型，以强烈动态和完整宇宙论图像兼具世界艺术史地位与现场感染力。,作为本组唯一对象，朱罗王朝湿婆舞王以典范性的造型与宗教内涵居组内首位，并为MFA的南亚印度教艺术叙事提供关键补位。,
90,"Seated Bodhisattva, Pala period",波罗王朝坐菩萨像,South Asian Galleries,Black Stone Sculpture,object,南亚佛教石雕,2,7.5,5.5,7.1,6.9,7.7,0,8.0,8.4,8.0,8.120,6.942,B,B,,Core 6.942 落在 5.5–7.19,medium,波罗王朝黑石造像体现东印度中世纪佛教雕刻的精密风格与宗教传播网络，但同类传世作品较多，在MFA馆藏中不属身份支柱。,组内综合代表性居首：完整坐姿菩萨像较充分体现波罗时期东印度黑石雕刻传统，且相较常见的犍陀罗佛首更具非重复性。,
91,Tile Mosaic Mihrab Fragment,米哈拉布瓷砖残片,Islamic Art Gallery,Glazed Ceramic,object,伊斯兰建筑陶瓷,1,6.2,4.1,5.9,5.8,7.0,0,6.5,8.0,7.2,7.090,5.779,B,B,,Core 5.779 落在 5.5–7.19,low,萨法维清真寺米哈拉布瓷砖有助于解释礼拜方向、建筑装饰与釉陶工艺，但残片状态削弱视觉完整性，且MFA伊斯兰收藏并非全美顶尖。,组内唯一的伊斯兰建筑陶瓷，萨法维米哈拉布背景使其能补足波斯宗教建筑叙事，故D居组内首位且偏高，但残片形态限制了其品质与典范性上限。,
92,Brass Astrolabe,黄铜星盘,Islamic Art Gallery,Brass Metal,object,伊斯兰科学仪器,1,7.5,5.1,6.8,7.2,8.4,0,7.8,8.6,8.4,8.160,6.951,B,B,,Core 6.951 落在 5.5–7.19,low,伊斯兰星盘可有效串联天文学、计时、导航与宗教实践，教育吸引力很强，但缺少制作者、年代与产地信息，无法确认其是否为本馆同类顶级品。,组内唯一的伊斯兰科学仪器，以星盘这一典范器类补足伊斯兰天文学与科学史叙事，因而组内独特性与补位价值均高。,
93,Ivory Carved Casket,牙雕宝盒,Islamic Art Gallery,Ivory,object,伊斯兰牙雕器物,1,7.2,5.0,7.3,7.4,7.5,0,7.5,8.6,7.4,7.810,6.801,B,B,,Core 6.801 落在 5.5–7.19,low,中世纪伊斯兰牙雕宝盒能呈现宫廷奢侈品、跨区域贸易与浮雕工艺，细密装饰颇具吸引力，但现有资料不足以证明其为罕见名品。,本组唯一的伊斯兰牙雕器物，以精细浮雕体现中世纪奢侈工艺，因无同类重复而获高D，并补足伊斯兰物质文化叙事，但缺少顶级作坊或关键断代依据，Q不取最高档。,
94,The Piper of Hamelin,哈梅林的吹笛人,249 European Sculpture,Bronze Sculpture,object,罗丹青铜雕塑,2,6.9,5.1,7.4,7.6,6.8,0,6.9,6.4,6.6,6.690,6.594,B,B,,Core 6.594 落在 5.5–7.19,medium,罗丹的表现性塑造与吹笛人传说赋予作品较好的叙事和观赏吸引力，但该母题并非其公认核心代表作，在MFA亦难具身份性。,组内居次，其民间故事题材可补充罗丹的叙事性创作面向，但典范性和现代雕塑史意义均不及《巴尔扎克纪念碑》习作。,
95,Monument to Balzac,巴尔扎克纪念碑（习作）,249 European Sculpture,Bronze Sculpture,object,罗丹青铜雕塑,2,8.0,5.9,7.5,7.0,8.0,0,8.7,8.8,8.3,8.650,7.315,A,A,,Core 7.315 落在 7.2–8.49,medium,《巴尔扎克纪念碑》是现代雕塑史的重要转折，本件习作能揭示罗丹由写实走向概括造型的过程，但习作属性限制其本馆不可替代性。,组内居首，作为罗丹标志性《巴尔扎克纪念碑》方案的习作，其简化而富表现力的造型最能代表罗丹迈向现代雕塑的突破。,
