seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
82,"Robert Feke, Portrait of Gentleman",罗伯特·费克：绅士肖像,American Art Gallery,Oil Painting,object,美国殖民时期肖像画,1,6,5,6,5,6,0,6.5,8,6,6.850,5.685,B,B,,Core 5.685 落在 5.5–7.19,medium,费克是美国殖民时期重要肖像画家，但该作明确属于质量扎实而非顶尖的次级肖像，本馆身份关联也较弱。,组内唯一的美国殖民时期肖像画，具备类别代表性，但作品本身属费克的次级作品，独特性按本馆同类唯一计高。,
83,"John Singleton Copley, Portrait Miniature",科普利：微型肖像,American Art Gallery,Miniature on Ivory,object,美国早期肖像细密画,1,8,6,5,7,7,0,8.5,8.5,6.5,8.100,6.760,B,B,,Core 6.760 落在 5.5–7.19,medium,科普利的象牙微型肖像虽尺度很小，却由美国最重要的早期肖像画家创作，具有较高艺术史和媒介史价值。,组内唯一对象，作为美国早期肖像细密画代表，品质与历史地位突出；虽非本馆海事或亚洲外销核心，但能补足美国早期肖像艺术叙事。,
84,"Childe Hassam, Flower Garden Study",柴尔德·哈萨姆：花园花卉习作,American Art Gallery,Oil Painting,object,美国艺术油画习作,2,7,5,7,6,6,0,7.2,4.5,4.5,5.850,6.085,B,B,,Core 6.085 落在 5.5–7.19,medium,哈萨姆的花园印象派画面具备明快的视觉吸引力和艺术家代表性，但题材属次要习作且不属于PEM最核心的海事或亚洲身份。,组内排名第2：哈萨姆具备较高艺术品质，但花园题材在本组中代表性较弱，对PEM海事及亚洲外销叙事的补位有限。,
85,"Martin Johnson Heade, Small Bird‑and‑Blossom Study",马丁·约翰逊·希德：花鸟小幅习作,American Art Gallery,Oil Painting,object,美国自然题材油画,2,6,4,5,5,5.5,0,5.8,3.8,2.8,4.600,4.985,B,C,变,Core 4.985 < 5.5,medium,希德为美国重要自然题材画家，但本件为小幅非代表性习作，在PEM美国艺术展厅中主要作补充观看。,组内相对居后：希德虽具美国自然题材特色，但为小幅非代表性习作，独特性和叙事补位有限。,
86,"Fidelia Bridges, Floral Watercolor",菲德莉娅·布里奇斯：花卉水彩,American Art Gallery,Watercolor on Paper,object,美国植物题材纸本水彩,1,5.5,3.5,4.5,5,4.5,0,6,8,3,6.000,4.675,B,C,变,Core 4.675 < 5.5,medium,花卉水彩完成度雅致，能体现19世纪自然观察与女性艺术实践，但艺术史地位和本馆不可替代性有限。,组内唯一对象，D按本馆美国植物题材纸本水彩的唯一代表给高分；但其19世纪女性艺术家花卉习作属性较典型，且对PEM核心海事与亚洲外销叙事补位有限。,
87,"J.O.J. Frost, Fisherman’s Cottage Scene",J.O.J.弗罗斯特：渔夫小屋,American Art Gallery,Oil Painting,object,塞勒姆地方生活题材绘画,1,5.5,5.5,5.5,6,7,0,6.5,8.5,8,7.400,5.990,B,B,,Core 5.990 落在 5.5–7.19,medium,虽属民间记忆式绘画，却直接连接塞勒姆滨水日常与地方社会史，叙事价值高于其艺术史地位。,组内唯一的塞勒姆地方生活题材绘画，以民间记忆方式呈现渔港日常，代表性与补位价值较高。,
88,"Winslow Homer, Figure Sketch",温斯洛·霍默：人物速写,American Art Gallery,Charcoal on Paper,object,美国人物题材纸本速写,1,6.5,4.5,4,5,5.5,0,6.5,7.0,5.0,6.350,5.235,C,C,,Core 5.235 < 5.5,medium,霍默具有国家级艺术史重要性，但本件只是信息性人物速写，视觉冲击和独立观赏价值较弱。,组内唯一对象，虽为霍默的普通人物习作而非代表性成作，但作为馆藏中唯一该类美国人物纸本速写仍具一定补位价值。,
89,"John Trumbull, Portrait Study",约翰·特朗布尔：人物肖像草稿,American Art Gallery,Oil Sketch,object,美国历史人物油画习作,1,6,4.5,4.5,5,6,0,6.5,7.5,6.5,6.800,5.330,B,C,变,Core 5.330 < 5.5,medium,特朗布尔与革命时代肖像传统相关，作品可说明历史画创作过程，但作为构图练习本身较为次要。,组内唯一对象，虽为特朗布尔的习作而非代表性成作，但以革命时期人物肖像草稿补充美国建国叙事，因无同组重复对象而获较高D。,
90,"Georgia O’Keeffe, Leaf Study",乔治亚·欧姬芙：叶片习作,American Art Gallery,Oil Painting,object,美国自然题材油画,2,6.5,4,5.5,6,5.5,0,6.8,5.8,3.2,5.780,5.428,B,C,变,Core 5.428 < 5.5,medium,欧姬芙具有国家级重要性，叶片形式也有鲜明视觉语言，但本件尺寸和类型均低于其代表作层级。,组内相对居前：欧姬芙的现代主义有机形态更具艺术史代表性，叶片习作在组内重复性较低，但对PEM核心海事与亚洲叙事的补位仍有限。,
91,"Samuel McIntire, Door‑frame carving fragment",塞缪尔·麦金太尔：门框木雕残件,Gardner‑Pingree House,Wood Carving,object,塞勒姆新古典主义建筑木雕,2,7,7.5,6,5.5,7,0,8,8,7.5,7.900,6.840,B,B,,Core 6.840 落在 5.5–7.19,medium,麦金太尔工作坊的建筑木雕残件与Gardner-Pingree House及塞勒姆新古典主义工艺语境直接相连，地方遗产解释力强。,组内排名第1，是麦金太尔新古典主义建筑木雕中更具典范性的门框残件，代表性与叙事补位价值最高。,
92,"Samuel McIntire, urn‑motif decorative trim",麦金太尔：瓮纹装饰木饰条,Gardner‑Pingree House,Wood Carving,object,塞勒姆新古典主义建筑木雕,2,6,6.5,5.5,4.5,6,0,7,4.5,6,6.050,5.830,B,B,,Core 5.830 落在 5.5–7.19,medium,瓮纹木饰条能说明联邦时期室内装饰和麦金太尔风格，但体量小、功能性强，独立吸引力低于完整建筑构件。,组内排名第2，虽为麦金太尔联邦时期室内木雕，但与同组门框雕刻在类型和语境上重复度较高，独特性相对较低。,
93,"Paul Revere, Silver Teaspoon Set",保罗·里维尔：银茶匙成套,American Decorative Arts,Silver,object,保罗·里维尔银器,2,7,6,5,5.5,6.5,0,7.5,7,5.5,6.950,6.145,B,B,,Core 6.145 落在 5.5–7.19,medium,里维尔署名银器兼具美国革命时代人物关联与精细工艺价值，但茶匙属于小型日用器，现场冲击有限。,组内代表性最高，成套银茶匙更能体现保罗·里维尔的银器工艺与历史辨识度，重复性低于盐罐。,
94,"Paul Revere, Silver Salt Cellar",保罗·里维尔：银盐罐,American Decorative Arts,Silver,object,保罗·里维尔银器,2,6.5,5.5,4.5,5,6,0,6.5,4,4.5,5.350,5.535,B,B,,Core 5.535 落在 5.5–7.19,medium,署名银盐罐可呈现早期美国城市家庭消费与银器制作，但尺寸小、类型常见，优先级低于更具代表性的里维尔作品。,组内代表性次于银茶匙成套，银盐罐虽有签名但属较常见的小型家用器，独特性与叙事补位较弱。,
95,Salem Federal‑era mahogany card table,塞勒姆联邦时代桃花心木牌桌,American Decorative Arts,Wood Furniture,object,塞勒姆联邦时期木家具,2,6.5,6.5,6.5,6,7,0,7,7,6,6.800,6.530,B,B,,Core 6.530 落在 5.5–7.19,medium,本地制作的联邦时期牌桌将塞勒姆贸易社会、家具工艺与家庭生活联系起来，地方语境和教育价值较强。,组内代表性最高：塞勒姆本地制作且保存为牌桌，较能体现本组地域与时代特征，重复性相对较低。,
96,Chippendale candle‑stand,齐本德尔式烛台,American Decorative Arts,Wood Furniture,object,塞勒姆联邦时期木家具,2,5.5,4.5,5.5,5,5.5,0,5.5,3,4,4.450,5.070,B,C,变,Core 5.070 < 5.5,medium,齐本德尔式烛台具有新英格兰家具工艺和洛可可装饰说明价值，但风格类型较常见且缺少明确制作者信息。,组内代表性较低：齐本德尔式烛台虽具装饰价值，但属新英格兰常见家具类型，与牌桌相比独特性和叙事补位较弱。,
97,Paint‑decorated blanket chest,彩绘储物箱,American Decorative Arts,Painted Wood Furniture,object,新英格兰民间彩绘木家具,1,6,5,5,5,6,0,6,8,4,6.200,5.470,B,C,变,Core 5.470 < 5.5,medium,典型的新英格兰民间彩绘储物家具，能说明地方生活与装饰传统，但艺术稀有性和本馆不可替代性有限。,组内唯一对象，作为新英格兰民间彩绘木家具的代表具有较高独特性，但其典范程度一般、对PEM核心海事与亚洲叙事的补位有限。,
98,"Samuel Maloof, small side stool",萨姆·马卢夫：小型边凳,American Decorative Arts,Wood Furniture,object,美国现代工艺木家具,1,6,4,4,4,5,0,7,8,4,6.700,4.820,B,C,变,Core 4.820 < 5.5,medium,马卢夫具有美国工艺家具史地位，但该件体量小且为次要尺度，现场冲击与叙事功能有限。,组内唯一对象，萨姆·马卢夫的手工木家具具有较强代表性与工艺辨识度，但小型边凳形制的独特性仍有限；对补充美国现代工艺叙事有一定价值。,
99,Tiffany favrile glass tumbler,蒂凡尼法夫赖尔玻璃杯,American Decorative Arts,Art Glass,object,美国艺术玻璃器,1,7,5,6,6,6,0,7,8,4,6.700,6.020,B,B,,Core 6.020 落在 5.5–7.19,medium,蒂凡尼法夫赖尔玻璃代表美国艺术玻璃的重要方向，虹彩效果有吸引力，但小型杯具并非其最具代表性的作品。,组内唯一对象，作为蒂凡尼法夫赖尔艺术玻璃杯具有较高典范性与独特性，但对PEM核心的海事及亚洲外销艺术叙事补位有限。,
100,American brass and iron andiron pair,美式黄铜铁制壁炉柴架成对,American Decorative Arts,Brass‑Iron Metalwork,object,美国联邦时期黄铜铁制壁炉器具,1,5,4,4,4,5,0,6,8,4,6.200,4.570,C,C,,Core 4.570 < 5.5,medium,联邦时期的实用装饰性壁炉构件可反映家居制度与工艺，但同类可替代性高、视觉冲击较弱。,组内唯一对象，作为联邦时期美国壁炉金工的代表性实物具有较高独特性，但在PEM以海事及亚洲外销艺术为核心的叙事中补位价值有限。,
101,"Salem girl’s needlework sampler, 1792",1792塞勒姆少女刺绣样本,American Decorative Arts,Needlework Textile,object,新英格兰刺绣样本,1,6,6,5,5,7,0,6.5,8.5,5.5,6.900,5.940,B,B,,Core 5.940 落在 5.5–7.19,medium,1792年塞勒姆少女刺绣兼具地方关联与女性教育、宗教和日常社会史价值，但视觉表现较为朴素。,组内唯一对象，作为1792年塞勒姆少女针绣样本具有明确的地方社会史与女性手工艺代表性，但在PEM整体海事及亚洲外销叙事中的补位价值属中等。,
102,Folk carved wooden eagle finial,民间木雕鹰顶饰,American Decorative Arts,Painted Wood,object,新英格兰民间彩绘木装饰件,1,4,3,3,3,4,0,4,7,3,4.700,3.520,C,C,,Core 3.520 < 5.5,medium,小型民间木雕鹰顶饰体现常见的新英格兰装饰母题，但尺寸小、类型普通且解释价值有限。,组内唯一对象，代表新英格兰民间彩绘木雕传统，但鹰顶饰本身属较常见母题，典范性与叙事补位价值有限。,
103,Chinese Canton export rose medallion plate,广彩徽章纹外销盘,Asian Export Art Gallery,Porcelain,object,中国广彩外销瓷器,2,6,6,6,6,6,0,6,3.5,6,5.250,5.925,B,B,,Core 5.925 落在 5.5–7.19,medium,广彩徽章纹盘直接体现中国面向美国市场的外销生产，是本馆亚洲外销主题中的标准性实物。,组内相对靠后：品质合格但属标准美国市场纹样的单件外销盘，类型重复度较高，叙事补位有限。,
104,Chinese Canton export porcelain teacup saucer group,广彩茶杯杯托组,Asian Export Art Gallery,Porcelain,object,中国广彩外销瓷器,2,6,6,6,7,7,0,6.5,5.5,7,6.300,6.330,B,B,,Core 6.330 落在 5.5–7.19,medium,成组茶杯与杯托比单件更能呈现外销瓷的使用场景、消费文化和中美贸易联系，观赏性也较好。,组内相对更具代表性：成组的广彩茶杯与杯托能呈现完整使用组合，重复性低于单件标准纹样盘。,
105,"Chinese export silver spoon set, Forbes collection",福布斯藏中国外销银勺套件,Asian Export Art Gallery,Silver Metalwork,object,中国外销银器,2,6,7,5,5,7,0,6.5,4,6,5.650,6.065,B,B,,Core 6.065 落在 5.5–7.19,medium,福布斯中国贸易藏品中的外销银勺能连接广州工艺、海外消费与塞勒姆贸易史，馆本语境价值高于其单件视觉冲击。,组内代表性较弱，虽为制作精良的中国外销银器，但银质餐具的类型重复度高，独特性低于约1680年的银茶壶。,
106,Chinese export lacquer sewing box,中国外销漆木针线盒,Asian Export Art Gallery,Lacquered Wood,object,中国外销漆器,1,6,6,6,6,7,0,7,8,7,7.300,6.280,B,B,,Core 6.280 落在 5.5–7.19,medium,外销漆木针线盒具体呈现中国工艺如何适应西方女性用品需求，兼具物质文化与性别史叙事价值。,组内唯一对象，作为中国外销漆器代表具有较高独特性，但体量与功能较专门，典范性和叙事补位价值中上。,
107,Chinese export gouache insect‑and‑flower album leaf,外销水粉花鸟册页,Asian Export Art Gallery,Gouache on Paper,object,中国外销纸本水粉画,1,5,5,5,5,6,0,5,8,7,6.300,5.280,B,C,变,Core 5.280 < 5.5,medium,花鸟水粉册页体现外销装饰绘画的审美适配，但属于典型性较强而非卓越性的轻型作品。,组内唯一的中国外销纸本水粉册页，虽属典型装饰性作品，但在本馆亚洲外销艺术叙事中提供了纸本花鸟绘画这一独特补位。,
108,Chinese reverse glass portrait of merchant’s wife,外销玻璃背画商人夫人像,Asian Export Art Gallery,Reverse Glass Painting,object,中国外销玻璃背画,2,6,6,6,6,6,0,5.5,3.5,5,4.800,5.880,B,B,,Core 5.880 落在 5.5–7.19,medium,玻璃背画商人夫人像能说明外销肖像与西方客户需求，媒材效果有吸引力但作品质量被描述为标准水平。,组内属标准品质的商人夫人像，与同类外销玻璃背画重复度较高，代表性和补位价值居后。,
109,Chinese ivory export figurine of lady,外销象牙仕女摆件,Asian Export Art Gallery,Carved Ivory,object,亚洲外销象牙雕,4,5.5,6.5,5.5,5.5,6.5,0,6.5,4.5,7.5,6.100,5.960,B,B,,Core 5.960 落在 5.5–7.19,medium,广州外销象牙仕女属于塞勒姆贸易与亚洲外销艺术语境中的常见装饰性工艺品，历史叙事尚可但体量和艺术独特性有限。,组内第三：外销象牙仕女摆件符合中国外销工艺的常见类型，品质尚可但同类重复性较高，叙事价值主要在于强化中国外销主线。,
110,Chinese ivory puzzle ball small size,小型外销象牙套球,Asian Export Art Gallery,Carved Ivory,object,亚洲外销象牙雕,4,6,6.5,6,7,6.5,0,8,9,8.5,8.400,6.590,B,B,,Core 6.590 落在 5.5–7.19,medium,多层象牙套球以精巧结构和外销趣味带来较强的现场惊喜，同时能说明中国工艺品如何进入全球贸易市场。,组内首位：多层套球是亚洲外销象牙中最具工艺辨识度与代表性的出口奇珍，且高度契合PEM的亚洲外销艺术叙事。,
111,Anglo‑Indian sandalwood casket,英印檀香木首饰盒,Asian Export Art Gallery,Inlaid Wood,object,南亚外销镶嵌木作,2,5.5,5.5,5.5,5.5,6,0,6.5,4.5,6.5,5.900,5.615,C,B,变,Core 5.615 落在 5.5–7.19,medium,带局部镶嵌的英印檀香木小盒属于可替代性较高的外销实用品，主要价值在于展示跨文化消费而非突出艺术成就。,组内居次：英印檀香木首饰盒虽契合南亚外销木作主题，但部分镶嵌且器形与另一件文具盒相比代表性和非重复性较弱。,
112,Indian Vizagapatam small writing box,印度维扎加帕塔姆嵌象牙小文具盒,Asian Export Art Gallery,Inlaid Wood,object,南亚外销镶嵌木作,2,6.5,6.5,6,6,7,0,7.5,8.5,7.5,7.800,6.555,B,B,,Core 6.555 落在 5.5–7.19,medium,维扎加帕塔姆嵌象牙文具盒工艺明确，并能具体说明英属印度为英国客户生产外销奢侈品的殖民贸易关系。,组内首位：维扎加帕塔姆嵌象牙小文具盒兼具明确产地风格、象牙镶嵌工艺与英属印度外销背景，在两件中最具典范性和独特补位价值。,
113,Mughal ivory small animal group,莫卧儿象牙小动物群雕,Asian Export Art Gallery,Carved Ivory,object,亚洲外销象牙雕,4,5.5,5.5,5.5,5.5,5.5,0,5.5,4,6.5,5.250,5.475,C,C,,Core 5.475 < 5.5,medium,莫卧儿背景增加了历史语境，但该件被描述为次要的海外贸易装饰雕刻，体量、视觉冲击和独特性均有限。,组内末位：莫卧儿小动物群雕虽能补充印度来源，但属简介所示的次要装饰性外销雕刻，与组内象牙小雕重复度较高，代表性最弱。,
114,Mughal miniature portrait of court attendant,莫卧儿细密画宫廷侍从,Asian Export Art Gallery,Opaque Watercolor on Paper,object,南亚细密画,2,6.5,6.5,6.5,6,7,0,6.5,6,5.5,6.150,6.465,B,B,,Core 6.465 落在 5.5–7.19,medium,莫卧儿宫廷侍从细密画可代表宫廷绘画和社会等级叙事，虽为中等水平且题材非核心人物，仍具良好教育价值。,组内代表性较高：莫卧儿宫廷画传统比拉杰普特区域性风景更具典范性，但题材为普通侍从，独特性仍属中等。,
115,Rajput landscape miniature,拉杰普特风景细密画,Asian Export Art Gallery,Opaque Watercolor on Paper,object,南亚细密画,2,6,6,6.5,6,6.5,0,6,4.5,6,5.550,6.105,B,B,,Core 6.105 落在 5.5–7.19,medium,拉杰普特风景细密画具有区域画派和日常审美价值，画面宜人但非王室题材、艺术地位和叙事强度较为有限。,组内次于莫卧儿细密画：拉杰普特风景画补充印度区域画派与非宫廷题材，但同类典范度和独特性较弱。,
116,Sinhalese carved ivory hair ornament,斯里兰卡象牙发饰,Asian Export Art Gallery,Carved Ivory,object,亚洲外销象牙雕,4,6,6.5,6,6,6.5,0,6.5,7,7,6.750,6.275,B,B,,Core 6.275 落在 5.5–7.19,medium,斯里兰卡象牙发饰以精细个人装饰和经塞勒姆贸易流入的背景，补充了亚洲海上贸易网络的地域广度。,组内第二：斯里兰卡象牙发饰地域与用途独特，重复性低，为塞勒姆贸易网络补充南亚环节，但典范程度不及套球。,
117,Japanese Arita blue‑and‑white small vase,有田烧青花小瓶,Asian Export Art Gallery,Porcelain,object,日本外销瓷器,2,6.5,6.5,6.5,6,6.5,0,6.5,4.5,5.5,5.700,6.345,B,B,,Core 6.345 落在 5.5–7.19,medium,有田烧青花小瓶制作规整，能代表日本瓷器面向欧洲市场的外销形态，但标准化器形使其独特性和视觉冲击中等。,组内代表性较低：有田青花小瓶属于标准欧洲市场器形，与同组伊万里盖碗相比重复性更高、独特性较弱。,
118,Japanese Imari covered bowl,伊万里烧盖碗,Asian Export Art Gallery,Porcelain,object,日本外销瓷器,2,6.5,6.5,7,7,6.5,0,7,7,6.5,6.900,6.690,B,B,,Core 6.690 落在 5.5–7.19,medium,伊万里烧盖碗以鲜明的经典外销配色和完整器形具有较强观赏性，也能说明日本瓷器对欧洲消费市场的适应。,组内代表性较高：伊万里盖碗兼具经典外销彩饰与完整器形，相比标准化小瓶更具辨识度和叙事补位价值。,
119,Japanese lacquer export small cabinet drawer unit,日本外销漆木小斗柜,Asian Export Art Gallery,Lacquered Wood,object,日本外销漆器,2,6.5,6.5,6.5,6,7,0,7,8,7,7.300,6.580,B,B,,Core 6.580 落在 5.5–7.19,medium,受南蛮风格影响的日本外销漆木柜体现东亚工艺与西方室内生活的结合，兼具贸易史和设计史价值但体量较小。,组内代表性较高：作为面向西方室内使用的日本外销漆器小斗柜，体量与家具功能比文具盒更能体现外销漆器的跨文化适应。,
120,Japanese export lacquer writing box,日本外销漆文具盒,Asian Export Art Gallery,Lacquered Wood,object,日本外销漆器,2,6.5,6.5,6.5,6,7,0,6.5,4,6,5.650,6.415,B,B,,Core 6.415 落在 5.5–7.19,medium,江户时代日本外销漆文具盒能清楚呈现漆器工艺、欧洲使用场景与跨文化商品流通，虽为小型实用器且缺少名家信息。,组内代表性较低：江户时代外销漆文具盒虽具西用功能，但与同组小斗柜相比体量和叙事独特性较弱，存在较明显的器类重复。,
121,"Netsuke rat, signed Edo work",江户签名根付老鼠,Japanese Art Gallery,Carved Ivory,object,日本江户根付,2,7,6.5,6.5,7,6.5,0,7.5,8,7.5,7.650,6.790,B,B,,Core 6.790 落在 5.5–7.19,medium,江户时代有款根付且雕刻质量良好，兼具民俗工艺与观赏性，但并非顶级名家或代表作。,组内代表性更高：有款且为江户象牙雕老鼠，品质与典范性均优于无款木雕龟，因而承担日本根付叙事的核心位置。,
122,"Netsuke tortoise, unsigned",无款根付龟,Japanese Art Gallery,Carved Wood,object,日本江户根付,2,5.5,5.5,6,6.5,5.5,0,6,4.5,5.5,5.450,5.720,B,B,,Core 5.720 落在 5.5–7.19,medium,无款木雕根付造型亲切、工艺尚佳，适合展示日常携带文化，但历史与收藏层级有限。,组内居次：木雕龟刻工精细且具观赏性，但无款、偏实用，与签名江户根付老鼠相比独特性和代表性较弱。,
123,Edo period wooden medicine box,江户时代木药箱,Japanese Art Gallery,Painted Wood,object,日本江户民用木器,1,5.5,5.5,5.5,5,6.5,0,5.5,8,5.5,6.250,5.650,B,B,,Core 5.650 落在 5.5–7.19,medium,商人阶层使用的彩绘药箱视觉冲击有限，但能具体说明江户日常生活与民间物质文化。,组内唯一对象，虽为江户民用器而非顶尖名品，但以彩绘木药箱补足日本日常医疗与商人生活叙事，代表性和非重复性在本组最高。,
124,Edo bronze censer with floral relief,江户花卉纹青铜香炉,Japanese Art Gallery,Bronze Metalwork,object,日本江户青铜器,1,6,5.5,6.5,6,6,0,6.2,8.2,5.5,6.660,6.016,B,B,,Core 6.016 落在 5.5–7.19,medium,江户町屋使用的花卉纹青铜香炉装饰性较强，体现民用金工审美，但并非罕见杰作。,组内唯一对象，作为江户时期日本青铜日用香炉具有较高的类别独特性，但其町屋装饰属性在全馆亚洲艺术叙事中的补位价值中等。,
125,Edo period iron tea‑kettle tetsubin,江户铁茶壶铁瓶,Japanese Art Gallery,Iron Metalwork,object,日本江户饮茶器,1,6,5.5,6,6,6.5,0,5.5,8,6.5,6.450,5.995,B,B,,Core 5.995 落在 5.5–7.19,medium,典型商人阶层铁瓶可关联日本饮茶与铸铁工艺传统，文化解释力尚可但代表性一般。,组内唯一对象，虽为江户商人阶层的典型日用铁瓶、品质并非名家孤品，但承担了日本饮茶器与铁工艺的唯一代表位置。,
126,"Ukiyo‑e beauty print, minor artist",二流浮世绘美人版画,Japanese Art Gallery,Woodblock Print,object,日本浮世绘版画,3,6.5,5.5,7,7,6.5,0,5.8,2.5,5.5,4.750,6.225,B,B,,Core 6.225 落在 5.5–7.19,medium,二流江户浮世绘仍具鲜明美人图视觉吸引力，可说明版画消费文化，但艺术史地位有限。,组内代表性最低，虽可补充江户浮世绘美人题材，但作者属二流且与同组版画重复度最高。,
127,Katsushika Hokusai miscellaneous sketch print,葛饰北斋杂画小版画,Japanese Art Gallery,Woodblock Print,object,日本浮世绘版画,3,7,6,7,7,6.5,0,7.0,6.0,6.5,6.600,6.635,B,B,,Core 6.635 落在 5.5–7.19,medium,北斋作者身份提升艺术史与游客吸引力，但作品来自较不知名系列且为小版画，不能等同于其顶尖名作。,组内居中，北斋身份提升其品质与辨识度，但属杂画小版画且系列不突出，独特性低于广重站点版画。,
128,"Hiroshige, miscellaneous station print",歌川广重普通站点版画,Japanese Art Gallery,Woodblock Print,object,日本浮世绘版画,3,7.5,6.5,7.5,7.5,7.5,0,7.5,7.5,7.0,7.400,7.240,B,A,变,Core 7.240 落在 7.2–8.49,medium,广重《东海道五十三次》普通站点版画属于经典旅行版画系列，兼具景观表现、江户交通史与较强观赏性。,组内代表性最高，广重及《东海道五十三次》能最有效代表日本浮世绘的经典风景版画传统。,
129,Joseon dynasty white porcelain bottle,朝鲜王朝白瓷瓶,Korean Art Gallery,Porcelain,object,朝鲜王朝陶瓷,2,6.5,6,6.5,6.5,6.5,0,5.5,4,5.5,5.050,6.230,B,B,,Core 6.230 落在 5.5–7.19,medium,朝鲜王朝素烧白瓷瓶体现朴素审美与窑业传统，造型优雅但属地方窑的常规优质作品。,组内品质与典范性居次，白瓷瓶为较常见且描述为地方窑产品，独特性低于青瓷小碗。,
130,Joseon celadon small bowl,朝鲜青瓷小碗,Korean Art Gallery,Stoneware‑Porcelain,object,朝鲜王朝陶瓷,2,6.5,6,6.5,6.5,6,0,6,7,6.5,6.400,6.290,B,B,,Core 6.290 落在 5.5–7.19,medium,朝鲜青瓷小碗具有直观的釉色与器形美感，可说明朝鲜陶瓷传统，但尺度与艺术等级较为常规。,组内代表性居首，青瓷小碗相较白瓷瓶在材质与釉色上更具辨识度和非重复性。,
131,Joseon embroidered floral rank badge fragment,朝鲜刺绣补子残片,Korean Art Gallery,Embroidery Textile,object,朝鲜王朝官服织物,1,6.5,5.5,5,5,7,0,6.5,8,7,7.050,5.930,C,B,变,Core 5.930 落在 5.5–7.19,medium,官员品级补子残片虽视觉完整性受损，却能具体解释朝鲜王朝身份等级、服饰制度与官方象征。,组内唯一对象，作为朝鲜王朝官服刺绣补子虽为残片，仍具较高的类别代表性与非重复性，并补充馆内东亚纺织艺术叙事。,
132,Joseon bronze hand‑mirror,朝鲜青铜手镜,Korean Art Gallery,Bronze Metalwork,object,朝鲜王朝青铜日用器,1,5.5,5.5,5.5,5.5,6,0,5.8,7.2,6.3,6.320,5.657,B,B,,Core 5.657 落在 5.5–7.19,medium,晚期朝鲜青铜手镜展示个人用品与铸造工艺，具有一定社会史价值，但装饰与稀有性均较有限。,组内唯一对象，虽为较常见的朝鲜晚期日用青铜器，但以个人镜这一生活器形补充韩国工艺与日常文化叙事，代表性高于重复性。,
133,Nam June Paik small TV‑object study,白南准小型电视媒介习作,Korean Contemporary Gallery,Mixed‑Media Video Sculpture,object,韩国当代媒介艺术,1,7,5,4,5,6,0,7.5,8.5,7.5,7.800,5.680,B,B,,Core 5.680 落在 5.5–7.19,medium,白南准具有国际艺术史重要性，但该件为小型、少展出的媒介习作，现场冲击和本馆不可替代性有限。,组内唯一对象，虽为白南准较小且较少展出的媒介习作，仍代表韩国当代媒介艺术这一叙事环节，故D按本组唯一性取高分。,
134,Hawaiian carved wooden bowl,夏威夷木雕食用碗,Oceanic Art Gallery,Carved Wood,object,大洋洲雕刻木器,5,5,5,5,5,6,0,5.5,3,5.5,4.750,5.125,B,C,变,Core 5.125 < 5.5,medium,夏威夷日常使用木碗能说明地方生活与工艺传统，但非王室等级且同类可替代性较高。,组内代表性较低，属于制作精良但常规的夏威夷日用木碗，形式重复度最高。,
135,Hawaiian stone fishing sinker set,夏威夷石制渔坠组,Oceanic Art Gallery,Stone Tool,object,大洋洲石制工具与渔具,2,5,4,4,4,6,0,5,4,7,5.100,4.610,B,C,变,Core 4.610 < 5.5,medium,石制渔坠体现传统捕鱼技术和生活方式，但视觉表现朴素，单件身份价值与游客吸引力较弱。,组内为较具渔业功能特色但相对小众、代表性低于毛利石锛的对象；其价值在于补充波利尼西亚传统捕鱼技术叙事。,
136,Hawaii woven mat fragment,夏威夷编织席残片,Oceanic Art Gallery,Plant‑Fiber Textile,object,大洋洲植物纤维编织物,2,6,6,3,4,7,0,7,8,8,7.500,5.550,B,B,,Core 5.550 落在 5.5–7.19,medium,前接触时期的夏威夷席残片具有较好的时代与技术叙事价值，但残缺状态显著削弱视觉冲击。,组内代表性最高：前接触时期夏威夷席残片兼具早期历史性与地域辨识度，在同类中重复性最低。,
137,Māori wooden food storage box,毛利木质食物储存盒,Oceanic Art Gallery,Carved Wood,object,大洋洲雕刻木器,5,6,5,5,5,6,0,6,4,6,5.400,5.390,B,C,变,Core 5.390 < 5.5,medium,毛利木质储物盒体现功能器物与装饰传统，但表面 ornament 中等且并非显著等级或代表性作品。,组内居中偏下，毛利功能性木盒具一定地域辨识度，但装饰与类型仍较常见。,
138,Māori stone adze implement,毛利石锛工具,Oceanic Art Gallery,Nephrite Stone Tool,object,大洋洲石制工具与渔具,2,6,5,5,5,6,0,6,7,8,6.700,5.520,B,B,,Core 5.520 落在 5.5–7.19,medium,软玉石锛兼具毛利材料文化和劳动技术信息，但属于普通工具等级，艺术与视觉表现有限。,组内代表性更强，毛利软玉石锛虽属普通工艺等级，但兼具鲜明文化标识与石器技术典型性，且为大洋洲文明叙事的重要补位。,
